"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Mc Culloch, Andrew Douglas","BENG 110 - Muskoloskeletal Biomechanics (A)","FA22","97","91","81.3%","84.6%","6.48","B (3.19)","B (3.16)"
"Wheeler, Bruce Christopher","BENG 119A - Design Develop.in Biomechanics (A)","FA22","22","5","100.0%","100.0%","4.50","A (4.00)","A- (3.78)"
"Cauwenberghs, Gert","BENG 122A - Biosystems and Control (A)","FA22","60","21","80.0%","80.0%","8.60","B+ (3.50)","B+ (3.53)"
"Wheeler, Bruce Christopher","BENG 129A - Design Develp.Cell System BENG (A)","FA22","9","3","100.0%","100.0%","4.50","A (4.00)","N/A"
"Smarr, Benjamin","BENG 134 - Measurements/Stats/Probability (A)","FA22","26","18","94.4%","88.9%","6.50","B+ (3.35)","B- (2.87)"
"Wheeler, Bruce Christopher","BENG 135 - Biomedical Signals & Systems (A)","FA22","25","5","100.0%","100.0%","7.70","A- (3.80)","B+ (3.63)"
"Wheeler, Bruce Christopher","BENG 139A - Design Develpmt Molecular BENG (A)","FA22","19","3","100.0%","100.0%","3.17","A (4.00)","N/A"
"Lal, Ratnesh","BENG 141 - Biomedical Optics and Imaging (A)","FA22","49","36","94.1%","82.4%","4.56","A- (3.83)","A- (3.85)"
"Fraley, Stephanie I.","BENG 161A - Bioreactor Engineering (A)","FA22","61","48","75.0%","75.0%","9.48","B (3.23)","B (3.04)"
"Mali, Prashant Gulab Ram","BENG 162 - Biotechnology Laboratory (A)","FA22","61","51","86.3%","94.1%","7.66","B+ (3.52)","B+ (3.51)"
"Sah, Robert Lie-Yuan","BENG 166A - Cell and Tissue Engineering (A)","FA22","63","41","61.0%","75.6%","6.65","A- (3.87)","B+ (3.57)"
"Wheeler, Bruce Christopher","BENG 169A - Design Developmnt Tissue Engin (A)","FA22","11","4","66.7%","100.0%","3.83","A (4.00)","N/A"
"Wheeler, Bruce Christopher","BENG 179A - Design Develop.Bioinstrumntatn (A)","FA22","28","10","100.0%","100.0%","10.00","A (4.00)","B+ (3.67)"
"Zhong, Sheng","BENG 183 - Applied Genomic Technologies (A)","FA22","92","28","81.5%","84.6%","6.28","A- (3.82)","A (4.00)"
"Wheeler, Bruce Christopher","BENG 187B - BENG Design Project:Developmnt (A)","FA22","138","42","78.9%","91.9%","4.72","A- (3.97)","N/A"
"Wheeler, Bruce Christopher","BENG 2 - Intro Computer Prog & MATLAB (A)","FA22","15","9","100.0%","100.0%","4.94","B+ (3.44)","N/A"
"Mc Culloch, Andrew Douglas","BENG 87 - Freshman Seminar (A)","FA22","19","11","100.0%","100.0%","0.86","A (4.00)","N/A"
"Omens, Jeffrey Howard","BENG 87 - Freshman Seminar (A)","FA22","19","11","100.0%","100.0%","0.86","A (4.00)","N/A"
"Siuliukina, Nataliia","BENG 100 - Intro to Prob & Stats for BENG (A)","S122","27","5","80.0%","60.0%","4.50","B (3.20)","B+ (3.57)"
