"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Huffaker, Alisa","BIBC 100 - Structural Biochemistry (A)","FA22","279","118","93.9%","95.5%","7.30","B+ (3.57)","B+ (3.69)"
"Schmelz, Eric Alexander","BIBC 102 - Metabolic Biochemistry (A)","FA22","270","185","85.9%","87.6%","8.71","B+ (3.51)","B+ (3.53)"
"Coleman, Aaron B.","BIBC 102 - Metabolic Biochemistry (B)","FA22","215","89","80.5%","75.3%","7.85","B (3.13)","C+ (2.59)"
"Bozinovic, Goran","BIBC 103 - Biochemical Techniques (A)","FA22","41","20","85.0%","89.5%","8.50","C+ (2.65)","B- (2.97)"
"Burg, Michael","BIBC 103 - Biochemical Techniques (B)","FA22","49","45","93.3%","95.6%","6.14","B+ (3.38)","B+ (3.43)"
"Beyhan, Sinem","BIBC 103 - Biochemical Techniques (C)","FA22","49","16","93.8%","100.0%","6.25","B+ (3.67)","B+ (3.58)"
"Coleman, Aaron B.","BIBC 103 - Biochemical Techniques (D)","FA22","42","11","100.0%","100.0%","6.50","B+ (3.50)","B (3.01)"
"Hui, Enfu","BIBC 194 - Adv Topics-Biochemistry (A)","FA22","21","13","100.0%","84.6%","3.42","A (4.00)","A- (3.97)"
"Smith, Laurie","BICD 100 - Genetics (A)","FA22","120","78","94.9%","94.8%","6.71","B+ (3.31)","B (3.08)"
"Mueller, Liam O'Connor","BICD 100 - Genetics (B)","FA22","249","214","95.8%","97.7%","5.29","B+ (3.48)","B+ (3.59)"
"McDonnell, Lisa Marie","BICD 100 - Genetics (C)","FA22","238","125","98.3%","95.0%","6.00","B+ (3.48)","B+ (3.36)"
"Day, Christopher D","BICD 100 - Genetics (D)","FA22","256","97","83.3%","80.2%","5.70","B+ (3.34)","B (3.01)"
"Kiger, Amy","BICD 110 - Cell Biology (A)","FA22","61","27","70.4%","66.7%","6.20","B (3.22)","C+ (2.68)"
"Grossman, Emily N","BICD 110 - Cell Biology (B)","FA22","215","143","87.9%","85.7%","6.32","B+ (3.46)","B (3.21)"
"Zuniga, Elina I","BICD 140 - Immunology (A)","FA22","157","68","91.0%","85.1%","6.56","B (3.22)","B- (2.80)"
"Butler, Shannon Rhey","BIEB 102 - Intro Eclgy/Organisms&Habitats (A)","FA22","228","149","91.9%","90.5%","4.23","B+ (3.66)","B+ (3.67)"
"Holway, David A.","BIEB 121 - Ecology Laboratory (A)","FA22","32","12","100.0%","100.0%","5.17","B+ (3.58)","A- (3.73)"
"Kohn, Joshua R","BIEB 126 - Plant Ecology (A)","FA22","139","46","95.7%","95.6%","3.74","B- (2.98)","B- (2.77)"
"Petrie, Katherine Lynn","BIEB 146 - Genome Diversity and Dynamics (A)","FA22","326","245","96.3%","97.5%","4.95","B+ (3.63)","B+ (3.65)"
"Rennison, Diana","BIEB 150 - Evolution (A)","FA22","184","126","98.4%","97.6%","5.23","B+ (3.56)","B+ (3.45)"
"Barton, Andrew David","BIEB 174 - Ecosystems and Global Change (A)","FA22","206","73","81.2%","83.6%","6.05","B (3.12)","B (3.04)"
"Cleland, Elsa Eleanor","BIEB 174 - Ecosystems and Global Change (A)","FA22","206","73","81.2%","97.1%","6.05","B (3.12)","B (3.04)"
"Pickett, Brooke Elizabeth","BILD 1 - The Cell (A)","FA22","238","103","94.0%","94.9%","4.90","B (3.30)","C+ (2.53)"
"Pekkurnaz Banghart, Gulcin","BILD 1 - The Cell (B)","FA22","251","219","92.7%","91.8%","6.08","B (3.15)","B+ (3.48)"
"Meaders, Clara Leigh","BILD 1 - The Cell (C)","FA22","252","168","98.8%","99.4%","5.98","B+ (3.63)","B+ (3.59)"
"Meaders, Clara Leigh","BILD 1 - The Cell (D)","FA22","251","170","97.6%","98.2%","5.75","B+ (3.62)","B+ (3.62)"
"Cooper, Andrew Michael","BILD 1 - The Cell (E)","FA22","212","178","92.7%","89.2%","6.03","B (3.10)","B- (2.75)"
"Gustafson-Brown, Cindy","BILD 10 - Fundamental Concepts/Modrn Bio (A)","FA22","184","139","91.4%","97.8%","4.83","B (3.07)","B- (2.81)"
"Glasgow, Stacey Marie","BILD 2 - Multicellular Life (A)","FA22","39","29","93.1%","89.7%","4.64","B+ (3.54)","B (3.29)"
"Owens, Melinda Tsao-Ying","BILD 2 - Multicellular Life (B)","FA22","178","123","100.0%","94.1%","5.46","A- (3.74)","B (3.03)"
"Owens, Melinda Tsao-Ying","BILD 2 - Multicellular Life (C)","FA22","194","127","96.9%","95.3%","5.17","A- (3.79)","B (3.17)"
"Rana, Brinda Kanti","BILD 20 - Human Genetics/Modern Society (A)","FA22","157","90","87.5%","87.5%","3.66","B+ (3.42)","B (3.06)"
"Stockwell, Sarah R","BILD 3 - Organismic&Evolutionary Biol (A)","FA22","281","194","92.7%","97.9%","4.77","B+ (3.39)","B (3.17)"
"Stockwell, Sarah R","BILD 3 - Organismic&Evolutionary Biol (B)","FA22","285","212","96.2%","98.1%","4.20","B+ (3.37)","B (3.12)"
"Butler, Shannon Rhey","BILD 3 - Organismic&Evolutionary Biol (C)","FA22","241","155","87.0%","88.9%","5.06","B (3.20)","B (3.10)"
"Reuther, Keefe","BILD 3 - Organismic&Evolutionary Biol (D)","FA22","275","215","85.5%","90.0%","4.90","B- (2.95)","B (3.21)"
"Burg, Michael","BILD 32 - Intro to Cancer Biology (A)","FA22","213","175","95.4%","98.9%","4.47","B (3.13)","B- (2.71)"
"Mel, Stephanie","BILD 4 - Introductory Biology Lab (A)","FA22","382","206","94.9%","98.0%","3.22","B+ (3.56)","A- (3.77)"
"Lo, Stanley M.","BILD 4 - Introductory Biology Lab (B)","FA22","376","285","93.9%","95.7%","3.31","A- (3.72)","A- (3.87)"
"Reuther, Keefe","BILD 5 - Data Analysis/Design for Bio (A)","FA22","49","29","89.7%","96.6%","6.43","B+ (3.44)","B+ (3.42)"
"Hammond, LaTisha Marie","BILD 60 - DEI in Relation to Human Bio (A)","FA22","47","21","95.0%","95.0%","3.50","A- (3.80)","B+ (3.68)"
"Macagno, Eduardo R.","BILD 60 - DEI in Relation to Human Bio (B)","FA22","50","18","61.1%","66.7%","3.28","A- (3.76)","A- (3.79)"
"Aljadeff, Johnatan","BILD 62 - Intro to Python for Biologists (A)","FA22","83","40","59.0%","43.6%","4.91","B+ (3.38)","B- (2.71)"
"Pogliano, Joseph","BILD 80 - Job Intern Prep:Job App (A)","FA22","42","10","100.0%","90.0%","2.30","A- (3.88)","A- (3.83)"
"Pogliano, Joseph","BILD 84R - Career Exploration in Bio Sci (A)","FA22","64","30","96.6%","100.0%","1.74","A- (3.96)","A- (3.91)"
"Pasquinelli, Amy","BIMM 100 - Molecular Biology (A)","FA22","228","151","86.1%","88.7%","6.09","B (3.28)","B- (2.76)"
"Pruneda-Paz, Jose L.","BIMM 100 - Molecular Biology (B)","FA22","312","123","94.3%","95.9%","6.00","B+ (3.56)","B (3.22)"
"Rusert, Jessica Marie","BIMM 101 - Recombinant DNA Techniques (A)","FA22","89","35","85.7%","94.3%","7.09","B (3.15)","B (3.19)"
"Grossman, Emily N","BIMM 101 - Recombinant DNA Techniques (B)","FA22","49","39","94.7%","97.4%","5.04","B+ (3.59)","B+ (3.54)"
"Day, Christopher D","BIMM 101 - Recombinant DNA Techniques (C)","FA22","49","18","100.0%","94.1%","7.32","B+ (3.47)","B+ (3.47)"
"Cooper, Andrew Michael","BIMM 101 - Recombinant DNA Techniques (D)","FA22","41","37","73.0%","75.7%","6.66","B (3.08)","B- (2.93)"
"McDonnell, Lisa Marie","BIMM 101 - Recombinant DNA Techniques (E)","FA22","44","17","88.2%","100.0%","6.38","A- (3.82)","A- (3.93)"
"Tour, Ella","BIMM 110 - Molecular Basis/Human Disease (A)","FA22","125","49","85.1%","83.0%","6.13","B+ (3.47)","B+ (3.32)"
"Allen, Eric","BIMM 120 - Microbiology (A)","FA22","338","154","98.0%","99.3%","5.02","A- (3.82)","A- (3.84)"
"Pickett, Brooke Elizabeth","BIMM 121 - Microbiology Laboratory (B)","FA22","47","23","90.9%","90.9%","5.41","A- (3.73)","A- (3.73)"
"Pirino, Giorgia","BIMM 121 - Microbiology Laboratory (C)","FA22","95","64","78.7%","88.3%","8.10","B (3.23)","B+ (3.31)"
"Russell, Alistair B","BIMM 122 - Microbial Genetics (A)","FA22","123","93","97.8%","97.8%","5.93","B+ (3.42)","B (3.24)"
"Gustafson-Brown, Cindy","BIMM 124 - Medical Microbiology (A)","FA22","86","70","90.0%","85.7%","8.18","B (3.22)","B- (2.93)"
"Hao, Nan","BIMM 140 - Quantitative Principles in Bio (A)","FA22","158","111","97.3%","96.3%","4.45","A- (3.77)","B+ (3.56)"
"Suel, Gurol Mehmet","BIMM 140 - Quantitative Principles in Bio (A)","FA22","158","111","97.3%","99.1%","4.45","A- (3.77)","B+ (3.56)"
"Grant, Barry J","BIMM 143 - Bioinformatics Laboratory (A)","FA22","43","19","100.0%","100.0%","5.17","A- (3.83)","A- (3.87)"
"Bozinovic, Goran","BIMM 143 - Bioinformatics Laboratory (C)","FA22","41","15","100.0%","100.0%","4.65","B (3.23)","B+ (3.45)"
"Hasty, Jeff M","BIMM 194 - Adv Topics-Molecular Bio (A)","FA22","26","10","100.0%","100.0%","0.72","A (4.00)","A (4.00)"
"Golden, James W","BIMM 194 - Adv Topics-Molecular Bio (B)","FA22","26","16","100.0%","100.0%","2.63","A (4.00)","A- (3.91)"
"Lykke-Andersen, Jens","BIMM 194 - Adv Topics-Molecular Bio (C)","FA22","17","11","100.0%","100.0%","3.59","A- (3.91)","N/A"
"Golden, Susan S.","BIMM 194 - Adv Topics-Molecular Bio (D)","FA22","20","11","100.0%","100.0%","2.10","A (4.00)","A (4.00)"
"Cooke, James Edward","BIPN 100 - Human Physiology I (A)","FA22","326","140","94.2%","95.6%","7.86","B (3.24)","C+ (2.48)"
"Reyes Gonzalez, Catalina","BIPN 100 - Human Physiology I (B)","FA22","307","230","90.0%","93.0%","7.85","B (3.07)","B- (2.86)"
"Reyes Gonzalez, Catalina","BIPN 102 - Human Physiology II (A)","FA22","184","157","96.8%","98.7%","6.87","B+ (3.50)","B (3.08)"
"Armour, Jon Christopher","BIPN 105 - Human Physiology Lab (A)","FA22","77","24","79.2%","95.8%","12.67","B (3.00)","B- (2.97)"
"Spitzer, Nicholas","BIPN 140 - Cellular Neurobiology (A)","FA22","106","42","75.6%","75.6%","7.25","B- (2.98)","B- (2.88)"
"Su, Chih-Ying","BIPN 140 - Cellular Neurobiology (A)","FA22","106","42","75.6%","87.8%","7.25","B- (2.98)","B- (2.88)"
"Banghart, Matthew Ryan","BIPN 140 - Cellular Neurobiology (B)","FA22","64","41","80.5%","80.5%","7.99","C+ (2.64)","C+ (2.32)"
"Marino, Marc J","BIPN 145 - Neurobiology Laboratory (A)","FA22","77","31","90.3%","100.0%","9.79","B+ (3.45)","B+ (3.58)"
"Juavinett, Ashley Lauren","BIPN 145 - Neurobiology Laboratory (B)","FA22","40","15","100.0%","100.0%","5.50","B (3.29)","B+ (3.51)"
"Leutgeb, Jill K.","BIPN 148 - Cellular Basis Learning&Memory (A)","FA22","98","34","93.9%","93.9%","5.32","B (3.29)","B (3.13)"
"Gentner, Tim","BIPN 189 - Brain, Behavior, and Evolution (A)","FA22","20","7","85.7%","85.7%","6.50","B (3.00)","B (3.27)"
"Pekkurnaz Banghart, Gulcin","BIPN 194 - Adv Topics-Phys/Neuro (A)","FA22","20","6","100.0%","100.0%","3.17","A (4.00)","A- (3.79)"
"Wertheim, Joel Okrent","BISP 194 - Adv Topics in Modern Biology (A)","FA22","26","12","100.0%","100.0%","3.00","A- (3.83)","A- (3.79)"
"Cooke, James Edward","BISP 195 - Instructional Apprentice: Biol (A)","FA22","43","26","100.0%","100.0%","1.38","A (4.00)","N/A"
"Cooke, James Edward","BISP 195 - Instructional Apprentice: Biol (B)","FA22","50","18","100.0%","100.0%","0.94","A (4.00)","N/A"
"Cooke, James Edward","BISP 195 - Instructional Apprentice: Biol (C)","FA22","29","14","100.0%","100.0%","1.12","A (4.00)","N/A"
"Moeller, Corinne Anne","BICD 100 - Genetics (A)","S222","138","45","97.7%","97.6%","7.82","A- (3.70)","B+ (3.59)"
"Fazio, Francesco","BICD 110 - Cell Biology (A)","S222","96","29","40.7%","7.1%","9.05","B+ (3.46)","B- (2.91)"
"Gustafson-Brown, Cindy","BICD 136 - AIDS Science and Society (A)","S222","39","30","93.3%","90.0%","7.77","B (3.28)","B- (2.77)"
"Wills, Christopher","BIEB 150 - Evolution (A)","S222","48","20","80.0%","78.9%","6.70","B (3.00)","B (3.06)"
"Kurle, Carolyn M.","BIEB 194 - Adv Topics-EBE (B)","S222","12","10","100.0%","100.0%","2.50","A (4.00)","N/A"
"Bascom Jr., Carlisle S","BILD 1 - The Cell (A)","S222","62","56","96.4%","92.7%","7.05","B+ (3.50)","B+ (3.31)"
"Rana, Brinda Kanti","BILD 20 - Human Genetics/Modern Society (A)","S222","53","31","96.7%","100.0%","4.63","B (3.27)","B+ (3.30)"
"Gustafson-Brown, Cindy","BILD 30 - Biol of Plagues:Past & Present (A)","S222","10","7","100.0%","100.0%","7.36","B+ (3.50)","N/A"
"Reuther, Keefe","BILD 4 - Introductory Biology Lab (A)","S222","45","26","100.0%","92.0%","3.86","B+ (3.69)","A- (3.71)"
"Grossman, Emily N","BIMM 101 - Recombinant DNA Techniques (A)","S222","44","21","100.0%","100.0%","7.45","A- (3.81)","B+ (3.68)"
"Grossman, Emily N","BIMM 101 - Recombinant DNA Techniques (B)","S222","41","25","100.0%","100.0%","6.17","A- (3.79)","A- (3.71)"
"Tat, John","BIMM 110 - Molecular Basis/Human Disease (A)","S222","36","29","82.8%","79.3%","8.50","B (3.26)","B- (2.72)"
"Spencer, Tara Clare Jewel","BIMM 120 - Microbiology (A)","S222","39","11","100.0%","100.0%","5.95","A- (3.82)","A- (3.73)"
"Park, Ji Young","BIPN 100 - Human Physiology I (A)","S222","125","114","97.4%","97.3%","7.32","B+ (3.38)","B (3.13)"
"Vijapurkar, Ulka","BIPN 102 - Human Physiology II (A)","S222","33","6","100.0%","100.0%","7.17","B+ (3.33)","B (3.22)"
"Reuther, Keefe","BISP 194 - Adv Topics in Modern Biology (A)","S222","22","7","100.0%","100.0%","4.50","A (4.00)","A- (3.89)"
"Piercy, Marc Anthony","BIBC 100 - Structural Biochemistry (A)","S122","20","5","100.0%","80.0%","12.50","A- (3.80)","B (3.22)"
"Flagg, Matthew Paul","BIBC 102 - Metabolic Biochemistry (A)","S122","128","99","93.9%","99.0%","7.69","B+ (3.58)","B+ (3.38)"
"Moeller, Corinne Anne","BICD 100 - Genetics (A)","S122","82","23","100.0%","95.5%","7.95","B+ (3.41)","B+ (3.47)"
"McDonnell, Lisa Marie","BICD 100 - Genetics (B)","S122","64","18","100.0%","88.2%","9.09","B (3.29)","B (3.11)"
"Butler, Shannon Rhey","BIEB 102 - Intro Eclgy/Organisms&Habitats (A)","S122","185","129","100.0%","98.4%","5.45","B+ (3.63)","B+ (3.66)"
"Shurin, Jonathan","BIEB 136GS - Tropical Field Ecology (A)","S122","18","10","90.0%","77.8%","4.50","A- (3.80)","N/A"
"Shurin, Jonathan","BIEB 137GS - Sea Turtle Eco/Conservation (A)","S122","18","9","87.5%","87.5%","4.50","A- (3.88)","N/A"
"Cooper, Andrew Michael","BILD 1 - The Cell (A)","S122","45","39","76.9%","79.5%","6.82","B (3.09)","B- (2.86)"
"Lee, Donghyung","BILD 12 - Neurobiology and Behavior (A)","S122","11","9","100.0%","100.0%","4.50","A- (3.71)","N/A"
"Lebeaupin, Cynthia D","BILD 2 - Multicellular Life (A)","S122","172","111","100.0%","99.1%","6.34","A- (3.77)","A- (3.78)"
"Rana, Brinda Kanti","BILD 20 - Human Genetics/Modern Society (A)","S122","11","8","100.0%","100.0%","5.50","B+ (3.43)","N/A"
"Butler, Shannon Rhey","BILD 3 - Organismic&Evolutionary Biol (A)","S122","217","127","88.9%","88.9%","6.53","B+ (3.54)","B+ (3.39)"
"Spencer, Tara Clare Jewel","BILD 30 - Biol of Plagues:Past & Present (A)","S122","11","4","66.7%","100.0%","5.83","B+ (3.50)","N/A"
"Ulivieri, Martina","BIMM 100 - Molecular Biology (A)","S122","141","106","66.0%","55.7%","9.12","B (3.18)","B (3.26)"
"Tat, John","BIMM 110 - Molecular Basis/Human Disease (A)","S122","45","38","92.1%","89.5%","7.83","B+ (3.32)","B (3.08)"
"Pickett, Brooke Elizabeth","BIMM 120 - Microbiology (A)","S122","76","24","90.9%","100.0%","7.86","B (3.14)","B- (2.81)"
"Armour, Jon Christopher","BIPN 100 - Human Physiology I (A)","S122","85","21","94.7%","94.7%","9.13","C+ (2.53)","C- (1.99)"
"Cooke, James Edward","BIPN 134 - Human Reproduction (A)","S122","190","57","94.5%","96.3%","8.87","B (3.25)","B- (2.73)"
"Neal, Sonya E","BIBC 100 - Structural Biochemistry (A)","SP22","233","185","99.5%","100.0%","5.23","A- (3.76)","A- (3.85)"
"Dickinson, Alexandra Jazz","BIBC 102 - Metabolic Biochemistry (A)","SP22","152","133","97.7%","100.0%","6.41","B+ (3.66)","B+ (3.67)"
"Bozinovic, Goran","BIBC 102 - Metabolic Biochemistry (B)","SP22","214","111","72.4%","80.0%","7.97","B- (2.89)","B- (2.84)"
"Burg, Michael","BIBC 103 - Biochemical Techniques (A)","SP22","48","42","92.9%","95.2%","6.83","B (3.14)","B+ (3.43)"
"Beyhan, Sinem","BIBC 103 - Biochemical Techniques (C)","SP22","48","26","96.2%","100.0%","8.50","B+ (3.50)","B+ (3.39)"
"Hampton, Randolph Y.","BIBC 120 - Nutrition (A)","SP22","337","288","97.6%","96.8%","4.50","B+ (3.59)","B+ (3.39)"
"Huffaker, Alisa","BIBC 151 - Chem of Bio Interactions (A)","SP22","34","16","100.0%","100.0%","4.63","A- (3.87)","A- (3.99)"
"Schmelz, Eric Alexander","BIBC 151 - Chem of Bio Interactions (A)","SP22","34","16","100.0%","100.0%","4.63","A- (3.87)","A- (3.99)"
"Grossman, Emily N","BICD 100 - Genetics (A)","SP22","188","144","93.8%","95.1%","5.56","B+ (3.52)","B (3.24)"
"Grossman, Emily N","BICD 100 - Genetics (B)","SP22","189","154","97.4%","93.5%","4.91","A- (3.73)","B+ (3.42)"
"Grossman, Emily N","BICD 100 - Genetics (C)","SP22","189","154","96.1%","93.5%","5.70","B+ (3.59)","B+ (3.41)"
"Rusert, Jessica Marie","BICD 100 - Genetics (D)","SP22","113","80","94.7%","93.4%","5.13","B+ (3.54)","B- (2.99)"
"Mueller, Liam O'Connor","BICD 100 - Genetics (E)","SP22","178","143","95.8%","94.4%","5.11","B+ (3.39)","B+ (3.34)"
"Forbes, Douglass Jane","BICD 110 - Cell Biology (A)","SP22","283","222","90.0%","87.3%","6.48","B+ (3.60)","B+ (3.69)"
"Flagg, Matthew Paul","BICD 110 - Cell Biology (B)","SP22","207","153","97.4%","96.0%","4.99","A- (3.75)","B+ (3.69)"
"Cooper, Kimberly Lynn","BICD 112 - Stem Cells and Regeneration (A)","SP22","56","32","96.9%","96.9%","8.38","B+ (3.63)","B+ (3.68)"
"Traver, David","BICD 112 - Stem Cells and Regeneration (A)","SP22","56","32","96.9%","96.9%","8.38","B+ (3.63)","B+ (3.68)"
"Zhao, Yunde","BICD 123 - Plant Mol Genetics&Biotech Lab (A)","SP22","36","14","84.6%","92.3%","5.12","B+ (3.38)","B+ (3.58)"
"Lu, Li-Fan","BICD 140 - Immunology (A)","SP22","192","143","84.5%","86.6%","7.19","B (3.07)","B (3.17)"
"Bier, Ethan","BICD 194 - Adv Topics-Cellular Dev (A)","SP22","23","8","85.7%","85.7%","1.36","A (4.00)","A (4.00)"
"Butler, Shannon Rhey","BIEB 121 - Ecology Laboratory (A)","SP22","32","21","100.0%","81.0%","3.64","A- (3.90)","A- (3.86)"
"Butler, Shannon Rhey","BIEB 121 - Ecology Laboratory (B)","SP22","32","16","93.8%","87.5%","2.38","A (4.00)","A- (3.93)"
"Roy, Kaustuv","BIEB 140 - Biodiversity (A)","SP22","134","64","93.7%","95.2%","4.69","B+ (3.38)","B (3.10)"
"Chao, Lin","BIEB 143 - Comp Modeling in Evol/Ecol (A)","SP22","22","7","100.0%","83.3%","7.17","B (3.00)","B- (2.90)"
"Rifkin, Scott","BIEB 143 - Comp Modeling in Evol/Ecol (A)","SP22","22","7","100.0%","100.0%","7.17","B (3.00)","B- (2.90)"
"Petrie, Katherine Lynn","BIEB 146 - Genome Diversity and Dynamics (A)","SP22","357","263","96.5%","98.1%","5.53","B+ (3.69)","B+ (3.67)"
"Meyer, Justin Raymond","BIEB 152 - Evol of Infectious Diseases (A)","SP22","407","195","98.4%","98.4%","4.64","B+ (3.62)","B (3.23)"
"Stockwell, Sarah R","BIEB 154 - Evolutionary Inquiry (A)","SP22","40","28","89.3%","100.0%","5.91","B (3.23)","C+ (2.43)"
"Cooper, Andrew Michael","BILD 1 - The Cell (A)","SP22","188","160","85.6%","84.9%","5.15","B (3.23)","B (3.15)"
"Meaders, Clara Leigh","BILD 1 - The Cell (B)","SP22","186","137","96.2%","99.2%","5.67","B+ (3.62)","B+ (3.38)"
"Rusert, Jessica Marie","BILD 1 - The Cell (C)","SP22","89","66","92.4%","87.7%","4.83","B (3.02)","B- (2.74)"
"Rusert, Jessica Marie","BILD 1 - The Cell (D)","SP22","107","75","94.5%","91.8%","5.77","B+ (3.38)","B- (2.94)"
"Alfonso, Stephanie Isabel","BILD 1 - The Cell (E)","SP22","59","17","70.6%","47.1%","5.79","B (3.19)","C+ (2.46)"
"Owens, Melinda Tsao-Ying","BILD 2 - Multicellular Life (A)","SP22","189","151","98.7%","99.3%","5.94","B+ (3.62)","B (3.09)"
"Park, Ji Young","BILD 2 - Multicellular Life (B)","SP22","156","105","98.1%","97.1%","5.55","B+ (3.55)","B (3.04)"
"Park, Ji Young","BILD 2 - Multicellular Life (C)","SP22","153","113","93.7%","99.1%","5.43","B+ (3.61)","B (3.23)"
"Park, Ji Young","BILD 2 - Multicellular Life (D)","SP22","157","118","96.6%","98.3%","5.39","B+ (3.58)","B (3.19)"
"Goldrath, Ananda","BILD 28 - Immunology/Vaccines (A)","SP22","72","27","83.3%","95.8%","4.50","B+ (3.30)","B- (2.73)"
"Cooper, Kimberly Lynn","BILD 3 - Organismic&Evolutionary Biol (A)","SP22","138","97","98.9%","100.0%","4.40","B (3.22)","B- (2.89)"
"Stockwell, Sarah R","BILD 3 - Organismic&Evolutionary Biol (B)","SP22","185","135","94.8%","97.8%","4.66","B+ (3.49)","B (3.21)"
"Kurle, Carolyn M.","BILD 3 - Organismic&Evolutionary Biol (C)","SP22","188","84","98.8%","100.0%","3.81","B+ (3.60)","B+ (3.64)"
"Hammond, LaTisha Marie","BILD 3 - Organismic&Evolutionary Biol (D)","SP22","167","64","90.3%","96.8%","4.34","B+ (3.46)","B (3.17)"
"Caffrey, Carolee","BILD 3 - Organismic&Evolutionary Biol (E)","SP22","83","43","76.7%","76.7%","5.36","B (3.00)","C+ (2.38)"
"Mel, Stephanie","BILD 4 - Introductory Biology Lab (A)","SP22","177","111","91.8%","96.9%","3.49","B+ (3.59)","B+ (3.61)"
"Pickett, Brooke Elizabeth","BILD 4 - Introductory Biology Lab (B)","SP22","187","120","96.7%","93.3%","2.88","A- (3.86)","A- (3.79)"
"Mueller, Liam O'Connor","BILD 5 - Data Analysis/Design for Bio (A)","SP22","27","15","86.7%","93.3%","4.36","A- (3.77)","B+ (3.38)"
"Rifkin, Scott","BILD 60 - DEI in Relation to Human Bio (A)","SP22","44","19","84.2%","100.0%","5.24","B+ (3.69)","B (3.29)"
"Juavinett, Ashley Lauren","BILD 62 - Intro to Python for Biologists (A)","SP22","46","23","95.5%","100.0%","4.86","A- (3.89)","A- (3.73)"
"Saier, Milton H.","BILD 87 - First-year Seminar (A)","SP22","16","7","85.7%","100.0%","0.79","B+ (3.33)","N/A"
"Saier, Milton H.","BILD 87 - First-year Seminar (B)","SP22","16","9","88.9%","88.9%","0.50","A (4.00)","N/A"
"Hampton, Randolph Y.","BILD 87 - First-year Seminar (C)","SP22","15","10","100.0%","100.0%","0.50","N/A","N/A"
"Briggs, Steven","BILD 92 - Prof Dev Topics in Biology (A)","SP22","13","5","100.0%","100.0%","1.50","N/A","N/A"
"Burg, Michael","BIMM 100 - Molecular Biology (A)","SP22","304","257","90.6%","90.2%","6.40","B (3.27)","B (3.04)"
"Cooper, Andrew Michael","BIMM 100 - Molecular Biology (B)","SP22","200","185","96.2%","95.1%","5.52","B+ (3.44)","B+ (3.34)"
"Meaders, Clara Leigh","BIMM 101 - Recombinant DNA Techniques (A)","SP22","49","37","97.3%","100.0%","7.61","B+ (3.56)","B+ (3.46)"
"McDonnell, Lisa Marie","BIMM 101 - Recombinant DNA Techniques (B)","SP22","46","30","96.4%","100.0%","6.91","B+ (3.61)","B+ (3.52)"
"Gustafson-Brown, Cindy","BIMM 101 - Recombinant DNA Techniques (C)","SP22","46","37","58.3%","60.0%","9.72","C+ (2.64)","B (3.11)"
"Day, Christopher D","BIMM 101 - Recombinant DNA Techniques (E)","SP22","105","54","92.5%","96.2%","5.37","B+ (3.54)","B+ (3.53)"
"Niwa, Maho","BIMM 110 - Molecular Basis/Human Disease (A)","SP22","72","37","70.3%","75.7%","7.64","B- (2.95)","C+ (2.69)"
"Pirino, Giorgia","BIMM 120 - Microbiology (A)","SP22","229","121","97.5%","94.9%","5.30","A- (3.74)","B+ (3.46)"
"Pirino, Giorgia","BIMM 121 - Microbiology Laboratory (A)","SP22","47","29","92.9%","89.3%","6.86","B+ (3.68)","B+ (3.44)"
"Pickett, Brooke Elizabeth","BIMM 121 - Microbiology Laboratory (B)","SP22","48","27","100.0%","100.0%","5.58","A- (3.85)","A- (3.77)"
"Minich, Jeremiah Jeffrey","BIMM 121 - Microbiology Laboratory (C)","SP22","96","51","73.5%","46.9%","6.99","B+ (3.55)","A- (3.75)"
"Gustafson-Brown, Cindy","BIMM 124 - Medical Microbiology (A)","SP22","107","88","86.4%","86.4%","8.10","B (3.10)","B- (2.81)"
"Nicholson-Shaw, Timothy Luis Cabrer","BIMM 143 - Bioinformatics Laboratory (A)","SP22","45","18","66.7%","77.8%","11.72","A- (3.89)","B+ (3.60)"
"Schiffer, Jamie Michelle","BIMM 143 - Bioinformatics Laboratory (A)","SP22","45","18","66.7%","72.2%","11.72","A- (3.89)","B+ (3.60)"
"Nicholson-Shaw, Timothy Luis Cabrer","BIMM 143 - Bioinformatics Laboratory (B)","SP22","43","20","65.0%","70.0%","10.20","B+ (3.55)","B+ (3.64)"
"Schiffer, Jamie Michelle","BIMM 143 - Bioinformatics Laboratory (B)","SP22","43","20","65.0%","75.0%","10.20","B+ (3.55)","B+ (3.64)"
"Dutton, Rachel Janelle","BIMM 170 - Genomics Research Init Lab II (A)","SP22","30","19","100.0%","94.1%","2.17","A (4.00)","A- (3.97)"
"Heussler, Gary E","BIMM 170 - Genomics Research Init Lab II (A)","SP22","30","19","100.0%","100.0%","2.17","A (4.00)","A- (3.97)"
"Bafna, Vineet","BIMM 182 - Biological Databases (A)","SP22","42","14","69.2%","76.9%","7.79","B (3.29)","B+ (3.39)"
"Rivera, Fabian Chavez","BIMM 194 - Adv Topics-Molecular Bio (A)","SP22","21","17","100.0%","100.0%","2.03","A (4.00)","A- (3.98)"
"Russell, Alistair B","BIMM 194 - Adv Topics-Molecular Bio (B)","SP22","23","10","88.9%","100.0%","2.50","A- (3.80)","A (4.00)"
