"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Bronstein, Phoebe Malan","CAT 1 - Culture, Art & Technology 1 (A)","FA22","271","208","89.4%","95.2%","3.63","A- (3.72)","B+ (3.67)"
"Bigham, David Joseph","CAT 1 - Culture, Art & Technology 1 (B)","FA22","238","136","82.6%","93.9%","4.21","B+ (3.61)","A- (3.95)"
"Algaze, Guillermo","CAT 1 - Culture, Art & Technology 1 (C)","FA22","164","70","78.1%","74.6%","3.59","A- (3.74)","A- (3.83)"
"Marchisotto, Jennifer Anne","CAT 1 - Culture, Art & Technology 1 (D)","FA22","238","151","84.5%","98.0%","3.12","B+ (3.54)","B+ (3.65)"
"Marchisotto, Jennifer Anne","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","FA22","313","99","86.2%","94.7%","4.11","A- (3.82)","B+ (3.58)"
"Gumm, Elizabeth Ashley","CAT 3 - Culture, Art & Technology III (A)","FA22","58","19","88.9%","94.4%","4.83","B+ (3.61)","B+ (3.45)"
"Geibel, William","CAT 124GS - Sixth College Practicum GS (A)","S322","19","7","71.4%","71.4%","7.07","A- (3.83)","N/A"
"Geibel, William","CAT 125GS - Public Rhetoric & Prac Comm GS (A)","S322","19","8","62.5%","62.5%","5.25","B+ (3.67)","N/A"
"Algaze, Guillermo","CAT 2 - Culture, Art & Technology 2 (A)","S222","64","14","66.7%","58.3%","6.32","B+ (3.55)","A- (3.72)"
"Gumm, Elizabeth Ashley","CAT 1 - Culture, Art & Technology 1 (A)","S122","77","37","81.1%","88.9%","6.67","B (3.29)","B (3.27)"
"Rose, Becca Rae","CAT 124 - Sixth College Practicum (A)","S122","14","8","100.0%","100.0%","6.50","A (4.00)","N/A"
"Tosun, Adriana","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","S122","237","58","92.9%","91.1%","4.36","A- (3.82)","B+ (3.65)"
"Puritty, Chandler Elizabeth","CAT 125 - Public Rhetoric & Pract Commun (A)","SP22","128","46","89.1%","89.1%","2.33","A- (3.87)","B+ (3.62)"
"Bigham, David Joseph","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","SP22","250","92","89.7%","94.3%","4.57","A- (3.76)","B+ (3.50)"
"Burgasser, Adam Jonathan","CAT 3 - Culture, Art & Technology III (A)","SP22","239","133","84.4%","94.5%","3.55","A- (3.80)","A- (3.85)"
"Rahimi, Babak","CAT 3 - Culture, Art & Technology III (B)","SP22","199","112","57.9%","73.6%","3.66","B+ (3.68)","B+ (3.50)"
"Bronstein, Phoebe Malan","CAT 3 - Culture, Art & Technology III (C)","SP22","30","22","100.0%","100.0%","6.60","A- (3.74)","B+ (3.69)"
"Marchisotto, Jennifer Anne","CAT 3 - Culture, Art & Technology III (D)","SP22","225","104","73.0%","92.9%","3.31","A- (3.73)","A- (3.79)"
"Bigham, David Joseph","CAT 3 - Culture, Art & Technology III (E)","SP22","269","209","80.4%","92.1%","3.20","A- (3.75)","B+ (3.69)"
"Moran, Ryan James","CAT 124 - Sixth College Practicum (A)","WI22","12","4","75.0%","75.0%","2.50","A (4.00)","N/A"
"Puritty, Chandler Elizabeth","CAT 125 - Public Rhetoric & Pract Commun (A)","WI22","127","85","75.0%","71.4%","3.18","A- (3.90)","B+ (3.69)"
"Bigham, David Joseph","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","WI22","244","116","91.0%","98.2%","4.41","A- (3.77)","B+ (3.46)"
"Bigham, David Joseph","CAT 2 - Culture, Art & Technology 2 (A)","WI22","268","186","77.5%","91.2%","4.25","B+ (3.54)","B+ (3.59)"
"Bronstein, Phoebe Malan","CAT 2 - Culture, Art & Technology 2 (B)","WI22","266","238","88.2%","95.8%","4.05","A- (3.74)","B+ (3.70)"
"Yoldas, Pinar","CAT 2 - Culture, Art & Technology 2 (C)","WI22","238","148","76.2%","86.4%","2.94","B+ (3.60)","B+ (3.54)"
"Marchisotto, Jennifer Anne","CAT 2 - Culture, Art & Technology 2 (D)","WI22","210","122","80.7%","92.0%","4.13","B+ (3.63)","B+ (3.61)"
"Algaze, Guillermo","CAT 1 - Culture, Art & Technology 1 (A)","FA21","270","170","57.9%","46.5%","3.21","B+ (3.41)","B+ (3.42)"
"Bronstein, Phoebe Malan","CAT 1 - Culture, Art & Technology 1 (B)","FA21","272","254","89.4%","95.7%","3.50","B+ (3.63)","B+ (3.63)"
"Gumm, Elizabeth Ashley","CAT 1 - Culture, Art & Technology 1 (C)","FA21","237","160","94.1%","99.3%","3.33","A- (3.71)","A- (3.77)"
"Chodorow, Stanley A.","CAT 1 - Culture, Art & Technology 1 (D)","FA21","237","162","56.1%","58.3%","3.41","B+ (3.40)","B+ (3.31)"
"Sussman, Diana Wald","CAT 124 - Sixth College Practicum (A)","FA21","13","10","100.0%","100.0%","5.17","A- (3.71)","N/A"
"Geibel, William","CAT 125 - Public Rhetoric & Pract Commun (A)","FA21","252","192","88.0%","97.4%","4.05","B+ (3.68)","B+ (3.51)"
"Bigham, David Joseph","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","FA21","245","135","82.6%","96.2%","3.97","A- (3.72)","B+ (3.51)"
"Geibel, William","CAT 125 - Public Rhetoric & Pract Commun (A)","S221","110","73","91.4%","94.3%","5.15","A- (3.70)","B+ (3.49)"
"Sussman, Diana Wald","CAT 124 - Sixth College Practicum (A)","S121","12","12","91.7%","91.7%","9.33","B+ (3.30)","N/A"
"Radovsky, Siloh Marshall","CAT 125 - Public Rhetoric & Pract Commun (A)","S121","67","16","100.0%","100.0%","4.75","B+ (3.63)","A- (3.87)"
"Edwards, Robert Scott","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","S121","91","80","93.7%","94.9%","5.84","A- (3.73)","B+ (3.64)"
"Gumm, Elizabeth Ashley","CAT 125 - Public Rhetoric & Pract Commun (A)","SP21","164","72","89.7%","97.1%","4.47","A- (3.84)","B+ (3.59)"
"Geibel, William","CAT 125 - Public Rhetoric & Pract Commun (B)","SP21","75","63","92.1%","98.4%","3.33","A- (3.83)","B+ (3.59)"
"Bigham, David Joseph","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","SP21","175","82","91.1%","97.4%","4.02","A- (3.76)","B+ (3.67)"
"Burgasser, Adam Jonathan","CAT 3 - Culture, Art & Technology III (A)","SP21","235","218","78.8%","91.7%","4.22","B+ (3.69)","A- (3.85)"
"Bronstein, Phoebe Malan","CAT 3 - Culture, Art & Technology III (B)","SP21","241","217","94.0%","98.6%","4.27","A- (3.83)","A- (3.90)"
"Werner, Bradley T.","CAT 3 - Culture, Art & Technology III (C)","SP21","173","94","74.7%","76.1%","3.82","A- (3.71)","A- (3.73)"
"Herbst, Matthew","CAT 3 - Culture, Art & Technology III (D)","SP21","211","99","79.4%","89.4%","4.67","A- (3.78)","A- (3.79)"
"Porter, Lisa","CAT 3 - Culture, Art & Technology III (D)","SP21","211","99","79.4%","84.5%","4.67","A- (3.78)","A- (3.79)"
"Geibel, William","CAT 125 - Public Rhetoric & Pract Commun (A)","WI21","172","142","90.1%","95.8%","4.36","B+ (3.65)","B (3.29)"
"Bronstein, Phoebe Malan","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","WI21","192","168","89.2%","97.6%","4.42","A- (3.75)","A- (3.74)"
"Bigham, David Joseph","CAT 125R - Pblc Rhetoric Prct Comm Online (B)","WI21","184","69","87.0%","94.2%","4.59","A- (3.77)","B+ (3.63)"
"Algaze, Guillermo","CAT 2 - Culture, Art & Technology 2 (A)","WI21","234","149","85.6%","89.0%","4.39","B+ (3.57)","B+ (3.52)"
"Nguyen, Hoang Tan","CAT 2 - Culture, Art & Technology 2 (B)","WI21","237","181","88.8%","90.4%","4.40","B+ (3.69)","A- (3.79)"
"Gumm, Elizabeth Ashley","CAT 2 - Culture, Art & Technology 2 (C)","WI21","207","115","95.6%","99.1%","5.08","B+ (3.63)","B+ (3.55)"
"Glaser, Amelia","CAT 2 - Culture, Art & Technology 2 (E)","WI21","197","122","88.3%","100.0%","4.26","A- (3.72)","B+ (3.66)"
"Chodorow, Stanley A.","CAT 1 - Culture, Art & Technology 1 (A)","FA20","168","118","70.4%","77.2%","4.07","B+ (3.44)","B+ (3.33)"
"Bigham, David Joseph","CAT 1 - Culture, Art & Technology 1 (C)","FA20","291","186","91.0%","97.2%","4.94","B+ (3.51)","B+ (3.59)"
"Bronstein, Phoebe Malan","CAT 1 - Culture, Art & Technology 1 (D)","FA20","228","218","93.1%","98.2%","4.20","A- (3.76)","A- (3.83)"
"Algaze, Guillermo","CAT 1 - Culture, Art & Technology 1 (E)","FA20","167","112","72.1%","82.0%","4.26","B+ (3.48)","B+ (3.42)"
"Gumm, Elizabeth Ashley","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","FA20","194","74","86.3%","94.5%","4.06","A- (3.79)","B+ (3.64)"
"Bigham, David Joseph","CAT 125R - Pblc Rhetoric Prct Comm Online (B)","FA20","194","97","88.4%","96.8%","4.63","A- (3.82)","A- (3.71)"
"Bigham, David Joseph","CAT 1 - Culture, Art & Technology 1 (A)","S220","53","16","93.3%","100.0%","6.21","B+ (3.40)","B+ (3.65)"
"Marchisotto, Jennifer Anne","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","S220","181","122","94.2%","95.9%","4.93","A- (3.83)","A- (3.79)"
"Kurian, Amrita Achamma","CAT 124 - Sixth College Practicum (A)","S120","15","7","71.4%","85.7%","5.36","B+ (3.43)","N/A"
"Bronstein, Phoebe Malan","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","S120","186","137","93.4%","94.1%","4.75","A- (3.79)","A- (3.82)"
"Bigham, David Joseph","CAT 125 - Public Rhetoric & Pract Commun (A)","SP20","151","76","89.2%","98.6%","4.28","A- (3.74)","B+ (3.68)"
