"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Anderson, Qin-Hong","CHIN 100AM - Third Yr Chinese/Heritage SpkI (A)","FA22","16","15","100.0%","100.0%","3.70","A- (3.90)","N/A"
"Chen, Pei-Chia","CHIN 100AN - Third Yr Chinese/Non-Native I (A)","FA22","22","10","100.0%","100.0%","5.50","A- (3.75)","B+ (3.54)"
"Liu, Mingming","CHIN 10AD - First Yr Chinese/Dialect Spk I (A)","FA22","22","17","100.0%","100.0%","5.56","A- (3.71)","B+ (3.67)"
"Liu, Mingming","CHIN 10AD - First Yr Chinese/Dialect Spk I (B)","FA22","15","10","100.0%","100.0%","6.70","B+ (3.63)","N/A"
"Chen, Pei-Chia","CHIN 10AM - First Yr Chinese/Mandarin I (A)","FA22","25","6","100.0%","83.3%","3.83","B+ (3.67)","B+ (3.70)"
"Xu, Li","CHIN 10AN - First Yr Chinese/Non-Native I (A)","FA22","27","14","100.0%","100.0%","4.65","B (3.25)","B (3.29)"
"Xu, Li","CHIN 10AN - First Yr Chinese/Non-Native I (B)","FA22","13","4","100.0%","100.0%","6.00","B+ (3.67)","N/A"
"Xu, Li","CHIN 10AN - First Yr Chinese/Non-Native I (C)","FA22","25","10","100.0%","100.0%","6.30","B+ (3.38)","B+ (3.46)"
"Liu, Mingming","CHIN 185A - Readngs/Chinese Cult & Society (A)","FA22","14","13","100.0%","100.0%","6.00","A- (3.75)","N/A"
"Wang, Xiao","CHIN 20AD - Second Yr Chinese-Dialect SpkI (A)","FA22","22","18","94.4%","100.0%","3.83","B+ (3.55)","A- (3.78)"
"Wang, Xiao","CHIN 20AD - Second Yr Chinese-Dialect SpkI (B)","FA22","22","15","86.7%","86.7%","3.70","B+ (3.69)","A- (3.81)"
"Wang, Xiao","CHIN 20AM - Second Yr Chinese-Mandarin I (A)","FA22","27","19","94.4%","94.1%","4.17","A- (3.91)","B+ (3.61)"
"Chen, Jing","CHIN 20AM - Second Yr Chinese-Mandarin I (B)","FA22","13","7","71.4%","100.0%","7.17","B+ (3.50)","N/A"
"Anderson, Qin-Hong","CHIN 20AN - Second Yr Chinese/Non-Native I (A)","FA22","22","21","100.0%","100.0%","4.02","A (4.00)","B+ (3.68)"
"Anderson, Qin-Hong","CHIN 20AN - Second Yr Chinese/Non-Native I (B)","FA22","23","19","100.0%","100.0%","3.45","A- (3.71)","B+ (3.66)"
"Wang, Xiao","CHIN 169A - Medical Chinese I (A)","S122","18","3","100.0%","66.7%","0.50","A (4.00)","N/A"
"Xu, Li","CHIN 100CN - Third Yr Chinese/Non-NativeIII (A)","SP22","11","6","100.0%","100.0%","2.90","A- (3.75)","N/A"
"Chen, Pei-Chia","CHIN 10CD - First Yr Chinese/Dialect III (A)","SP22","27","16","100.0%","100.0%","4.88","A- (3.86)","B+ (3.59)"
