"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Schmidt, Thomas Rainer","COMM 10 - Introduction to Communication (A)","FA22","346","252","95.2%","97.6%","4.61","A- (3.76)","B+ (3.62)"
"Irani, Lilly C","COMM 100A - Comm, the Person&Everyday Life (A)","FA22","253","94","96.5%","95.3%","5.66","A- (3.70)","A- (3.73)"
"Halm, Gavin Patrick","COMM 101 - Intro Audio-Vis Media Practice (A)","FA22","64","16","100.0%","100.0%","3.57","A- (3.87)","A- (3.99)"
"Halm, Gavin Patrick","COMM 101D - MPL:Non-Linear Digital Editing (A)","FA22","18","9","100.0%","100.0%","4.50","A (4.00)","N/A"
"Ahn, Patricia Jeehyun","COMM 101K - MPL: Documentary Sketchbook (A)","FA22","25","7","100.0%","100.0%","6.50","A- (3.86)","A (4.00)"
"Vangelisti, Nicoletta Maria","COMM 101T - Media Prod Lab: Topics in Prod (A)","FA22","20","3","100.0%","100.0%","3.83","A (4.00)","A (4.00)"
"Taitingfong, Riley Ilyse","COMM 102C - MMPP: Media & Design Practicum (A)","FA22","19","3","100.0%","100.0%","4.50","A (4.00)","N/A"
"Davis, Zeinabu I.","COMM 103D - Documentary History & Theory (A)","FA22","42","11","90.9%","100.0%","4.30","B+ (3.55)","B+ (3.59)"
"Geiger, Richard Stuart","COMM 106E - CI: Data, Science, and Society (A)","FA22","38","12","100.0%","100.0%","3.67","A- (3.75)","A- (3.89)"
"Cordoba Azcarate, Matilde","COMM 106G - CI: Tourism - Global Industry (A)","FA22","38","17","100.0%","100.0%","5.57","A- (3.87)","A- (3.79)"
"Walkover, Lillian B","COMM 108G - POB: Gender and Biomedicine (A)","FA22","31","19","88.9%","88.2%","6.50","B+ (3.67)","B+ (3.66)"
"Tanaka, Stefan A.","COMM 109I - MC: History of Information (A)","FA22","23","8","100.0%","100.0%","4.25","B (3.25)","B (3.30)"
"Hallin, Daniel C","COMM 109N - MC: American News Media (A)","FA22","34","6","100.0%","100.0%","6.17","B+ (3.50)","B (3.14)"
"Whitworth-Smith, Andrew C","COMM 110G - LLC:Communication in Orgs (A)","FA22","56","47","95.7%","100.0%","4.97","A- (3.87)","A- (3.87)"
"Conner, Thomas Hartnell","COMM 111P - CCP:Perform & Cultural Studies (A)","FA22","36","10","90.0%","90.0%","4.90","A- (3.80)","B+ (3.34)"
"Abuelhiga, Soraya Jill","COMM 113T - Intm Topics in Communication (A)","FA22","28","25","100.0%","96.0%","4.02","A- (3.92)","A- (3.93)"
"Sims, Christopher O","COMM 124A - Critical Design/Adv Studio (B)","FA22","49","6","83.3%","83.3%","8.83","B+ (3.67)","B+ (3.30)"
"Fields, Gary","COMM 131 - Comm, Dissent, Social Mvments (A)","FA22","38","9","100.0%","100.0%","4.94","B+ (3.56)","B+ (3.42)"
"Kidman, Shawna F","COMM 134 - Media Audiences (A)","FA22","38","9","100.0%","100.0%","4.50","B+ (3.44)","B (3.19)"
"Ko, Sookyong","COMM 146 - Adv Studies-Cultural Prductn (A)","FA22","29","6","100.0%","100.0%","4.10","A (4.00)","A- (3.78)"
"Metcalf, Kathryne Young","COMM 166 - Surveillance, Media & Risk Soc (A)","FA22","30","8","100.0%","100.0%","4.75","A- (3.88)","B+ (3.66)"
"Bernerslee, David Benjamin","COMM 172 - Adv Topics-Mediation Interact (A)","FA22","24","5","100.0%","100.0%","5.70","B+ (3.60)","B+ (3.35)"
"Naval, Teresa Isabel Hernandez","COMM 182 - Education & Global Citizenship (A)","FA22","32","4","33.3%","66.7%","2.50","B+ (3.67)","B+ (3.57)"
"Zilberg, Elana","COMM 190 - Junior Seminar in Comm (A)","FA22","22","8","50.0%","37.5%","3.50","B (3.29)","B (3.12)"
"Irani, Lilly C","COMM 190 - Junior Seminar in Comm (B)","FA22","25","3","100.0%","100.0%","4.50","A (4.00)","A- (3.71)"
"Schmidt, Thomas Rainer","COMM 196A - Honors Seminar/CommunicationI (A)","FA22","11","3","100.0%","100.0%","4.50","A (4.00)","N/A"
