"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Moshiri, Alexander Niema","CSE 100 - Advanced Data Structures (A)","FA22","190","141","98.6%","99.3%","7.91","B+ (3.64)","B+ (3.38)"
"Moshiri, Alexander Niema","CSE 100R - Advanced Data Structures (A)","FA22","258","184","99.5%","98.9%","8.47","B+ (3.63)","B+ (3.52)"
"Jones, Miles E","CSE 101 - Design & Analysis of Algorithm (A)","FA22","377","107","78.0%","98.0%","9.72","B (3.14)","B (3.22)"
"Saha, Barna","CSE 101 - Design & Analysis of Algorithm (A)","FA22","377","107","78.0%","69.7%","9.72","B (3.14)","B (3.22)"
"Freund, Yoav","CSE 103 - Practical Intro/Prob & Stats (A)","FA22","69","28","82.1%","78.6%","7.09","B+ (3.37)","B- (2.85)"
"Micciancio, Daniele","CSE 105 - Theory of Computation (A)","FA22","182","74","65.8%","44.4%","10.09","B (3.16)","B- (2.93)"
"Paturi, Ramamohan","CSE 106 - Discrete/Cont Optimization (A)","FA22","16","7","85.7%","85.7%","9.07","B+ (3.43)","N/A"
"Bellare, Mihir","CSE 107 - Intro to Modern Cryptography (A)","FA22","77","21","90.0%","95.0%","7.74","B (3.19)","B- (2.88)"
"Cao, Yingjun","CSE 11 - Accel. Intro to Programming (A)","FA22","174","140","97.1%","97.1%","8.63","A- (3.71)","B+ (3.52)"
"Cao, Yingjun","CSE 11 - Accel. Intro to Programming (B)","FA22","176","148","97.3%","96.6%","8.30","B+ (3.63)","B+ (3.55)"
"Cao, Yingjun","CSE 11 - Accel. Intro to Programming (C)","FA22","183","150","95.9%","92.6%","8.60","B+ (3.59)","B+ (3.44)"
"Powell, Thomas Allan","CSE 110 - Software Engineering (A)","FA22","386","110","69.3%","73.7%","8.94","B+ (3.60)","B+ (3.58)"
"Weibel, Nadir","CSE 118 - Ubiquitous Computing (A)","FA22","17","6","100.0%","100.0%","9.70","A- (3.80)","N/A"
"Miranda, Gregory Joseph","CSE 12 - Basic Data Struct & OO Design (A)","FA22","77","21","85.7%","71.4%","11.17","B (3.10)","B- (2.72)"
"Miranda, Gregory Joseph","CSE 12 - Basic Data Struct & OO Design (B)","FA22","131","52","80.4%","77.6%","11.09","B (3.20)","B+ (3.35)"
"Miranda, Gregory Joseph","CSE 12 - Basic Data Struct & OO Design (C)","FA22","128","34","78.1%","74.2%","9.89","B (3.12)","B (3.06)"
"Voelker, Geoffrey M.","CSE 120 - Princ/Computer Operating Systm (A)","FA22","273","86","93.8%","100.0%","10.50","B+ (3.44)","B (3.06)"
"Porter, George M","CSE 124 - Networked Services (A)","FA22","132","42","100.0%","100.0%","9.90","B+ (3.37)","B- (2.94)"
"Savage, Stefan","CSE 127 - Intro to Computer Security (A)","FA22","185","48","97.9%","100.0%","7.65","B+ (3.32)","B (3.08)"
"Knoth, Tristan Joseph","CSE 130 - Progrmng Lang:Princpl&Paradigm (A)","FA22","126","31","96.7%","100.0%","7.17","B+ (3.67)","A- (3.71)"
"Deutsch, Alin Bernard","CSE 132A - Database System Principles (A)","FA22","182","51","89.8%","89.8%","6.26","B+ (3.49)","B+ (3.55)"
"Eldon, John","CSE 140 - Component&Desgn Tech/Digtl Sys (A)","FA22","186","50","68.8%","83.3%","6.79","B (3.23)","B+ (3.32)"
"Orailoglu, Alex","CSE 140 - Component&Desgn Tech/Digtl Sys (B)","FA22","17","10","90.0%","77.8%","10.72","B+ (3.50)","N/A"
"Eldon, John","CSE 140L - Digital Systems Laboratory (A)","FA22","169","46","84.4%","88.9%","7.34","A- (3.82)","B+ (3.69)"
"Orailoglu, Alex","CSE 140L - Digital Systems Laboratory (B)","FA22","16","6","83.3%","83.3%","15.30","B+ (3.50)","N/A"
"Porter, Leonard Emerson","CSE 142 - Comp Arch Software Perspective (A)","FA22","122","82","92.7%","91.5%","7.50","B+ (3.34)","B (3.18)"
"Porter, Leonard Emerson","CSE 142 - Comp Arch Software Perspective (B)","FA22","98","69","89.9%","94.2%","7.49","B+ (3.42)","B (3.21)"
