"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Solomon, Amanda Lee Albaniel","DOC 1 - Diversity (A)","FA22","269","254","90.9%","98.8%","3.87","A- (3.83)","A (4.00)"
"Solomon, Amanda Lee Albaniel","DOC 1 - Diversity (B)","FA22","250","227","92.4%","98.7%","4.00","A- (3.88)","A (4.00)"
"Strom, Megan C.","DOC 1 - Diversity (C)","FA22","248","222","87.8%","91.8%","3.88","A- (3.83)","A (4.00)"
"Strom, Megan C.","DOC 1 - Diversity (D)","FA22","234","216","82.3%","91.5%","3.66","A- (3.88)","A (4.00)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (B)","FA22","26","11","72.7%","90.9%","8.50","A- (3.80)","B+ (3.57)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (C)","FA22","23","11","100.0%","100.0%","10.14","B+ (3.64)","B+ (3.43)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (A)","SP22","18","17","94.1%","94.1%","6.74","B+ (3.50)","N/A"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (B)","SP22","15","13","84.6%","100.0%","7.42","A- (3.77)","N/A"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (C)","SP22","12","10","90.0%","90.0%","9.30","B+ (3.44)","N/A"
"Solomon, Amanda Lee Albaniel","DOC 3 - Imagination (A)","SP22","271","246","88.4%","95.0%","5.51","A- (3.86)","A- (3.84)"
"Solomon, Amanda Lee Albaniel","DOC 3 - Imagination (B)","SP22","273","254","88.5%","92.1%","5.32","A- (3.85)","A- (3.85)"
"Strom, Megan C.","DOC 3 - Imagination (C)","SP22","241","218","91.2%","98.1%","5.22","A- (3.85)","A- (3.79)"
"Strom, Megan C.","DOC 3 - Imagination (D)","SP22","244","220","89.1%","96.3%","5.53","A- (3.85)","A- (3.82)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (A)","WI22","16","7","42.9%","57.1%","11.64","B (3.14)","N/A"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (B)","WI22","13","5","80.0%","80.0%","11.30","B+ (3.60)","N/A"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (C)","WI22","15","4","75.0%","75.0%","14.50","A- (3.75)","N/A"
"Johnston, Emily Ronay","DOC 2 - Justice (A)","WI22","277","259","91.8%","99.6%","6.39","A- (3.86)","A- (3.82)"
"Solomon, Amanda Lee Albaniel","DOC 2 - Justice (B)","WI22","272","251","92.8%","99.2%","5.98","A- (3.88)","A- (3.85)"
"Strom, Megan C.","DOC 2 - Justice (C)","WI22","241","224","86.1%","97.8%","5.97","A- (3.83)","A- (3.71)"
"Strom, Megan C.","DOC 2 - Justice (D)","WI22","245","217","90.8%","99.1%","6.21","A- (3.84)","A- (3.74)"
"Johnston, Emily Ronay","DOC 1 - Diversity (A)","FA21","268","213","92.8%","98.5%","6.55","A- (3.77)","A- (3.71)"
"Solomon, Amanda Lee Albaniel","DOC 1 - Diversity (B)","FA21","275","236","93.1%","99.1%","5.61","A- (3.89)","A- (3.81)"
"Strom, Megan C.","DOC 1 - Diversity (C)","FA21","248","210","89.9%","97.6%","5.89","A- (3.81)","A- (3.70)"
"Strom, Megan C.","DOC 1 - Diversity (D)","FA21","251","204","90.5%","96.0%","5.67","A- (3.84)","B+ (3.65)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (A)","FA21","21","16","68.8%","87.5%","9.63","B (3.17)","B- (2.91)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (B)","FA21","17","11","80.0%","80.0%","10.50","A- (3.70)","N/A"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (C)","FA21","15","9","55.6%","77.8%","11.17","B+ (3.56)","N/A"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (A)","SP21","18","13","84.6%","100.0%","9.27","A- (3.75)","N/A"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (B)","SP21","19","12","83.3%","91.7%","7.67","B (3.25)","N/A"
"Solomon, Amanda Lee Albaniel","DOC 3 - Imagination (A)","SP21","232","190","78.4%","97.4%","4.21","B+ (3.69)","B+ (3.50)"
"Strom, Megan C.","DOC 3 - Imagination (B)","SP21","227","215","76.3%","94.4%","4.55","B+ (3.52)","B+ (3.39)"
"Johnston, Emily Ronay","DOC 3 - Imagination (C)","SP21","207","182","87.9%","98.9%","4.98","B+ (3.69)","B+ (3.60)"
"Strom, Megan C.","DOC 3 - Imagination (D)","SP21","231","181","81.2%","95.0%","4.60","A- (3.73)","B+ (3.63)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (A)","WI21","21","16","93.8%","93.8%","9.25","B+ (3.40)","B (3.26)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (B)","WI21","21","15","60.0%","66.7%","9.97","B+ (3.38)","B (3.05)"
"Strom, Megan C.","DOC 2 - Justice (A)","WI21","307","262","78.9%","95.8%","4.75","B+ (3.60)","B+ (3.55)"
"Johnston, Emily Ronay","DOC 2 - Justice (B)","WI21","335","304","83.2%","97.0%","5.22","B+ (3.65)","A- (3.74)"
"Strom, Megan C.","DOC 2 - Justice (C)","WI21","256","242","81.3%","95.4%","4.68","A- (3.71)","A- (3.70)"
"Johnston, Emily Ronay","DOC 1 - Diversity (B)","FA20","311","263","89.3%","98.1%","5.35","A- (3.73)","B+ (3.63)"
"Strom, Megan C.","DOC 1 - Diversity (C)","FA20","309","248","87.9%","93.1%","5.21","A- (3.73)","B+ (3.66)"
"Strom, Megan C.","DOC 1 - Diversity (D)","FA20","282","232","87.0%","95.2%","5.03","A- (3.80)","A- (3.73)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (A)","FA20","15","3","33.3%","33.3%","10.50","B+ (3.50)","N/A"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (B)","FA20","15","6","100.0%","100.0%","10.83","A (4.00)","N/A"
"Johnston, Emily Ronay","DOC 1 - Diversity (A)","S220","40","16","75.0%","87.5%","8.88","B+ (3.56)","B+ (3.34)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (A)","S220","21","5","80.0%","80.0%","12.10","A- (3.75)","B+ (3.66)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (A)","SP20","20","6","100.0%","100.0%","8.50","A (4.00)","A- (3.79)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (B)","SP20","20","9","87.5%","87.5%","11.17","A- (3.88)","A- (3.86)"
"Strom, Megan C.","DOC 3 - Imagination (A)","SP20","235","159","71.5%","89.8%","3.30","B+ (3.61)","A- (3.80)"
"Strom, Megan C.","DOC 3 - Imagination (B)","SP20","224","164","79.0%","92.0%","4.13","B+ (3.63)","A- (3.73)"
"Solomon, Amanda Lee Albaniel","DOC 3 - Imagination (C)","SP20","259","175","78.3%","97.1%","4.26","B+ (3.50)","A- (3.91)"
"Johnston, Emily Ronay","DOC 3 - Imagination (D)","SP20","229","154","79.9%","96.1%","4.21","B+ (3.69)","B+ (3.68)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (A)","WI20","23","9","77.8%","100.0%","7.17","A- (3.78)","A- (3.74)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (B)","WI20","25","14","100.0%","100.0%","9.36","A- (3.86)","B+ (3.57)"
"Strom, Megan C.","DOC 2 - Justice (A)","WI20","241","179","70.3%","88.0%","4.35","B+ (3.49)","B+ (3.58)"
"Strom, Megan C.","DOC 2 - Justice (B)","WI20","249","187","79.0%","90.3%","4.54","B+ (3.57)","B+ (3.62)"
"Solomon, Amanda Lee Albaniel","DOC 2 - Justice (C)","WI20","247","220","72.1%","93.0%","4.93","B+ (3.35)","B+ (3.55)"
"Johnston, Emily Ronay","DOC 2 - Justice (D)","WI20","241","193","76.6%","94.2%","4.44","B+ (3.35)","B+ (3.45)"
"Johnston, Emily Ronay","DOC 1 - Diversity (A)","FA19","250","240","74.6%","95.3%","4.35","B+ (3.45)","B+ (3.55)"
"Deavenport, James Cary","DOC 1 - Diversity (B)","FA19","252","236","74.8%","85.4%","4.41","B+ (3.56)","B+ (3.64)"
"Strom, Megan C.","DOC 1 - Diversity (C)","FA19","254","232","71.6%","82.3%","4.32","B+ (3.34)","B+ (3.47)"
"Strom, Megan C.","DOC 1 - Diversity (D)","FA19","229","210","71.2%","82.6%","4.00","B+ (3.45)","B+ (3.37)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (A)","FA19","21","10","100.0%","90.0%","11.70","A- (3.90)","B+ (3.33)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (B)","FA19","21","10","100.0%","100.0%","6.50","A- (3.71)","B+ (3.30)"
"Johnston, Emily Ronay","DOC 100D - Promises&Contradictions/USCult (A)","S219","11","11","100.0%","100.0%","5.90","A- (3.70)","N/A"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (A)","SP19","26","11","100.0%","100.0%","7.77","A- (3.73)","B (3.19)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (B)","SP19","12","5","100.0%","100.0%","5.30","A (4.00)","N/A"
"Solomon, Amanda Lee Albaniel","DOC 3 - Imagination (A)","SP19","287","270","64.4%","93.3%","4.49","B (3.25)","B+ (3.44)"
"Johnston, Emily Ronay","DOC 3 - Imagination (B)","SP19","276","253","65.6%","94.4%","3.79","B (3.28)","B+ (3.41)"
"Strom, Megan C.","DOC 3 - Imagination (C)","SP19","249","216","60.5%","80.9%","4.30","B (3.22)","B+ (3.38)"
"Strom, Megan C.","DOC 3 - Imagination (D)","SP19","237","215","57.5%","77.1%","3.91","B+ (3.30)","B+ (3.38)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (A)","WI19","22","13","84.6%","91.7%","7.42","B+ (3.67)","B+ (3.44)"
"Pass, Natalye Joann","DOC 100D - Promises&Contradictions/USCult (B)","WI19","16","7","100.0%","100.0%","4.17","A (4.00)","N/A"
"Johnston, Emily Ronay","DOC 2 - Justice (A)","WI19","269","259","72.1%","94.5%","4.66","B (3.11)","B (3.21)"
"Solomon, Amanda Lee Albaniel","DOC 2 - Justice (B)","WI19","283","270","78.5%","94.4%","4.88","B (3.24)","B (3.29)"
"Strom, Megan C.","DOC 2 - Justice (C)","WI19","277","263","70.2%","81.3%","4.88","B (3.28)","B (3.24)"
"Strom, Megan C.","DOC 2 - Justice (D)","WI19","214","205","74.6%","79.0%","5.33","B (3.16)","B (3.24)"
"Solomon, Amanda Lee Albaniel","DOC 1 - Diversity (A)","FA18","283","270","83.9%","96.6%","5.04","B (3.19)","B (3.25)"
"Strom, Megan C.","DOC 1 - Diversity (B)","FA18","317","306","72.9%","86.2%","4.31","B (3.27)","B+ (3.32)"
"Strom, Megan C.","DOC 1 - Diversity (C)","FA18","284","276","77.5%","91.9%","4.61","B (3.30)","B+ (3.32)"
"Johnston, Emily Ronay","DOC 1 - Diversity (D)","FA18","127","122","81.1%","95.9%","4.43","B (3.29)","B+ (3.34)"
