"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Ma, Alyson Chan","ECON 1 - Principles of Microeconomics (B)","FA22","313","101","85.3%","84.0%","4.27","B- (2.99)","B (3.07)"
"Crane, Meredith Helen","ECON 1 - Principles of Microeconomics (C)","FA22","296","220","97.2%","95.4%","4.35","B+ (3.54)","B (3.09)"
"Levkoff, Steven B.","ECON 1 - Principles of Microeconomics (D)","FA22","570","272","88.3%","92.4%","5.09","B+ (3.37)","B+ (3.63)"
"Newhouse, Herbert S","ECON 100A - Microeconomics A (A)","FA22","280","86","89.2%","89.0%","7.14","B (3.23)","B- (2.72)"
"Newhouse, Herbert S","ECON 100A - Microeconomics A (B)","FA22","283","75","80.8%","86.3%","6.55","B (3.18)","B- (2.72)"
"Galperti, Simone","ECON 100B - Microeconomics B (A)","FA22","165","48","81.8%","86.4%","7.09","B (3.17)","B- (2.95)"
"Galperti, Simone","ECON 100B - Microeconomics B (B)","FA22","47","10","70.0%","90.0%","6.30","B (3.20)","B- (2.91)"
"Du, Songzi","ECON 100C - Microeconomics C (A)","FA22","66","47","95.7%","97.8%","5.54","B+ (3.57)","B- (2.99)"
"Du, Songzi","ECON 100C - Microeconomics C (B)","FA22","110","81","97.5%","97.5%","7.45","B+ (3.49)","B- (2.97)"
"Watson, Joel Christopher","ECON 109 - Game Theory (A)","FA22","68","27","92.6%","96.3%","5.31","B (3.24)","B (3.20)"
"Watson, Joel Christopher","ECON 109 - Game Theory (B)","FA22","66","20","100.0%","100.0%","5.34","B (3.22)","B (3.10)"
"Alon, Titan Michael","ECON 110A - Long Run Macroeconomics (A)","FA22","83","23","90.9%","90.9%","6.41","B+ (3.55)","B- (3.00)"
"Alon, Titan Michael","ECON 110A - Long Run Macroeconomics (B)","FA22","96","21","95.0%","95.0%","6.60","A- (3.84)","B (3.08)"
"Trottner, Fabian Gunter We","ECON 110B - Short Run Macroeconomics (A)","FA22","109","40","89.5%","94.7%","7.18","B+ (3.32)","B- (2.86)"
"Trottner, Fabian Gunter We","ECON 110B - Short Run Macroeconomics (B)","FA22","103","45","90.7%","90.5%","6.40","B (3.20)","B- (2.96)"
"Lowes, Sara Rachel","ECON 116 - Economic Development (A)","FA22","62","25","92.0%","92.0%","6.02","B (3.28)","B- (3.00)"
"Elliott, Graham","ECON 120A - Econometrics A (A)","FA22","111","29","86.2%","93.1%","5.74","B+ (3.38)","B- (2.78)"
"Elliott, Graham","ECON 120A - Econometrics A (B)","FA22","114","42","89.5%","89.5%","6.71","B+ (3.42)","B- (2.90)"
"Tocoian, Oana","ECON 120A - Econometrics A (C)","FA22","206","55","88.7%","77.4%","5.75","B+ (3.43)","B (3.18)"
"Candido, Maria Teresa","ECON 120B - Econometrics B (A)","FA22","226","67","90.8%","95.2%","7.16","B (3.23)","C+ (2.69)"
"Candido, Maria Teresa","ECON 120C - Econometrics C (A)","FA22","180","48","93.6%","93.5%","6.41","B (3.27)","B- (2.85)"
"Vogl, Tom Saul","ECON 121 - Applied Econometrics & Data (A)","FA22","37","26","96.0%","95.8%","7.19","B+ (3.50)","B+ (3.32)"
"Vogl, Tom Saul","ECON 121 - Applied Econometrics & Data (B)","FA22","12","6","100.0%","100.0%","6.10","B+ (3.60)","N/A"
"Tang, Yuan Emily","ECON 130 - Public Policy (A)","FA22","72","18","100.0%","100.0%","4.74","B (3.29)","B (3.22)"
"Jacobsen, Mark","ECON 131 - Economics of the Environment (A)","FA22","245","139","92.8%","94.9%","5.73","B+ (3.32)","B (3.03)"
"Jacobsen, Mark","ECON 131 - Economics of the Environment (B)","FA22","65","37","86.1%","97.2%","5.59","B+ (3.39)","B (3.04)"
"Fadlon, Yizhak","ECON 152 - Public Economics:ExpenditureII (A)","FA22","47","15","100.0%","100.0%","5.07","B+ (3.69)","B+ (3.34)"
"Fadlon, Yizhak","ECON 152 - Public Economics:ExpenditureII (B)","FA22","43","13","84.6%","92.3%","5.88","A- (3.77)","B (3.20)"
"Heller, Yuval","ECON 168 - Economics of Modern Israel (A)","FA22","107","32","70.0%","66.7%","6.03","B+ (3.45)","B (3.19)"
"Crane, Meredith Helen","ECON 2 - Market Imperfections & Policy (A)","FA22","173","102","96.0%","99.0%","4.82","B+ (3.53)","B (3.09)"
"Paul, Tyler Louis","ECON 3 - Principles of Macroeconomics (A)","FA22","50","36","94.4%","97.2%","5.06","B (3.06)","B- (2.90)"
"Levkoff, Steven B.","ECON 4 - Financial Accounting (A)","FA22","176","73","72.3%","84.4%","6.50","B (3.13)","B (3.04)"
"Martinez, Diana Jimena","ECON 1 - Principles of Microeconomics (A)","S222","33","29","82.1%","82.1%","6.43","B (3.08)","B- (2.83)"
"Newhouse, Herbert S","ECON 100B - Microeconomics B (A)","S222","102","15","78.6%","92.9%","6.64","B (3.07)","B- (2.85)"
"Newhouse, Herbert S","ECON 100C - Microeconomics C (A)","S222","86","16","93.8%","100.0%","8.25","B (3.25)","B- (2.82)"
"Muendler, Marc","ECON 101 - International Trade (A)","S222","21","3","33.3%","33.3%","8.50","B+ (3.33)","B- (2.75)"
