"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Phan, Alex Minh Giang","ENG 10 - Fundamentals/Engineering Appln (B)","FA22","25","17","70.6%","88.2%","5.68","B+ (3.40)","A- (3.80)"
"Martinez Pallares, Fabian Martin","ENG 10 - Fundamentals/Engineering Appln (C)","FA22","15","10","90.0%","80.0%","2.90","A (4.00)","N/A"
"Ngo, Anh-Thu T.","ENG 100D - Design for Development (A)","FA22","46","18","83.3%","88.9%","4.83","A- (3.89)","A- (3.88)"
"Ngo, Anh-Thu T.","ENG 100D - Design for Development (B)","FA22","46","15","80.0%","93.3%","4.10","A- (3.87)","A- (3.86)"
"Sanchez, Maritza","ENG 15 - Engineer Your Success (A)","FA22","19","8","100.0%","100.0%","2.00","A (4.00)","N/A"
"Evdokimenko, Ekaterina","ENG 20 - Intro to Engineering Research (A)","FA22","39","33","97.0%","100.0%","4.08","A- (3.85)","A- (3.94)"
"Rodriguez, Ruben","ENG 5 - Orientation to Engr Profession (A)","FA22","55","21","95.0%","94.7%","1.30","A (4.00)","N/A"
"Lim, Allison Nicole","ENG 15 - Engineer Your Success (A)","S222","22","17","81.3%","100.0%","3.70","N/A","N/A"
"Evdokimenko, Ekaterina","ENG 15 - Engineer Your Success (B)","S222","21","17","62.5%","100.0%","5.68","A (4.00)","N/A"
"Chen, Alexander","ENG 15 - Engineer Your Success (C)","S222","23","17","64.7%","100.0%","5.32","A (4.00)","N/A"
"Chen, Alexander","ENG 15 - Engineer Your Success (E)","S222","21","16","75.0%","100.0%","4.38","A (4.00)","N/A"
"Evdokimenko, Ekaterina","ENG 10 - Fundamentals/Engineering Appln (A)","SP22","25","20","100.0%","100.0%","4.00","B+ (3.53)","B (3.22)"
"Mancinelli, Ryan Mark","ENG 100D - Design for Development (A)","SP22","44","18","55.6%","61.1%","5.17","A- (3.75)","A- (3.71)"
"Ngo, Anh-Thu T.","ENG 100D - Design for Development (B)","SP22","52","41","85.4%","95.0%","4.50","A- (3.76)","B+ (3.57)"
"Nguyen, Truong Quang","ENG 100L - Design for Development Lab (C)","SP22","11","4","100.0%","100.0%","4.50","A (4.00)","N/A"
"Bratton, Maryann","ENG 100L - Design for Development Lab (G)","SP22","5","3","100.0%","100.0%","3.83","A (4.00)","N/A"
"Evdokimenko, Ekaterina","ENG 15 - Engineer Your Success (A)","SP22","12","8","100.0%","100.0%","3.00","B+ (3.50)","N/A"
"Evdokimenko, Ekaterina","ENG 10 - Fundamentals/Engineering Appln (A)","WI22","23","21","95.2%","100.0%","3.45","A- (3.76)","A- (3.74)"
"Evdokimenko, Ekaterina","ENG 10 - Fundamentals/Engineering Appln (B)","WI22","21","20","85.0%","100.0%","3.90","A- (3.79)","A- (3.83)"
"Ngo, Anh-Thu T.","ENG 100D - Design for Development (A)","WI22","51","41","87.5%","92.5%","5.47","A- (3.82)","B+ (3.70)"
"Ngo, Anh-Thu T.","ENG 100D - Design for Development (B)","WI22","20","16","100.0%","100.0%","5.43","A- (3.93)","A- (3.74)"
"Schmid-Schoenbein, Geert W","ENG 100L - Design for Development Lab (C)","WI22","9","4","100.0%","75.0%","5.00","A (4.00)","N/A"
"Gerardo, Hortense Flotilde","ENG 100L - Design for Development Lab (G)","WI22","6","3","100.0%","100.0%","5.17","A (4.00)","N/A"
"Lim, Allison Nicole","ENG 15 - Engineer Your Success (A)","WI22","21","10","100.0%","100.0%","4.30","A (4.00)","N/A"
"Evdokimenko, Ekaterina","ENG 10 - Fundamentals/Engineering Appln (C)","FA21","30","22","95.2%","100.0%","4.23","A- (3.91)","A- (3.90)"
"Evdokimenko, Ekaterina","ENG 10 - Fundamentals/Engineering Appln (D)","FA21","27","19","89.5%","100.0%","3.66","A- (3.95)","A- (3.79)"
"Mancinelli, Ryan Mark","ENG 100D - Design for Development (A)","FA21","48","24","81.8%","90.9%","9.11","A- (3.70)","A- (3.81)"
"Ngo, Anh-Thu T.","ENG 100D - Design for Development (B)","FA21","48","42","95.2%","97.6%","4.88","A- (3.79)","A- (3.76)"
"Nguyen, Truong Quang","ENG 100L - Design for Development Lab (C)","FA21","7","4","100.0%","100.0%","5.50","A (4.00)","N/A"
"de Oliveira, Mauricio","ENG 100L - Design for Development Lab (E)","FA21","5","3","100.0%","100.0%","5.50","A (4.00)","N/A"
"Lim, Allison Nicole","ENG 15 - Engineer Your Success (A)","FA21","25","13","100.0%","100.0%","2.83","A (4.00)","N/A"
"Evdokimenko, Ekaterina","ENG 20 - Intro to Engineering Research (A)","FA21","23","13","90.9%","100.0%","5.17","A- (3.92)","A- (3.77)"
"Sanchez, Maritza","ENG 15 - Engineer Your Success (A)","S221","22","11","44.4%","77.8%","5.39","A (4.00)","N/A"
"Vargas Consuelos, Carlos Ingram","ENG 15 - Engineer Your Success (B)","S221","23","16","100.0%","100.0%","6.38","A- (3.83)","N/A"
"Martinez Pallares, Fabian Martin","ENG 15 - Engineer Your Success (C)","S221","24","12","83.3%","91.7%","5.50","A (4.00)","N/A"
"Evdokimenko, Ekaterina","ENG 15 - Engineer Your Success (D)","S221","28","27","92.3%","100.0%","4.50","A (4.00)","N/A"
"Lim, Allison Nicole","ENG 15 - Engineer Your Success (E)","S221","17","13","91.7%","100.0%","5.73","A (4.00)","N/A"
"Evdokimenko, Ekaterina","ENG 10 - Fundamentals/Engineering Appln (A)","SP21","10","9","100.0%","100.0%","3.17","A (4.00)","N/A"
"Mancinelli, Ryan Mark","ENG 100D - Design for Development (A)","SP21","43","11","81.8%","90.9%","6.90","B+ (3.64)","A- (3.80)"
"Ngo, Anh-Thu T.","ENG 100D - Design for Development (B)","SP21","48","24","91.3%","87.0%","7.33","A- (3.79)","A- (3.79)"
