"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","FA22","21","10","75.0%","75.0%","0.50","B (3.00)","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (B)","FA22","15","11","90.0%","100.0%","0.70","A (4.00)","N/A"
"Lewis, Leslie R","ERC 190GS - Envirn&SustainableCommDevl (A)","S122","27","14","100.0%","100.0%","3.50","A (4.00)","A (4.00)"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","WI22","29","19","94.7%","89.5%","0.50","A (4.00)","N/A"
"Rahimi, Babak","ERC 1 - First Year Experience (A)","FA21","49","33","96.7%","96.6%","0.95","A- (3.86)","N/A"
"Herbst, Matthew","ERC 2 - Transfer Year Experience (A)","FA21","45","21","85.7%","95.2%","0.98","A- (3.91)","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","FA21","30","21","94.7%","88.9%","0.82","A (4.00)","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (B)","FA21","30","18","77.8%","88.9%","0.94","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","FA21","14","9","100.0%","100.0%","0.94","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","SP21","20","12","91.7%","91.7%","0.50","A (4.00)","N/A"
"Shafir, Gershon","HMNR 100 - Human Rights I: Introduction (A)","WI21","23","7","100.0%","100.0%","4.79","A (4.00)","B+ (3.66)"
"Postero, Nancy Grey","HMNR 101 - Human Rights II: Contemp Issue (A)","SP20","13","7","100.0%","100.0%","4.21","A- (3.71)","N/A"
"Herbst, Matthew","ERC 192 - ERC Senior Seminar (A)","SP19","28","8","100.0%","100.0%","2.21","N/A","N/A"
"Evans, Ivan T","ERC 89 - Practicum in Math Tutoring (A)","SP19","7","3","100.0%","100.0%","5.83","A (4.00)","N/A"
"Evans, Ivan T","ERC 192A - Global Service Prep Seminar (A)","WI19","14","5","100.0%","75.0%","2.50","A (4.00)","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","WI19","21","13","100.0%","100.0%","0.50","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","WI19","11","8","100.0%","100.0%","0.50","A (4.00)","N/A"
"Herbst, Matthew","ERC 1 - First Year Experience (A)","FA18","103","74","81.9%","95.8%","1.06","A- (3.71)","N/A"
"Herbst, Matthew","ERC 2 - Transfer Year Experience (A)","FA18","43","24","95.5%","100.0%","1.68","A (4.00)","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","FA18","16","9","100.0%","100.0%","0.94","A (4.00)","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (B)","FA18","14","12","100.0%","100.0%","0.86","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","FA18","13","9","100.0%","100.0%","1.17","A (4.00)","N/A"
"Evans, Ivan T","ERC 190GS - Environ Sustainability/Zambia (A)","S118","24","5","100.0%","100.0%","1.50","A (4.00)","A (4.00)"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","SP18","11","8","100.0%","100.0%","1.00","A (4.00)","N/A"
"Evans, Ivan T","ERC 89 - Practicum in Math Tutoring (A)","SP18","5","3","100.0%","66.7%","3.83","N/A","N/A"
"Evans, Ivan T","ERC 192 - ERC Senior Seminar (A)","WI18","20","10","100.0%","100.0%","1.30","A (4.00)","N/A"
"Evans, Ivan T","ERC 192A - Global Service Prep Seminar (A)","WI18","26","15","85.7%","78.6%","1.64","B+ (3.50)","B+ (3.59)"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","WI18","20","11","100.0%","88.9%","0.50","N/A","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (B)","WI18","7","7","100.0%","100.0%","1.64","A (4.00)","N/A"
"Herbst, Matthew","ERC 1 - First Year Experience (A)","FA17","94","63","91.5%","100.0%","0.84","A- (3.92)","N/A"
"Evans, Ivan T","ERC 2 - Transfer Year Experience (A)","FA17","43","23","78.3%","100.0%","1.20","A (4.00)","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","FA17","15","10","100.0%","100.0%","0.70","A (4.00)","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (B)","FA17","15","6","100.0%","100.0%","0.50","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","FA17","13","10","100.0%","90.0%","1.10","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (B)","FA17","10","6","100.0%","100.0%","1.50","A (4.00)","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","SP17","22","4","100.0%","100.0%","0.50","N/A","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","SP17","10","4","100.0%","100.0%","1.17","N/A","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (B)","SP17","13","6","100.0%","100.0%","1.30","A (4.00)","N/A"
"Evans, Ivan T","ERC 192A - Global Service Prep Seminar (A)","WI17","14","4","100.0%","75.0%","0.50","A (4.00)","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","WI17","35","10","100.0%","87.5%","0.50","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","WI17","6","5","100.0%","100.0%","0.90","N/A","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (B)","WI17","12","6","100.0%","100.0%","0.83","N/A","N/A"
"Evans, Ivan T","ERC 89 - Practicum in Math Tutoring (A)","WI17","9","5","75.0%","75.0%","4.00","A (4.00)","N/A"
"Herbst, Matthew","ERC 1 - First Year Experience (A)","FA16","87","42","89.7%","97.4%","1.63","A- (3.92)","N/A"
"Brydges, Stacey","ERC 2 - Transfer Year Experience (A)","FA16","12","7","100.0%","100.0%","0.50","A (4.00)","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","FA16","19","9","88.9%","100.0%","0.94","N/A","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (B)","FA16","21","12","100.0%","100.0%","1.50","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","FA16","9","6","100.0%","100.0%","1.17","N/A","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (B)","FA16","9","8","100.0%","100.0%","0.50","N/A","N/A"
"Evans, Ivan T","ERC 89 - Practicum in Math Tutoring (A)","FA16","10","4","66.7%","66.7%","1.83","N/A","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","SP16","19","8","100.0%","100.0%","1.50","N/A","N/A"
"Evans, Ivan T","ERC 89 - Practicum in Math Tutoring (A)","SP16","16","8","87.5%","62.5%","4.25","A (4.00)","N/A"
"Murillo, Dana V.","ERC 192A - Global Service Prep Seminar (A)","WI16","9","4","100.0%","100.0%","2.00","A (4.00)","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","WI16","21","16","93.3%","100.0%","0.50","A (4.00)","N/A"
"Evans, Ivan T","ERC 89 - Practicum in Math Tutoring (A)","WI16","13","5","80.0%","60.0%","4.90","N/A","N/A"
"Herbst, Matthew","ERC 1 - First Year Experience (A)","FA15","87","44","90.9%","100.0%","1.55","A- (3.75)","N/A"
"Evans, Ivan T","ERC 2 - Transfer Year Experience (A)","FA15","19","14","76.9%","100.0%","2.17","A (4.00)","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","FA15","24","13","100.0%","100.0%","0.50","N/A","N/A"
"Evans, Ivan T","ERC 20 - Frshmn Honors Sem:Intntl Theme (B)","FA15","21","11","90.9%","90.9%","0.50","A- (3.75)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","FA15","11","10","90.0%","90.0%","1.30","A (4.00)","N/A"
"Evans, Ivan T","ERC 89 - Practicum in Math Tutoring (A)","FA15","15","7","100.0%","85.7%","1.83","N/A","N/A"
"Madsen, Richard P.","ERC 20 - Frshmn Honors Sem:Intntl Theme (B)","SP15","12","6","100.0%","100.0%","2.10","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","SP15","9","6","100.0%","100.0%","1.70","N/A","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (B)","SP15","5","3","66.7%","66.7%","1.17","A (4.00)","N/A"
"Madsen, Richard P.","ERC 89 - Practicum in Math Tutoring (A)","SP15","9","4","75.0%","75.0%","3.50","N/A","N/A"
"Parra, Max","ERC 192A - Global Service Prep Seminar (A)","WI15","13","6","100.0%","100.0%","2.10","A- (3.80)","N/A"
"Madsen, Richard P.","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","WI15","17","10","85.7%","85.7%","0.50","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","WI15","15","11","100.0%","100.0%","2.14","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (B)","WI15","10","8","100.0%","100.0%","1.50","N/A","N/A"
"Madsen, Richard P.","ERC 89 - Practicum in Math Tutoring (A)","WI15","9","4","100.0%","100.0%","3.00","N/A","N/A"
"Madsen, Richard P.","ERC 1 - First Year Experience (A)","FA14","77","51","91.7%","89.6%","1.92","A- (3.78)","N/A"
"Madsen, Richard P.","ERC 188 - Transfer Sem:Resrch University (A)","FA14","10","4","75.0%","100.0%","1.00","N/A","N/A"
"Madsen, Richard P.","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","FA14","17","10","90.0%","90.0%","1.30","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","FA14","13","10","88.9%","100.0%","4.50","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (C)","FA14","15","10","100.0%","100.0%","1.39","A (4.00)","N/A"
"Madsen, Richard P.","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","SP14","27","15","85.7%","78.6%","0.65","N/A","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","SP14","13","10","100.0%","100.0%","2.50","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (B)","SP14","16","13","100.0%","100.0%","3.27","N/A","N/A"
"Madsen, Richard P.","ERC 89 - Practicum in Math Tutoring (A)","SP14","12","6","80.0%","80.0%","1.30","A (4.00)","N/A"
"Escudero, Andrew Mario","ERC 192A - Global Service Prep Seminar (A)","WI14","13","9","77.8%","55.6%","1.83","A- (3.80)","N/A"
"Herbst, Matthew","ERC 192A - Global Service Prep Seminar (B)","WI14","14","10","100.0%","100.0%","4.50","A (4.00)","N/A"
"Porter, Lisa","ERC 192A - Global Service Prep Seminar (B)","WI14","14","11","100.0%","100.0%","4.14","A- (3.90)","N/A"
"Madsen, Richard P.","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","WI14","35","27","100.0%","84.6%","0.50","N/A","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (B)","WI14","10","8","100.0%","100.0%","3.75","N/A","N/A"
"Madsen, Richard P.","ERC 188 - Transfer Sem:Resrch University (A)","FA13","13","8","71.4%","85.7%","0.50","A (4.00)","N/A"
"Madsen, Richard P.","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","FA13","24","17","80.0%","80.0%","0.77","A (4.00)","N/A"
"Madsen, Richard P.","ERC 20 - Frshmn Honors Sem:Intntl Theme (B)","FA13","25","20","77.8%","72.2%","0.88","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","FA13","16","10","100.0%","100.0%","1.70","A- (3.75)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (B)","FA13","16","15","100.0%","100.0%","2.37","A (4.00)","N/A"
"Herbst, Matthew","ERC 192B - Global Service Prep Seminar (A)","SP13","7","6","100.0%","100.0%","4.83","A (4.00)","N/A"
"Houston, Alan Craig","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","SP13","19","7","100.0%","100.0%","0.50","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","SP13","6","3","100.0%","100.0%","1.17","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (B)","SP13","10","9","100.0%","100.0%","1.83","N/A","N/A"
"Herbst, Matthew","ERC 192A - Global Service Prep Seminar (A)","WI13","15","14","100.0%","100.0%","4.79","B+ (3.67)","N/A"
"Houston, Alan Craig","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","WI13","24","12","100.0%","100.0%","0.68","N/A","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","WI13","16","12","83.3%","83.3%","1.67","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (B)","WI13","8","6","100.0%","100.0%","1.50","A (4.00)","N/A"
"Houston, Alan Craig","ERC 188 - Transfer Sem:Resrch University (A)","FA12","15","7","100.0%","100.0%","1.50","A (4.00)","N/A"
"Houston, Alan Craig","ERC 20 - Frshmn Honors Sem:Intntl Theme (A)","FA12","24","18","82.4%","88.2%","1.44","A (4.00)","N/A"
"Houston, Alan Craig","ERC 20 - Frshmn Honors Sem:Intntl Theme (B)","FA12","13","8","100.0%","100.0%","1.64","N/A","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (A)","FA12","19","14","92.9%","100.0%","3.79","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar (B)","FA12","15","12","100.0%","100.0%","1.61","N/A","N/A"
"Houston, Alan Craig","ERC 20   - Frshmn Honors Sem:Intntl Theme (A)","SP12","19","15","100.0%","100.0%","0.50","A (4.00)","N/A"
"Herbst, Matthew","ERC 87   - Freshman Seminar               (A)","SP12","14","11","100.0%","100.0%","1.23","A (4.00)","N/A"
"Houston, Alan Craig","ERC 20   - Frshmn Honors Sem:Intntl Theme (A)","WI12","22","11","100.0%","100.0%","2.32","A (4.00)","N/A"
"Herbst, Matthew","ERC 87   - Freshman Seminar               (A)","WI12","15","12","100.0%","100.0%","1.83","N/A","N/A"
"Craig, Ann L.","ERC 192   - ERC Senior Seminar             (A)","FA11","12","4","75.0%","100.0%","2.00","N/A","N/A"
"Houston, Alan Craig","ERC 20   - Frshmn Honors Sem:Intntl Theme (A)","FA11","29","16","93.3%","100.0%","0.93","A (4.00)","N/A"
"Herbst, Matthew","ERC 87   - Freshman Seminar               (A)","FA11","19","9","88.9%","88.9%","1.39","N/A","N/A"
"Craig, Ann L.","ERC 87   - Freshman Seminar               (B)","FA11","5","3","66.7%","100.0%","1.83","N/A","N/A"
"Houston, Alan Craig","ERC 20   - Frshmn Honors Sem:Intntl Theme (A)","SP11","30","12","100.0%","100.0%","0.67","A (4.00)","N/A"
"Herbst, Matthew","ERC 87   - Freshman Seminar               (A)","SP11","12","5","100.0%","100.0%","0.90","N/A","N/A"
"Houston, Alan Craig","ERC 20   - Frshmn Honors Sem:Intrnl Theme (A)","WI11","19","7","100.0%","100.0%","0.79","A (4.00)","N/A"
"Herbst, Matthew","ERC 87   - Freshman Seminar               (A)","WI11","14","10","90.0%","100.0%","0.90","A (4.00)","N/A"
"Herbst, Matthew","ERC 87   - Freshman Seminar               (C)","WI11","15","11","100.0%","100.0%","0.86","B+ (3.50)","N/A"
"Houston, Alan Craig","ERC 10 - Freshman Honors Seminar        (A)","FA10","18","10","100.0%","100.0%","0.70","A (4.00)","N/A"
"Craig, Ann L.","ERC 192 - ERC Senior Seminar             (A)","FA10","12","9","100.0%","100.0%","2.50","B (3.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar               (A)","FA10","12","9","100.0%","100.0%","2.06","N/A","N/A"
"Houston, Alan Craig","ERC 20 - Frshmn Honors Sem:Intrnl Theme (A)","SP10","27","10","100.0%","100.0%","0.90","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar               (A)","SP10","12","4","100.0%","100.0%","1.50","N/A","N/A"
"Houston, Alan Craig","ERC 20 - Frshmn Honors Sem:Intrnl Theme (A)","WI10","31","12","100.0%","100.0%","1.00","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar               (A)","WI10","14","6","100.0%","100.0%","0.83","A (4.00)","N/A"
"Herbst, Matthew","ERC 87 - Freshman Seminar               (A)","FA09","17","17","94.1%","100.0%","1.79","B+ (3.50)","N/A"
"Herbst, Matthew","ERC 192 - ERC Senior Seminar             (A)","SP09","18","18","100.0%","100.0%","1.39","A (4.00)","N/A"
"Herbst, Matthew","ERC 192 - ERC Senior Seminar             (B)","WI09","17","15","100.0%","100.0%","1.30","A (4.00)","N/A"
"Herbst, Matthew","ERC 192 - ERC Senior Seminar             (A)","FA08","3","3","100.0%","100.0%","1.83","N/A","N/A"
"Herbst, Matthew","ERC 103GS - Paris is Worth a Mass 500-1700 (A)","SU08","28","28","96.3%","100.0%","6.06","B+ (3.41)","N/A"
