"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Suarez, Jose R","FPMU 101 - Epidemiology (A)","SP17","66","61","89.8%","86.4%","5.82","B+ (3.30)","B- (2.81)"
"Tu, Xin","FPMU 102 - Biostatistics in Public Health (A)","SP17","62","50","90.0%","84.0%","6.38","B+ (3.65)","A- (3.72)"
"Hong, Suzi","FPMU 110 - Health Behavior & Chronic Dis (A)","SP17","68","66","89.4%","93.9%","4.28","B+ (3.33)","B (3.23)"
"Shi, Yuyan","FPMU 120 - Health Policies Healthy Lfesty (A)","SP17","65","60","89.8%","89.8%","4.43","B+ (3.54)","B (3.29)"
"Ryan, Margaret Angela Kapp","FPMU 130 - Environment & Occuption Health (A)","SP17","49","47","91.5%","95.7%","4.46","B+ (3.50)","B+ (3.49)"
"Benmarhnia, Tarik","FPMU 130 - Environment & Occuption Health (B)","SP17","50","42","73.8%","50.0%","5.31","B (3.21)","B (3.21)"
"Vanos, Jennifer K.","FPMU 130 - Environment & Occuption Health (B)","SP17","50","43","74.4%","90.7%","5.24","B (3.21)","B (3.21)"
"Aldelaimy, Wael","FPMU 101 - Epidemiology (A)","WI17","57","52","72.0%","34.0%","6.01","B- (2.71)","C+ (2.36)"
"Vaida, Florin","FPMU 102 - Biostatistics in Public Health (A)","WI17","51","48","93.8%","93.8%","5.44","B (3.15)","B+ (3.57)"
"Vaida, Florin","FPMU 102 - Biostatistics in Public Health (B)","WI17","55","51","96.1%","96.1%","6.00","B+ (3.55)","B+ (3.57)"
"Marquez, Becky","FPMU 110 - Health Behavior & Chronic Dis (A)","WI17","56","53","96.2%","84.6%","4.85","B (3.27)","B- (2.76)"
"Linke, Sarah Elizabeth","FPMU 110 - Health Behavior & Chronic Dis (B)","WI17","46","38","94.7%","97.4%","5.80","B+ (3.42)","B (3.16)"
"McMenamin, Sara B","FPMU 120 - Health Policies Healthy Lfesty (A)","WI17","64","60","88.3%","88.3%","5.79","B+ (3.62)","B+ (3.51)"
"Checkoway, Harvey","FPMU 130 - Environment & Occuption Health (A)","WI17","24","18","100.0%","94.1%","6.63","A- (3.75)","A- (3.93)"
"Trinidad, Dennis Ryan","FPMU 40 - Introduction to Public Health (A)","WI17","118","104","95.1%","95.1%","4.04","B+ (3.64)","A- (3.71)"
"Marcus, Bess H","FPMU 87 - Freshman Seminar (A)","WI17","7","6","100.0%","100.0%","0.50","A (4.00)","N/A"
"Brouwer, Kimberly","FPMU 101 - Epidemiology (A)","FA16","73","63","84.1%","79.4%","5.50","B+ (3.44)","B (3.26)"
"Hartman, Sheri R","FPMU 110 - Health Behavior & Chronic Dis (A)","FA16","95","84","92.8%","91.6%","5.48","B+ (3.40)","B (3.22)"
"Ryan, Margaret Angela Kapp","FPMU 130 - Environment & Occuption Health (A)","FA16","61","59","100.0%","100.0%","5.98","B+ (3.49)","B+ (3.55)"
"Navarro, Ana","FPMU 180A - Advanced Practicum I (A)","FA16","14","14","92.3%","92.3%","4.65","A- (3.92)","N/A"
"Anderson, Cheryl Ann Marie","FPMU 40 - Introduction to Public Health (A)","FA16","124","95","97.9%","95.8%","5.39","B+ (3.49)","B (3.03)"
