"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"West, Geoffrey Scott","HUM 3 - Renaissance,Reform&Early Europ (A)","FA22","235","175","69.7%","92.5%","5.57","B (3.26)","B+ (3.43)"
"Zavodny, Tatiana Sophia","HUM 3 - Renaissance,Reform&Early Europ (B)","FA22","202","147","79.2%","93.8%","5.04","B (3.08)","B (3.08)"
"Patterson, Patrick H.","HUM 3 - Renaissance,Reform&Early Europ (C)","FA22","215","77","51.4%","81.1%","5.38","B (3.15)","B+ (3.45)"
"Lyon, Antony J.","HUM 3 - Renaissance,Reform&Early Europ (D)","FA22","286","206","67.3%","91.6%","6.00","B (3.15)","B+ (3.33)"
"West, Geoffrey Scott","HUM 3 - Renaissance,Reform&Early Europ (A)","S222","77","68","73.5%","92.5%","6.74","B (3.18)","B (3.24)"
"Findley, Carl","HUM 4 - Enlightmnt,Romnt,Rev/1660-1848 (A)","S222","28","6","100.0%","100.0%","5.50","B+ (3.50)","B- (2.84)"
"Zroka, Amy Liane","HUM 4 - Enlightmnt,Romnt,Rev/1660-1848 (B)","S222","42","8","50.0%","71.4%","6.50","B- (2.88)","C+ (2.47)"
"Zavodny, Tatiana Sophia","HUM 5 - Modern Culture (1848-Present) (A)","S222","48","16","86.7%","100.0%","7.88","B (3.13)","B (3.00)"
"Hall, Matthew Aaron","HUM 5 - Modern Culture (1848-Present) (B)","S222","29","14","76.9%","76.9%","10.35","B+ (3.31)","B+ (3.37)"
"Patterson, Patrick H.","HUM 3 - Renaissance,Reform&Early Europ (A)","S122","47","31","83.9%","100.0%","7.98","B+ (3.39)","B (3.10)"
"Zavodny, Tatiana Sophia","HUM 3 - Renaissance,Reform&Early Europ (B)","S122","48","38","76.3%","97.4%","7.34","B (3.03)","C+ (2.66)"
"Tronzo, William","HUM 3GS - Renaissance,Reform&Early Europ (A)","S122","28","9","100.0%","100.0%","3.61","A- (3.89)","A (4.00)"
"Caldwell, Michael Alan","HUM 3GS - Renaissance,Reform&Early Europ (B)","S122","23","7","100.0%","100.0%","5.07","B (3.29)","B (3.29)"
"Watkins, Eric","HUM 4 - Enlightmnt,Romnt,Rev/1660-1848 (A)","S122","43","31","56.0%","100.0%","8.82","B- (2.96)","B- (2.92)"
