"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Yoldas, Pinar","ICAM 160B - Senior Prjct/Computing Arts II (A)","SP18","12","11","100.0%","90.9%","10.86","B+ (3.64)","N/A"
"Brown, Sheldon Glenn","ICAM 160B - Senior Prjct/Computing Arts II (B)","SP18","9","4","100.0%","100.0%","7.50","A- (3.75)","N/A"
"Erbe, Tom","ICAM 160B - Senior Prjct/Computing Arts II (C)","SP18","9","4","100.0%","100.0%","7.00","A- (3.75)","N/A"
"Yadegari, Shahrokh D","ICAM 160B - Senior Prjct/Computing Arts II (D)","SP18","12","5","100.0%","100.0%","17.50","A (4.00)","N/A"
"Brown, Sheldon Glenn","ICAM 160A - Senior Projct/Computing Arts I (A)","WI18","13","3","66.7%","33.3%","6.50","A (4.00)","N/A"
"Yoldas, Pinar","ICAM 160A - Senior Projct/Computing Arts I (B)","WI18","8","7","100.0%","100.0%","7.50","B+ (3.50)","N/A"
"Dubnov, Shlomo","ICAM 160A - Senior Projct/Computing Arts I (C)","WI18","10","5","100.0%","100.0%","4.10","A (4.00)","N/A"
"Yadegari, Shahrokh D","ICAM 160A - Senior Projct/Computing Arts I (D)","WI18","12","6","100.0%","100.0%","14.50","A (4.00)","N/A"
"Alexander, Amy J","ICAM 160A - Senior Projct/Computing Arts I (A)","FA17","7","5","100.0%","100.0%","10.90","A- (3.75)","N/A"
"Brown, Sheldon Glenn","ICAM 110 - Computing/Arts: Current Pract (A)","SP17","95","29","30.8%","73.1%","1.54","B+ (3.52)","B+ (3.45)"
"Alexander, Amy J","ICAM 160B - Senior Prjct/Computing Arts II (A)","SP17","13","4","75.0%","100.0%","4.00","A- (3.75)","N/A"
"Dubnov, Shlomo","ICAM 160B - Senior Prjct/Computing Arts II (B)","SP17","27","9","100.0%","100.0%","5.93","A- (3.83)","B+ (3.60)"
"Alexander, Amy J","ICAM 160A - Senior Projct/Computing Arts I (A)","WI17","20","17","100.0%","100.0%","5.88","B+ (3.47)","B+ (3.37)"
"Dubnov, Shlomo","ICAM 160A - Senior Projct/Computing Arts I (B)","WI17","29","13","81.8%","100.0%","6.14","A- (3.82)","A- (3.71)"
"Dominguez, Ricardo","ICAM 120 - Virtual Environments (A)","FA16","27","12","90.9%","81.8%","4.32","A- (3.82)","A (4.00)"
"Crandall, Jordan","ICAM 160A - Senior Projct/Computing Arts I (A)","FA16","10","6","100.0%","100.0%","8.50","A (4.00)","N/A"
"Alexander, Amy J","ICAM 160B - Senior Prjct/Computing Arts II (A)","SP16","16","8","100.0%","87.5%","10.00","B+ (3.50)","N/A"
"Steiger, Rand","ICAM 160B - Senior Prjct/Computing Arts II (B)","SP16","16","5","100.0%","100.0%","11.30","A (4.00)","N/A"
"Brown, Sheldon Glenn","ICAM 160B - Senior Prjct/Computing Arts II (C)","SP16","16","10","100.0%","100.0%","7.90","A- (3.80)","N/A"
"Park, Kyong Dong","ICAM 110 - Computing/Arts: Current Pract (A)","WI16","76","44","67.5%","72.5%","2.50","A- (3.79)","B+ (3.40)"
"Alexander, Amy J","ICAM 160A - Senior Projct/Computing Arts I (A)","WI16","16","8","100.0%","100.0%","5.25","A- (3.75)","N/A"
"Steiger, Rand","ICAM 160A - Senior Projct/Computing Arts I (B)","WI16","19","3","100.0%","100.0%","5.17","A (4.00)","N/A"
"Brown, Sheldon Glenn","ICAM 160A - Senior Projct/Computing Arts I (C)","WI16","15","7","100.0%","100.0%","7.93","B+ (3.57)","N/A"
"Bratton, Benjamin H.","ICAM 110 - Computing/Arts: Current Pract (A)","SP15","86","61","83.6%","90.2%","2.83","A- (3.72)","B+ (3.50)"
"Alexander, Amy J","ICAM 160B - Senior Prjct/Computing Arts II (A)","SP15","4","3","100.0%","100.0%","17.83","A (4.00)","N/A"
"Otto, Peter G","ICAM 160A - Senior Projct/Computing Arts I (A)","WI15","12","3","100.0%","100.0%","10.50","A (4.00)","N/A"
"Dominguez, Ricardo","ICAM 120 - Virtual Environments (A)","FA14","15","4","66.7%","66.7%","2.50","B+ (3.67)","N/A"
"Mehrmand, Elizabeth","ICAM 110 - Computing/Arts: Current Pract (A)","SP14","71","22","72.7%","90.9%","4.59","A- (3.75)","A- (3.79)"
