"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Shuster, Alana","JWSP 2 - Intermediate Hebrew (A)","WI21","12","4","100.0%","100.0%","3.00","A (4.00)","N/A"
"Shuster, Alana","JWSP 1 - Beginning Hebrew (A)","FA20","16","4","100.0%","75.0%","4.50","A (4.00)","N/A"
"Shuster, Alana","JWSP 104 - Practicum in Advanced Hebrew (A)","FA20","9","3","100.0%","100.0%","3.83","A (4.00)","N/A"
"Shuster, Alana","JWSP 3 - Intermediate Hebrew Continued (A)","SP20","9","6","80.0%","75.0%","6.50","A (4.00)","N/A"
"Shuster, Alana","JWSP 2 - Intermediate Hebrew (A)","WI20","12","7","100.0%","100.0%","6.50","A (4.00)","N/A"
"Shuster, Alana","JWSP 1 - Beginning Hebrew (A)","FA19","17","5","100.0%","100.0%","3.50","A (4.00)","N/A"
"Shuster, Alana","JWSP 104 - Practicum in Advanced Hebrew (A)","FA19","9","4","100.0%","100.0%","5.83","A (4.00)","N/A"
"Shuster, Alana","JUDA 3 - Intermediate Hebrew Continued (A)","SP19","9","4","100.0%","100.0%","6.00","B+ (3.50)","N/A"
"Shuster, Alana","JUDA 2 - Intermediate Hebrew (A)","WI19","16","3","100.0%","100.0%","3.17","A (4.00)","N/A"
"Shuster, Alana","JUDA 1 - Beginning Hebrew (A)","FA18","16","7","100.0%","100.0%","4.50","A- (3.80)","N/A"
"Shuster, Alana","JUDA 101 - Introduction to Hebrew Texts (A)","FA18","7","4","100.0%","100.0%","3.50","B+ (3.50)","N/A"
"Shuster, Alana","JUDA 3 - Intermediate Hebrew Continued (A)","SP18","10","4","100.0%","100.0%","4.00","A (4.00)","N/A"
"Shuster, Alana","JUDA 2 - Intermediate Hebrew (A)","WI18","10","4","100.0%","100.0%","3.00","A (4.00)","N/A"
"Fermentto-Tzaisler, Julia","JUDA 1 - Beginning Hebrew (A)","FA17","18","8","100.0%","100.0%","5.93","A- (3.71)","N/A"
"Shuster, Alana","JUDA 101 - Introduction to Hebrew Texts (A)","FA17","6","3","100.0%","100.0%","3.17","B (3.00)","N/A"
"Shuster, Alana","JUDA 3 - Intermediate Hebrew Continued (A)","SP17","10","5","80.0%","100.0%","2.90","B+ (3.60)","N/A"
"Shuster, Alana","JUDA 2 - Intermediate Hebrew (A)","WI17","11","7","100.0%","100.0%","4.21","A- (3.83)","N/A"
"Shuster, Alana","JUDA 1 - Beginning Hebrew (A)","FA16","7","4","100.0%","75.0%","3.50","A- (3.75)","N/A"
"Propp, William Henry","JUDA 101 - Introduction to Hebrew Texts (A)","FA16","6","3","100.0%","100.0%","3.17","A (4.00)","N/A"
"Lampert-Weissig, Lisa","JUDA 87 - Freshman Seminar (A)","FA16","7","3","50.0%","50.0%","0.50","N/A","N/A"
"Propp, William Henry","JUDA 130 - Intro Old Testament:Historical (A)","SP16","5","3","33.3%","66.7%","3.17","N/A","N/A"
"Shuster, Alana","JUDA 3 - Intermediate Hebrew Continued (A)","SP16","10","7","100.0%","100.0%","4.17","B+ (3.50)","N/A"
"Shuster, Alana","JUDA 2 - Intermediate Hebrew (A)","WI16","11","6","100.0%","100.0%","3.17","A- (3.80)","N/A"
"Shuster, Alana","JUDA 1 - Beginning Hebrew (A)","FA15","15","10","100.0%","100.0%","1.70","A (4.00)","N/A"
"Goodblatt, David","JUDA 103 - Advanced Hebrew Texts (A)","SP15","5","3","100.0%","100.0%","2.50","B+ (3.33)","N/A"
"Shuster, Alana","JUDA 3 - Intermediate Hebrew Continued (A)","SP15","16","7","83.3%","100.0%","4.17","B+ (3.60)","N/A"
"Shuster, Alana","JUDA 2 - Intermediate Hebrew (A)","WI15","16","8","100.0%","100.0%","5.00","B+ (3.43)","N/A"
"Shuster, Alana","JUDA 1 - Beginning Hebrew (A)","FA14","19","4","100.0%","100.0%","7.50","A (4.00)","N/A"
"Propp, William Henry","JUDA 101 - Introduction to Hebrew Texts (A)","FA14","10","10","100.0%","100.0%","3.25","B+ (3.60)","N/A"
"Kimchi, Rami N","JUDA 111 - Topics in Judaic Studies (A)","FA14","5","3","100.0%","100.0%","4.50","B+ (3.50)","N/A"
"Shuster, Alana","JUDA 3 - Intermediate Hebrew Continued (A)","SP14","13","4","75.0%","75.0%","4.00","A (4.00)","N/A"
"Shuster, Alana","JUDA 2 - Intermediate Hebrew (A)","WI14","12","7","85.7%","85.7%","3.64","A (4.00)","N/A"
"Shuster, Alana","JUDA 1 - Beginning Hebrew (A)","FA13","22","10","88.9%","88.9%","5.83","A- (3.88)","A- (3.74)"
"Lampert-Weissig, Lisa","JUDA 87 - What is Judaic Studies? (A)","FA13","12","7","85.7%","85.7%","0.50","N/A","N/A"
"Goodblatt, David","JUDA 103 - Advanced Hebrew Texts (A)","SP13","6","3","100.0%","100.0%","7.83","B+ (3.67)","N/A"
"Shuster, Alana","JUDA 3 - Intermediate Hebrew Continued (A)","SP13","10","5","100.0%","100.0%","3.30","A- (3.80)","N/A"
"Propp, William Henry","JUDA 100A - Intro to the Old Testament (A)","WI13","10","3","100.0%","100.0%","7.17","B (3.00)","N/A"
"Cherry, Michael Shai","JUDA 110 - Introduction to Judaism (A)","WI13","8","6","100.0%","100.0%","4.90","A- (3.80)","N/A"
"Shuster, Alana","JUDA 2 - Intermediate Hebrew (A)","WI13","14","5","100.0%","80.0%","5.30","B (3.20)","N/A"
"Shuster, Alana","JUDA 1 - Beginning Hebrew (A)","FA12","21","10","100.0%","100.0%","5.61","A (4.00)","B+ (3.62)"
"Sherman, Miriam","JUDA 101 - Introduction to Hebrew Texts (A)","FA12","9","7","71.4%","71.4%","3.93","A- (3.71)","N/A"
"Propp, William Henry","JUDA 103   - Advanced Hebrew Texts          (B)","SP12","5","5","60.0%","60.0%","2.90","C (2.20)","N/A"
"Shuster, Alana","JUDA 3   - Intermediate Hebrew Continued  (A)","SP12","20","11","100.0%","100.0%","4.68","A- (3.82)","B+ (3.69)"
