"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Styler, William Francis","LIGN 101 - Introduction/Study of Language (A)","FA22","138","70","100.0%","100.0%","3.46","A- (3.74)","A- (3.82)"
"Garellek, Marc","LIGN 110 - Phonetics (A)","FA22","103","37","97.2%","97.1%","4.50","B+ (3.64)","A- (3.78)"
"Drake, Emily C","LIGN 121 - Syntax I (A)","FA22","44","18","83.3%","94.4%","5.06","B+ (3.39)","A (4.00)"
"McIntosh, Justin Daniel","LIGN 143 - The Structure of Spanish (A)","FA22","22","9","100.0%","100.0%","4.50","B+ (3.56)","B+ (3.33)"
"Garellek, Marc","LIGN 150 - Historical Linguistics (A)","FA22","35","10","90.0%","90.0%","6.50","B+ (3.60)","B (3.26)"
"Caballero, Gabriela Hernandez","LIGN 152 - Indigenous Languages/Americas (A)","FA22","20","5","80.0%","100.0%","4.50","A- (3.80)","B+ (3.34)"
"Kluender, Robert","LIGN 154 - Language and Consciousness (A)","FA22","9","3","100.0%","100.0%","3.17","B+ (3.33)","N/A"
"Bergen, Leon","LIGN 167 - Deep Learning/Natural Language (A)","FA22","97","32","90.6%","93.5%","6.69","B+ (3.55)","B+ (3.55)"
"Kehler, Andrew Scott","LIGN 17 - Making and Breaking Codes (A)","FA22","241","101","95.8%","100.0%","3.55","B (3.30)","B- (2.97)"
"Goodall, Grant Todd","LIGN 5 - Linguistics of Invented Lang (A)","FA22","81","24","90.9%","100.0%","3.58","B (3.17)","B (3.01)"
"Mayberry, Rachel","LIGN 7 - Sign Languages&Their Cultures (A)","FA22","137","68","85.1%","89.6%","2.92","B+ (3.40)","B (3.02)"
"McIntosh, Justin Daniel","LIGN 8 - Languages & Cultures/America (A)","FA22","298","104","93.1%","97.0%","3.81","A- (3.74)","B+ (3.58)"
"Phung, Huy Van","LIHL 114F - Beginning Vietnamese for Vietn (A)","FA22","31","19","89.5%","84.2%","4.61","B+ (3.30)","B+ (3.39)"
"Mokhtari, Azita","LIHL 117F - Persian for Persian Speakers (A)","FA22","18","17","94.1%","94.1%","2.85","A (4.00)","N/A"
"Chen, Areana Yen","LIHL 118 - Cantonese for Cantonse Speaker (A)","FA22","26","23","91.3%","95.7%","4.24","B+ (3.44)","B+ (3.34)"
"Phung, Huy Van","LIHL 124F - Int Vietnamese/Vietnamese Spkr (A)","FA22","9","5","100.0%","100.0%","3.30","A (4.00)","N/A"
"Alicio, Atilio","LIHL 132F - Adv Filipino/Filipino Spkrs (A)","FA22","13","4","100.0%","100.0%","5.50","B (3.25)","N/A"
"Munoz Sanchez, Alicia","LISP 18 - Intermed Spanish/Health Sci (A)","FA22","15","4","75.0%","100.0%","2.50","A- (3.75)","N/A"
"McIntosh, Justin Daniel","LIGN 101 - Introduction/Study of Language (A)","S222","40","10","100.0%","100.0%","6.10","B+ (3.50)","B+ (3.43)"
"McIntosh, Justin Daniel","LIGN 8 - Languages & Cultures/America (A)","S222","164","37","97.2%","100.0%","4.50","A- (3.74)","B+ (3.60)"
"Lott, Margaret S.","LIGN 149GS - Historical Roots of ASL (A)","S122","18","7","100.0%","100.0%","3.93","A (4.00)","N/A"
"Lott, Margaret S.","LIGN 9GS - Sign & Deaf Culture US/France (A)","S122","18","10","100.0%","100.0%","3.90","A- (3.80)","N/A"
"Styler, William Francis","LIGN 101 - Introduction/Study of Language (A)","SP22","117","53","98.0%","100.0%","3.50","A- (3.82)","B+ (3.56)"
"Yuan, Michelle","LIGN 120 - Morphology (A)","SP22","75","37","97.3%","97.2%","3.67","B+ (3.63)","B+ (3.52)"
"Yuan, Michelle","LIGN 125 - Syntax II (A)","SP22","8","6","100.0%","100.0%","3.50","B+ (3.60)","N/A"
"Caponigro, Ivano","LIGN 130 - Semantics (A)","SP22","70","28","92.0%","88.0%","3.38","B+ (3.48)","B- (2.90)"
"Rose, Sharon","LIGN 139 - Field Methods (A)","SP22","14","4","100.0%","100.0%","6.50","C+ (2.50)","N/A"
