"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Chacon, Gloria Elizabeth","LTAM 110 - Latin American Lit/Translation (A)","FA22","39","13","83.3%","75.0%","5.88","A- (3.75)","A- (3.70)"
"Vitkus, Daniel J.","LTCS 111 - Topics/Pop Culture/Historical (A)","FA22","26","5","100.0%","75.0%","5.70","B (3.25)","N/A"
"Nguyen, Hoang Tan","LTCS 119 - Asian American Film and Media (A)","FA22","28","6","100.0%","100.0%","5.70","A- (3.80)","A (4.00)"
"Kim, Joo Ok","LTCS 130 - Gender,Race/Ethn,Class&Culture (A)","FA22","37","15","92.9%","92.9%","4.21","A- (3.92)","A- (3.88)"
"Kim, Joo Ok","LTCS 165 - Spec Topics: Politics of Food (A)","FA22","39","13","83.3%","83.3%","3.17","A- (3.75)","A- (3.82)"
"Nguyen, Hoang Tan","LTCS 87 - First-year Seminar (A)","FA22","11","7","100.0%","100.0%","1.93","A (4.00)","N/A"
"Fiss, Geraldine Anna","LTEA 120A - Chinese Films (A)","FA22","281","192","91.6%","91.5%","6.03","A- (3.71)","A- (3.81)"
"Lee, Jin-Kyung","LTEA 140 - Modern Korean Lit/Translation (A)","FA22","34","9","100.0%","100.0%","4.72","B+ (3.56)","B+ (3.61)"
"Lee, Jin-Kyung","LTEA 142 - Korean Film, Lit & Pop Culture (A)","FA22","112","28","84.6%","92.3%","4.83","A- (3.71)","A- (3.84)"
"Lampert-Weissig, Lisa","LTEN 107 - Chaucer (A)","FA22","26","12","100.0%","100.0%","5.83","A- (3.73)","B+ (3.54)"
"Vitkus, Daniel J.","LTEN 117 - Topics: The 17th Century (A)","FA22","14","4","100.0%","75.0%","8.00","B (3.25)","N/A"
"Loose, Margaret","LTEN 127 - Victorian Poetry (A)","FA22","38","11","81.8%","90.9%","4.32","B+ (3.40)","N/A"
"Loose, Margaret","LTEN 142 - British Novel: 1830-1890 (A)","FA22","37","10","100.0%","100.0%","6.50","A- (3.90)","N/A"
"Walkiewicz, Kathryn A","LTEN 148 - Genres/English&American Lit (A)","FA22","24","7","100.0%","100.0%","3.64","A- (3.86)","A (4.00)"
