"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Kedlaya, Kiran S.","MATH 100A - Abstract Algebra I (A)","FA22","43","12","75.0%","83.3%","8.83","B (3.17)","B (3.24)"
"Greenfeld, Be'Eri","MATH 100A - Abstract Algebra I (B)","FA22","51","21","76.2%","75.0%","8.31","B+ (3.38)","B (3.14)"
"Hodges, Reuven Moses","MATH 102 - Applied Linear Algebra (A)","FA22","121","79","92.3%","96.1%","8.06","B+ (3.30)","B- (2.84)"
"Hodges, Reuven Moses","MATH 102 - Applied Linear Algebra (B)","FA22","99","71","90.0%","98.6%","7.96","B+ (3.36)","B (3.02)"
"Klevdal, Christian Sleek","MATH 103A - Modern Algebra I (A)","FA22","21","7","100.0%","100.0%","7.64","A- (3.86)","C+ (2.60)"
"Seward, Brandon M.","MATH 103A - Modern Algebra I (B)","FA22","73","22","90.9%","100.0%","6.69","B+ (3.32)","A- (3.85)"
"Agrawal, Shishir","MATH 103A - Modern Algebra I (C)","FA22","66","40","82.5%","92.5%","8.90","B+ (3.40)","B (3.00)"
"Ophir, Amit","MATH 103A - Modern Algebra I (D)","FA22","72","25","76.2%","81.0%","9.10","B (3.25)","B (3.08)"
"Chung, Kwun","MATH 109 - Mathematical Reasoning (A)","FA22","74","28","100.0%","88.5%","8.20","B (3.12)","B- (2.74)"
"Belmont, Eva Kinoshita","MATH 109 - Mathematical Reasoning (B)","FA22","73","25","96.0%","95.8%","7.70","B+ (3.35)","C+ (2.63)"
"Chow, Bennett","MATH 109 - Mathematical Reasoning (C)","FA22","74","26","96.0%","100.0%","6.75","B+ (3.30)","B (3.26)"
"Chung, Kwun","MATH 109 - Mathematical Reasoning (D)","FA22","71","30","80.0%","86.7%","7.43","B (3.14)","B- (2.81)"
"Schweinsberg, Jason","MATH 109 - Mathematical Reasoning (E)","FA22","68","38","94.7%","91.9%","8.34","B (3.08)","B- (2.93)"
"Jin, Muzhi","MATH 10A - Calculus I (A)","FA22","279","191","89.5%","72.9%","5.27","B (3.16)","C+ (2.32)"
"Stevens, Laura Jeanne","MATH 10A - Calculus I (B)","FA22","236","181","90.6%","97.8%","5.94","B (3.06)","C+ (2.59)"
"Jin, Muzhi","MATH 10A - Calculus I (C)","FA22","194","137","85.4%","72.3%","5.56","B (3.16)","C+ (2.39)"
"Upton, James Thomas","MATH 10A - Calculus I (D)","FA22","116","88","80.2%","77.4%","6.01","B- (2.99)","C (2.14)"
"Greenfeld, Be'Eri","MATH 10A - Calculus I (E)","FA22","143","92","80.2%","57.3%","5.70","B- (2.85)","C (2.21)"
"Stevens, Laura Jeanne","MATH 10B - Calculus II (A)","FA22","218","156","83.2%","96.1%","7.24","B- (2.99)","C+ (2.30)"
"Lu, Yunze","MATH 10B - Calculus II (B)","FA22","160","69","79.4%","79.1%","5.41","B- (2.87)","B (3.02)"
"McKinley, Gweneth Anne","MATH 10B - Calculus II (C)","FA22","182","112","92.7%","92.6%","6.93","B+ (3.38)","B- (2.75)"
"Kim, Jesse Villeneuve","MATH 10C - Calculus III (A)","FA22","258","100","66.3%","67.4%","6.89","B (3.02)","B- (2.80)"
"Nemish, Yuriy","MATH 10C - Calculus III (B)","FA22","185","146","70.3%","75.0%","6.75","B (3.08)","B- (2.98)"
"Rava, Denise","MATH 11 - Calculus-Based Prob & Stats (A)","FA22","275","97","79.6%","90.0%","7.31","B+ (3.35)","B- (2.91)"
"Ries, Daniel Charles","MATH 11 - Calculus-Based Prob & Stats (C)","FA22","272","113","81.3%","83.6%","6.16","B+ (3.40)","B- (2.94)"
"Wenzl, Hans G","MATH 110 - Intro/Partial Diff Equations (A)","FA22","41","12","75.0%","30.0%","8.00","B (3.08)","C (2.18)"
"Meyer, David A.","MATH 111A - Mathematical Modeling I (B)","FA22","28","9","100.0%","100.0%","4.28","A (4.00)","A- (3.84)"
"Manners, Frederick","MATH 120A - Elements of Complex Analysis (A)","FA22","53","20","80.0%","85.0%","9.10","B- (2.85)","B (3.13)"
"Seward, Brandon M.","MATH 140A - Foundations of Real Analysis I (A)","FA22","44","22","81.8%","95.5%","10.23","B (3.14)","B- (2.76)"
"Chan, Pak Yeung","MATH 140A - Foundations of Real Analysis I (B)","FA22","48","19","83.3%","82.4%","8.83","B (3.22)","B- (2.83)"
"Parise, Davide","MATH 142A - Introduction to Analysis I (A)","FA22","28","8","62.5%","100.0%","10.00","C+ (2.63)","B (3.07)"
"Sarkar, Pratyush","MATH 142A - Introduction to Analysis I (B)","FA22","32","6","33.3%","83.3%","10.50","C+ (2.40)","C+ (2.66)"
"Sheng, Hongyi","MATH 142A - Introduction to Analysis I (C)","FA22","55","21","75.0%","80.0%","8.70","B- (2.85)","C+ (2.64)"
"Eggers, John Dietrich","MATH 142A - Introduction to Analysis I (D)","FA22","62","17","62.5%","75.0%","9.38","B (3.13)","C+ (2.56)"
"Bejenaru, Ioan","MATH 144 - Intro to Fourier Analysis (A)","FA22","11","3","100.0%","100.0%","13.17","A (4.00)","N/A"
"Chow, Bennett","MATH 150A - Differential Geometry (A)","FA22","18","8","75.0%","50.0%","10.25","A- (3.75)","N/A"
"Harel, Guershon","MATH 153 - Geometry for Secondary Teacher (A)","FA22","20","4","100.0%","100.0%","4.50","B (3.25)","C+ (2.49)"
