"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"duBois, Page Ann","MMW 11 - Prehistory/Ancient Foundations (A)","FA22","349","149","55.9%","70.0%","5.18","B+ (3.33)","N/A"
"Herbst, Matthew","MMW 11R - Prehistory/Ancient Foundations (A)","FA22","352","240","72.3%","96.1%","6.79","B+ (3.58)","A- (3.76)"
"Herbst, Matthew","MMW 11R - Prehistory/Ancient Foundations (B)","FA22","272","176","65.9%","95.9%","6.06","B+ (3.58)","A- (3.81)"
"Chang, Edmond Yi-Teh","MMW 121 - Exploring the Pre-Modern World (A)","FA22","152","42","51.3%","71.1%","7.52","B (3.17)","B (3.08)"
"Patterson, Patrick H.","MMW 121 - Exploring the Pre-Modern World (B)","FA22","233","73","46.4%","87.0%","7.24","B+ (3.57)","B+ (3.40)"
"Chang, Edmond Yi-Teh","MMW 14 - Revolution,Industry & Empire (A)","FA22","327","107","64.0%","70.0%","6.78","B+ (3.60)","B+ (3.60)"
"Wood, Lauren Elizabeth","MMW 12 - Classical & Medieval Tradition (A)","S322","24","9","100.0%","100.0%","9.17","B+ (3.67)","B+ (3.30)"
"Vipperman-Cohen, Melissa Rachelle","MMW 13 - New Ideas & Cultural Encountrs (A)","S322","16","3","66.7%","100.0%","5.83","C+ (2.67)","N/A"
"Rahimi, Babak","MMW 122 - Exploring the Modern World (A)","S222","108","17","75.0%","100.0%","9.25","B+ (3.56)","B (3.17)"
"Chang, Edmond Yi-Teh","MMW 15 - Twentieth Century and Beyond (A)","S222","107","20","68.4%","89.5%","8.92","A- (3.72)","B+ (3.36)"
"Chang, Edmond Yi-Teh","MMW 15 - Twentieth Century and Beyond (B)","S222","109","11","77.8%","77.8%","5.61","B+ (3.33)","B+ (3.31)"
"Gray, Taylor Erin","MMW 15 - Twentieth Century and Beyond (C)","S222","118","26","76.0%","100.0%","5.75","A- (3.75)","A- (3.84)"
"Patterson, Patrick H.","MMW 15GS - Twentieth Century and Beyond (A)","S222","28","19","94.4%","100.0%","10.06","A- (3.83)","A- (3.86)"
"Patterson, Patrick H.","MMW 121 - Exploring the Pre-Modern World (A)","S122","53","35","80.0%","94.3%","8.16","B+ (3.43)","B (3.05)"
"Adamiak, Patrick John","MMW 14 - Revolution,Industry & Empire (A)","S122","114","18","70.6%","100.0%","10.13","B+ (3.63)","B+ (3.35)"
"Tchir, Paul Kost Nikolai","MMW 14 - Revolution,Industry & Empire (B)","S122","120","32","89.7%","96.6%","7.88","A- (3.86)","B+ (3.62)"
"Palhegyi, Joel David","MMW 14 - Revolution,Industry & Empire (C)","S122","112","17","75.0%","93.8%","7.88","B+ (3.50)","B+ (3.51)"
"Chang, Edmond Yi-Teh","MMW 13 - New Ideas & Cultural Encountrs (A)","SP22","259","96","81.3%","93.3%","7.15","B+ (3.67)","B (3.28)"
"Zhiri, Oumelbanine","MMW 13 - New Ideas & Cultural Encountrs (B)","SP22","298","144","59.4%","76.4%","4.74","B+ (3.69)","A- (3.71)"
"Vitkus, Daniel J.","MMW 13 - New Ideas & Cultural Encountrs (C)","SP22","215","112","41.3%","39.4%","5.51","B+ (3.33)","B (3.23)"
"Murillo, Dana V.","MMW 13 - New Ideas & Cultural Encountrs (D)","SP22","265","127","57.4%","82.8%","5.05","A- (3.73)","B+ (3.68)"
"Chang, Edmond Yi-Teh","MMW 15 - Twentieth Century and Beyond (A)","SP22","267","137","72.0%","91.1%","6.07","B+ (3.63)","B+ (3.55)"
"Prestholdt, Jeremy","MMW 15 - Twentieth Century and Beyond (B)","SP22","295","147","68.2%","96.9%","4.30","B+ (3.63)","B+ (3.64)"
"Balberg, Mira","MMW 12 - Classical & Medieval Tradition (A)","WI22","384","231","75.8%","99.1%","5.69","A- (3.70)","B+ (3.61)"
"Chang, Edmond Yi-Teh","MMW 12 - Classical & Medieval Tradition (B)","WI22","290","173","66.7%","81.0%","7.40","B+ (3.34)","B (3.22)"
"Kelting, Edward William","MMW 12 - Classical & Medieval Tradition (C)","WI22","384","240","68.5%","97.4%","6.00","B+ (3.43)","B+ (3.47)"
"Patterson, Patrick H.","MMW 122 - Exploring the Modern World (A)","WI22","232","116","70.9%","95.4%","6.46","B+ (3.58)","B+ (3.39)"
"Rahimi, Babak","MMW 122 - Exploring the Modern World (B)","WI22","161","67","51.6%","69.4%","6.31","B+ (3.46)","B+ (3.37)"
"Herbst, Matthew","MMW 122 - Exploring the Modern World (C)","WI22","6","4","100.0%","100.0%","4.50","A (4.00)","N/A"
"Hertz, Deborah","MMW 14 - Revolution,Industry & Empire (A)","WI22","164","79","55.4%","68.5%","4.39","B+ (3.56)","B+ (3.53)"
"Chang, Edmond Yi-Teh","MMW 14 - Revolution,Industry & Empire (B)","WI22","137","89","68.2%","79.8%","6.29","B+ (3.36)","B (3.23)"
"Myerston Santana, Jacobo","MMW 11 - Pre-History & Ancient Foundatn (A)","FA21","267","136","61.2%","82.7%","5.24","B+ (3.40)","B+ (3.37)"
"duBois, Page Ann","MMW 11 - Pre-History & Ancient Foundatn (B)","FA21","357","180","64.2%","86.2%","4.93","B+ (3.50)","B+ (3.55)"
"Chang, Edmond Yi-Teh","MMW 11 - Pre-History & Ancient Foundatn (C)","FA21","298","229","66.5%","83.8%","6.52","B+ (3.33)","B+ (3.39)"
"Adamiak, Patrick John","MMW 11 - Pre-History & Ancient Foundatn (D)","FA21","235","116","85.7%","96.4%","5.54","B+ (3.58)","B+ (3.51)"
"Herbst, Matthew","MMW 121R - Exploring the Pre-Modern World (A)","FA21","489","179","81.0%","96.3%","8.37","B+ (3.68)","B+ (3.45)"
