"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Fletcher, Nathan","POLI 100G - How to Win or Lose an Election (A)","FA22","211","49","93.5%","93.5%","5.27","A- (3.77)","A (4.00)"
"Gause, LaGina","POLI 100V - Organized Interests (A)","FA22","106","41","78.0%","82.9%","4.45","B+ (3.46)","B (3.05)"
"Paglayan, Agustina","POLI 100W - Politics,Policy,& Educ Inequal (A)","FA22","87","23","95.7%","95.7%","4.93","B+ (3.61)","B- (2.95)"
"Smith, Glenn Chatmas","POLI 104A - Supreme Court & Constitution (A)","FA22","223","43","87.2%","82.1%","5.70","B+ (3.43)","B (3.18)"
"Smith, Glenn Chatmas","POLI 104F - Constitutional Law (A)","FA22","19","4","100.0%","100.0%","7.50","B- (2.75)","N/A"
"Stephens, Mattheus E","POLI 104M - Law and Sex (A)","FA22","150","35","97.1%","97.0%","4.56","B+ (3.32)","B (3.26)"
"Wiens, David","POLI 110A - Citiz & Saints:Plato-Augustine (A)","FA22","47","9","100.0%","100.0%","4.94","B+ (3.67)","B+ (3.65)"
"Elgin, Samuel Zincke","POLI 110F - Critical Reasoning&Consumption (A)","FA22","47","15","92.9%","100.0%","4.07","B+ (3.64)","B+ (3.68)"
"Forman, Fonna","POLI 117R - Bending/Curve: Climate Change (A)","FA22","70","14","100.0%","100.0%","4.19","A- (3.92)","A- (3.72)"
"Ferree, Karen E","POLI 11D - Intro/Poli Sci:Compar Politics (A)","FA22","136","52","100.0%","98.0%","4.81","A- (3.71)","B+ (3.66)"
"Strom, Kaare","POLI 120E - Scandinavian Politics (A)","FA22","29","8","75.0%","75.0%","4.50","B (3.14)","B- (2.91)"
"Fisk, David Lee","POLI 120G - British Politics (A)","FA22","137","36","97.0%","93.9%","6.14","B+ (3.61)","A- (3.75)"
"Fisk, David Lee","POLI 120H - European Integration (A)","FA22","138","47","95.6%","97.8%","4.59","B+ (3.60)","A- (3.76)"
"Roeder, Philip G","POLI 12D - Intro/Poli Sci:Int'l Relations (A)","FA22","134","55","98.1%","96.3%","5.34","B+ (3.56)","B+ (3.32)"
"Fisk, David Lee","POLI 135 - Comparative LGBT Politics (A)","FA22","105","18","94.1%","100.0%","3.09","A- (3.76)","A- (3.75)"
"Forman, Fonna","POLI 13DR - Power and Justice (A)","FA22","231","85","100.0%","100.0%","3.92","A- (3.78)","A- (3.81)"
