"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Ferreira, Victor","PSYC 1 - Psychology (A)","FA22","342","172","97.6%","99.4%","2.99","B+ (3.63)","B (3.05)"
"Chapman, Eddie Nathaniel","PSYC 100 - Clinical Psychology (A)","FA22","397","124","100.0%","98.3%","5.19","A- (3.79)","A- (3.92)"
"Heyman, Gail D.","PSYC 101 - Developmental Psychology (A)","FA22","314","97","94.6%","94.6%","4.33","B+ (3.52)","B (3.13)"
"Moranton, Nirelia Melbina-","PSYC 102 - Sensory Neuroscience (A)","FA22","215","90","83.9%","87.2%","7.35","B (3.17)","B- (2.73)"
"Fine, Rachel","PSYC 104 - Social Psychology (A)","FA22","332","100","76.0%","71.9%","3.98","B+ (3.48)","B+ (3.45)"
"Lang, Ariel","PSYC 116A - Lab/Clinical Psych Research I (A)","FA22","21","5","100.0%","100.0%","4.50","A (4.00)","A- (3.92)"
"Miller, Cory T.","PSYC 122 - Mechanisms of Animal Behavior (A)","FA22","190","150","92.0%","94.0%","4.87","B (3.23)","B (3.10)"
"Rose, Fred E.","PSYC 125 - Clinical Neuropsychology (A)","FA22","146","55","94.4%","90.6%","5.00","B+ (3.35)","B- (2.97)"
"Kaye, Walter H.","PSYC 134 - Eating Disorders (A)","FA22","239","68","85.1%","81.5%","3.55","B+ (3.48)","B- (2.95)"
"Fine, Rachel","PSYC 137 - Social Cognition (A)","FA22","203","61","83.1%","77.6%","4.10","B (3.27)","B (3.03)"
"Li, Chuchu","PSYC 145 - Psychology of Language (A)","FA22","115","40","92.1%","86.8%","4.24","B+ (3.49)","B- (2.89)"
"Wong, Lauren Hitomi","PSYC 147 - Gender (A)","FA22","141","68","95.5%","97.0%","4.17","B+ (3.52)","B (3.30)"
"Lacefield, Katharine I","PSYC 154 - Behavior Modification (A)","FA22","290","101","97.9%","97.9%","4.56","A- (3.79)","A- (3.72)"
