"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Kalleres, Dayna","RELI 1 - Introduction to Religion (A)","FA22","37","11","90.9%","100.0%","2.50","B (3.20)","A (4.00)"
"Rahimi, Babak","RELI 149 - Islam in America (A)","S122","40","5","100.0%","100.0%","3.70","A- (3.80)","A- (3.98)"
"Rahimi, Babak","RELI 101 - Tools&Methods/Studyof Religion (A)","WI22","39","10","90.0%","90.0%","3.61","B+ (3.67)","A- (3.73)"
"Rahimi, Babak","RELI 188 - Special Topics in Religion (A)","WI22","34","11","80.0%","90.0%","3.90","A- (3.90)","A- (3.81)"
"Kalleres, Dayna","RELI 1 - Introduction to Religion (A)","FA21","37","18","81.3%","75.0%","2.50","A- (3.85)","A- (3.74)"
"Kalleres, Dayna","RELI 188 - Special Topics in Religion (A)","FA21","38","14","100.0%","71.4%","3.50","A- (3.86)","A- (3.80)"
"Rahimi, Babak","RELI 149 - Islam in America (A)","S121","32","5","100.0%","100.0%","5.70","B+ (3.60)","A- (3.83)"
"Rahimi, Babak","RELI 101 - Tools&Methods/Studyof Religion (A)","SP21","45","14","85.7%","85.7%","3.73","A- (3.85)","A- (3.95)"
"Rahimi, Babak","RELI 150 - Religion and Cinema (A)","SP21","46","14","92.9%","92.9%","2.96","A- (3.83)","A (4.00)"
"Kalleres, Dayna","RELI 188 - Special Topics in Religion (A)","WI21","28","10","80.0%","60.0%","2.90","B+ (3.57)","A- (3.78)"
"Kalleres, Dayna","RELI 2 - Comparative Religions (A)","WI21","59","28","92.6%","84.6%","3.73","A (4.00)","A- (3.83)"
"Kalleres, Dayna","RELI 1 - Introduction to Religion (A)","FA20","32","11","100.0%","100.0%","2.14","B+ (3.45)","B+ (3.68)"
"Kalleres, Dayna","RELI 188 - Special Topics in Religion (A)","FA20","52","20","52.9%","56.3%","4.15","B+ (3.47)","B+ (3.48)"
"Rahimi, Babak","RELI 149 - Islam in America (A)","S220","33","7","100.0%","100.0%","5.70","A (4.00)","A- (3.88)"
"Rahimi, Babak","RELI 3 - Technoscience and Religion (A)","SP20","18","6","100.0%","100.0%","2.10","A- (3.75)","N/A"
"Kalleres, Dayna","RELI 101 - Tools&Methods/Studyof Religion (A)","WI20","58","24","77.3%","77.3%","3.86","A- (3.78)","A- (3.95)"
"Kalleres, Dayna","RELI 2 - Comparative Religions (A)","WI20","25","8","85.7%","71.4%","3.07","B+ (3.57)","A- (3.99)"
