"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Leigh, Brian","REV 1 - First Year Experience (A)","FA22","107","50","93.8%","100.0%","0.63","A- (3.94)","N/A"
"Yu, Paul K L","REV 2 - Transfer Year Experience (A)","FA22","54","15","85.7%","92.9%","0.79","A- (3.75)","N/A"
"Lyon, Antony J.","REV 87 - First-year Seminar (A)","FA22","13","6","100.0%","100.0%","3.17","A (4.00)","N/A"
"Leigh, Brian","REV 1 - First Year Experience (A)","FA21","97","65","93.7%","98.4%","0.84","A- (3.89)","N/A"
"Yu, Paul K L","REV 2 - Transfer Year Experience (A)","FA21","34","13","92.3%","100.0%","1.27","B+ (3.50)","N/A"
"Yu, Paul K L","REV 12 - Science of Mindfulness (A)","SP21","17","9","100.0%","100.0%","0.94","A (4.00)","N/A"
"Lipomi, Darren John","REV 88 - Succeeding in Sci Research (A)","SP21","27","15","100.0%","100.0%","0.90","A (4.00)","N/A"
"Antonovics, Kate L.","REV 12 - Science of Mindfulness (A)","SP19","13","6","100.0%","100.0%","2.90","A (4.00)","N/A"
"Antonovics, Kate L.","REV 16 - Leadership in Practice (A)","WI19","10","6","83.3%","66.7%","1.17","N/A","N/A"
"Zroka, Amy Liane","REV 1 - First Year Experience (A)","FA18","96","59","86.2%","98.3%","0.91","A (4.00)","N/A"
"Zroka, Amy Liane","REV 2 - Transfer Year Experience (A)","FA18","19","9","88.9%","88.9%","1.61","A (4.00)","N/A"
"Yu, Paul K L","REV 12 - Science of Mindfulness (A)","SP18","21","12","100.0%","100.0%","1.23","N/A","N/A"
"Yu, Paul K L","REV 1 - First Year Experience (A)","FA17","95","53","88.5%","96.2%","0.96","A- (3.80)","N/A"
"Tanaka, Stefan A.","REV 2 - Transfer Year Experience (A)","FA17","16","7","83.3%","100.0%","0.50","A (4.00)","N/A"
"Yu, Paul K L","REV 12 - Science of Mindfulness (A)","SP17","9","4","100.0%","100.0%","1.00","N/A","N/A"
"Yu, Paul K L","REV 110H - Revelle Senior Honors Seminar (A)","WI17","32","15","100.0%","100.0%","0.50","A (4.00)","N/A"
"Chilukuri, Lakshmi N","REV 1 - First Year Experience (A)","FA16","81","54","90.2%","98.0%","1.58","A- (3.73)","N/A"
"Jed, Stephanie H","REV 2 - Transfer Year Experience (A)","FA16","27","22","76.2%","100.0%","2.61","A (4.00)","N/A"
"Chilukuri, Lakshmi N","REV 1 - First Year Experience (A)","FA15","96","54","76.9%","96.2%","1.79","A (4.00)","N/A"
"Yu, Paul K L","REV 2 - Transfer Year Experience (A)","FA15","25","15","78.6%","92.9%","1.93","N/A","N/A"
"Aldelaimy, Wael","REV 160GS - Public Health & Epidemiology I (A)","S115","14","4","66.7%","66.7%","12.50","C+ (2.50)","N/A"
"Aldelaimy, Wael","REV 165GS - Public Health/Epidemiology II (A)","S115","14","3","66.7%","33.3%","11.17","C+ (2.50)","N/A"
"Yu, Paul K L","REV 1 - First Year Experience (A)","FA14","94","52","83.7%","95.9%","1.27","A (4.00)","N/A"
"Lipomi, Darren John","REV 87 - Freshman Seminar (A)","WI14","8","6","66.7%","100.0%","3.17","N/A","N/A"
"Aldelaimy, Wael","REV 160GS - Public Health & Epidemiology I (A)","S112","19","9","66.7%","77.8%","15.61","B (3.00)","N/A"
"Aldelaimy, Wael","REV 165GS - Public Health/Epidemiology II  (A)","S112","19","8","62.5%","75.0%","15.50","B (3.29)","N/A"
"Aldelaimy, Wael","REV 160GS - Public Health & Epidemiology I (A)","S111","18","13","100.0%","100.0%","12.35","B (3.15)","N/A"
"Aldelaimy, Wael","REV 165GS - Public Health/Epidemiology II  (A)","S111","18","12","100.0%","100.0%","12.33","B (3.25)","N/A"
"Wayne, Don E.","REV 87   - Freshman Seminar               (A)","WI11","4","3","66.7%","66.7%","1.83","N/A","N/A"
"Wayne, Don E.","REV 87 - Freshman Seminar               (A)","FA10","13","6","50.0%","33.3%","0.50","N/A","N/A"
"Aldelaimy, Wael","REV 160GS - Public Health & Epidemiology I (A)","SU10","19","13","76.9%","46.2%","12.96","B (3.00)","N/A"
"Aldelaimy, Wael","REV 165GS - Public Health/Epidemiology II  (A)","SU10","19","10","80.0%","70.0%","14.10","B (3.00)","N/A"
"Wulbert, Daniel E.","REV 87 - Freshman Seminar               (A)","WI09","13","11","81.8%","90.9%","1.05","N/A","N/A"
