"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Van Den Einde, Yael Dahlia","SE 1 - Intro. to Structures & Design (A)","FA22","194","150","95.9%","95.1%","7.96","B+ (3.35)","B (3.07)"
"Morrison, Machel Leigh","SE 101A - Mechanics I: Statics (A)","FA22","146","109","94.5%","93.6%","8.44","B- (2.98)","C (2.14)"
"Lanza Di Scalea, Francesco","SE 101C - Mechanics III: Vibrations (A)","FA22","110","97","91.7%","85.4%","7.92","B- (2.97)","B (3.10)"
"Conte, Joel P","SE 125 - Stats, Probability&Reliability (A)","FA22","128","79","63.4%","73.2%","10.13","B- (2.72)","C+ (2.61)"
"Loh, Kenneth J. H.","SE 130A - Structural Analysis I (A)","FA22","94","84","94.0%","96.4%","8.99","B (3.17)","N/A"
"Krysl, Petr","SE 131B - Computing Projects in SE (A)","FA22","91","21","35.3%","47.1%","9.28","B- (2.78)","B (3.14)"
"Kim, Hyonny","SE 142 - Mech/Design Composite Str (A)","FA22","40","31","100.0%","96.8%","8.90","B- (2.97)","B- (2.98)"
"Loh, Kenneth J. H.","SE 164 - Sensors/Data Acquisition SE (A)","FA22","9","4","100.0%","100.0%","6.50","B (3.25)","N/A"
"Elgamal, Ahmed","SE 180 - Earthquake Engineering (A)","FA22","50","13","92.3%","92.3%","7.50","B (3.25)","B (3.25)"
"McCartney, John Scott","SE 181 - Geotechnical Engineering (A)","FA22","72","28","83.3%","91.7%","7.54","B+ (3.44)","B+ (3.68)"
"Godinez Hernandez, Sergio Eduardo","SE 130B - Structural Analysis II (A)","S222","13","13","100.0%","100.0%","8.65","B- (2.85)","N/A"
"Lee, Hooseok","SE 150A - Design of Steel Structures (A)","S222","14","4","100.0%","100.0%","6.50","C- (1.75)","N/A"
"Adams, Dave Kenneth","SE 154 - Design of Timber Structures (A)","S222","24","10","100.0%","100.0%","8.90","B+ (3.50)","B (3.18)"
"Zare Hosseinzadeh, Ali","SE 9 - Algorithms&Programming for SE (A)","S222","5","3","100.0%","100.0%","9.17","C+ (2.67)","N/A"
"Zare Hosseinzadeh, Ali","SE 101A - Mechanics I: Statics (A)","S122","10","6","100.0%","100.0%","8.50","B (3.00)","N/A"
"Datta, Diptojit","SE 110A - Solid Mechanics I (A)","S122","12","11","100.0%","100.0%","9.23","B- (2.73)","N/A"
"Baek, Jonghyuk","SE 101B - Mechanics II: Dynamics (A)","SP22","27","4","50.0%","25.0%","7.00","C+ (2.50)","B (3.08)"
"Qiao, Yu","SE 105 - Structural Materials (A)","SP22","97","21","95.2%","90.5%","7.40","B+ (3.65)","B (3.11)"
"Zhu, Qiang","SE 110B - Solid Mechanics II (A)","SP22","115","30","96.6%","96.6%","6.91","B+ (3.38)","B (3.01)"
"Mosqueda, Gilberto","SE 130B - Structural Analysis II (A)","SP22","84","17","100.0%","100.0%","7.68","B (3.24)","B (3.08)"
"Krysl, Petr","SE 131A - Finite Element Analysis (A)","SP22","96","23","82.6%","78.3%","8.24","B- (2.96)","B- (2.74)"
"Chen, Jiun-Shyan","SE 132 - Machine Learning for SE (A)","SP22","22","4","75.0%","100.0%","7.00","A- (3.75)","B+ (3.31)"
"Restrepo, Jose","SE 140B - Design of Civil Structures II (A)","SP22","83","29","84.6%","92.3%","14.20","B- (2.74)","B+ (3.61)"
"Kosmatka, John B","SE 143B - Aerospace Structural Design II (A)","SP22","18","7","100.0%","85.7%","16.50","B+ (3.57)","N/A"
"Uang, Chia-Ming","SE 150A - Design of Steel Structures (A)","SP22","58","11","81.8%","100.0%","8.86","C+ (2.45)","B- (2.83)"
"Morrison, Machel Leigh","SE 150B - Design of Steel Structures II (A)","SP22","27","22","90.9%","100.0%","6.32","B (3.27)","B (3.11)"
"Tsampras, Georgios","SE 151B - Design of Prestressed Concrete (A)","SP22","47","40","77.5%","75.0%","10.25","B- (2.87)","B- (2.72)"
"Kim, Hyunsun Alicia","SE 160B - Aerospace Structural Mechs II (A)","SP22","110","76","36.5%","10.8%","5.43","B (3.14)","B (3.09)"
"Todd, Michael","SE 163 - Nondestructive Evaluation (A)","SP22","27","9","66.7%","100.0%","5.61","B- (2.89)","B- (2.72)"
"Hutchinson, Tara","SE 184 - Ground Improvement (A)","SP22","18","7","85.7%","57.1%","5.93","B (3.14)","N/A"
"Van Den Einde, Yael Dahlia","SE 3 - Graphical Comm for Eng Design (A)","SP22","176","107","87.9%","89.5%","12.48","B+ (3.33)","B+ (3.38)"
"Kuester, Falko","SE 9 - Algorithms&Programming for SE (A)","SP22","83","15","80.0%","78.6%","6.10","A- (3.73)","A- (3.73)"
"Van Den Einde, Yael Dahlia","SE 101A - Mechanics I: Statics (A)","WI22","37","31","93.5%","93.5%","8.82","B- (2.93)","C+ (2.44)"
"Todd, Michael","SE 101B - Mechanics II: Dynamics (A)","WI22","94","76","92.1%","96.1%","8.05","B- (2.95)","C+ (2.68)"
"Jandaghi Semnani, Shabnam","SE 102 - Intro. to Computing for Eng. (A)","WI22","95","86","87.2%","91.9%","7.84","B (3.00)","B (3.20)"
"Van Den Einde, Yael Dahlia","SE 103 - Conceptual Structural Design (A)","WI22","69","63","74.6%","73.0%","11.80","B- (2.98)","B- (2.71)"
"Asaro, Robert J","SE 110A - Solid Mechanics I (A)","WI22","89","54","67.3%","23.5%","8.42","B+ (3.50)","A- (3.72)"
"Zhu, Qiang","SE 115 - Fluid Mechanics/Structural Eng (A)","WI22","111","58","96.4%","100.0%","5.75","A- (3.73)","B+ (3.54)"
"Chadha, Mayank","SE 130A - Structural Analysis I (A)","WI22","20","17","100.0%","100.0%","8.15","B- (2.87)","B (3.09)"
"Uang, Chia-Ming","SE 140A - Design of Civil Structures I (A)","WI22","81","43","88.1%","95.2%","11.36","B+ (3.45)","B+ (3.34)"
"Kosmatka, John B","SE 143A - Aerospace Structural Design I (A)","WI22","19","9","88.9%","88.9%","13.50","B+ (3.50)","N/A"
"Shing, P. Benson","SE 151A - Design of Reinforced Concrete (A)","WI22","94","86","77.9%","75.3%","11.24","C+ (2.64)","B- (2.94)"
"Kosmatka, John B","SE 160A - Aerospace Structural Mechs I (A)","WI22","118","71","75.4%","39.7%","10.12","B- (2.97)","B- (2.76)"
"Katko, Benjamin J","SE 171 - Aerospace Structures Repair (A)","WI22","29","15","73.3%","66.7%","10.79","B (3.00)","B (3.06)"
"Tomac, Ingrid","SE 182 - Foundation Engineering (A)","WI22","22","12","70.0%","80.0%","7.10","B+ (3.40)","B (3.28)"
"Van Den Einde, Yael Dahlia","SE 1 - Intro. to Structures & Design (A)","FA21","212","180","94.9%","94.9%","8.23","B (3.18)","B- (2.99)"
"Morrison, Machel Leigh","SE 101A - Mechanics I: Statics (A)","FA21","112","93","96.7%","94.5%","7.91","B (3.18)","C+ (2.51)"
"Zhu, Qiang","SE 101C - Mechanics III: Vibrations (A)","FA21","94","45","93.0%","97.6%","6.64","B (3.09)","B- (2.94)"
"Conte, Joel P","SE 125 - Stats, Probability&Reliability (A)","FA21","101","50","85.7%","87.5%","10.54","C+ (2.63)","B- (2.71)"
"Loh, Kenneth J. H.","SE 130A - Structural Analysis I (A)","FA21","67","59","91.5%","83.1%","9.14","B- (2.93)","C+ (2.42)"
"Krysl, Petr","SE 131B - Computing Projects in SE (A)","FA21","107","103","69.9%","72.5%","9.82","B+ (3.30)","B+ (3.34)"
"Kim, Hyonny","SE 142 - Mech/Design Composite Str (A)","FA21","43","21","100.0%","100.0%","11.06","B (3.06)","B+ (3.31)"
"Loh, Kenneth J. H.","SE 164 - Sensors/Data Acquisition SE (A)","FA21","9","7","83.3%","83.3%","8.50","B+ (3.50)","N/A"
"Elgamal, Ahmed","SE 180 - Earthquake Engineering (A)","FA21","80","25","86.4%","95.2%","10.32","B (3.00)","B (3.18)"
"McCartney, John Scott","SE 181 - Geotechnical Engineering (A)","FA21","97","34","93.5%","96.8%","7.47","A- (3.71)","A- (3.85)"
"Funderburk, Morgan Leigh","SE 101B - Mechanics II: Dynamics (B)","S221","12","6","83.3%","66.7%","8.83","B- (2.83)","N/A"
"Datta, Diptojit","SE 110B - Solid Mechanics II (A)","S221","7","6","100.0%","83.3%","6.50","B+ (3.33)","N/A"
"Lin, Kuanpo","SE 130B - Structural Analysis II (A)","S221","18","6","100.0%","100.0%","11.30","B- (2.80)","N/A"
"Li, Chaohsien","SE 150A - Design of Steel Structures (A)","S221","17","8","100.0%","100.0%","11.64","B- (2.86)","N/A"
"Adams, Dave Kenneth","SE 154 - Design of Timber Structures (A)","S221","13","7","85.7%","100.0%","12.21","B+ (3.43)","N/A"
"Adams, Dave Kenneth","SE 154 - Design of Timber Structures (B)","S221","40","9","100.0%","100.0%","10.72","B+ (3.67)","B+ (3.61)"
"Jauregui, Carolina Miranda","SE 101A - Mechanics I: Statics (A)","S121","14","12","91.7%","100.0%","7.17","B (3.18)","N/A"
"Tsampras, Georgios","SE 101C - Mechanics III: Vibrations (A)","S121","16","14","85.7%","100.0%","10.36","B- (2.93)","N/A"
"Datta, Diptojit","SE 110A - Solid Mechanics I (A)","S121","10","8","100.0%","87.5%","7.75","C+ (2.50)","N/A"
"Lin, Kuanpo","SE 130A - Structural Analysis I (A)","S121","30","6","100.0%","100.0%","10.50","B (3.00)","B (3.29)"
"Chadha, Mayank","SE 101B - Mechanics II: Dynamics (A)","SP21","19","10","90.0%","90.0%","6.10","B (3.00)","N/A"
"Qiao, Yu","SE 105 - Structural Materials (A)","SP21","96","28","100.0%","100.0%","7.93","B+ (3.40)","B (3.28)"
"Zhu, Qiang","SE 110B - Solid Mechanics II (A)","SP21","55","13","100.0%","100.0%","4.81","B+ (3.62)","B (3.17)"
"Mosqueda, Gilberto","SE 130B - Structural Analysis II (A)","SP21","90","26","84.6%","84.6%","8.88","B (3.14)","B (3.29)"
"Krysl, Petr","SE 131A - Finite Element Analysis (A)","SP21","137","38","63.9%","51.4%","9.33","B (3.13)","B (3.11)"
"Chen, Jiun-Shyan","SE 132 - Machine Learning for SE (A)","SP21","26","8","100.0%","100.0%","10.75","B+ (3.50)","A- (3.82)"
"Restrepo, Jose","SE 140B - Design of Civil Structures II (A)","SP21","92","25","100.0%","91.3%","17.33","B+ (3.45)","A- (3.80)"
"Kim, Hyonny","SE 143B - Aerospace Structural Design II (A)","SP21","13","8","100.0%","100.0%","16.25","B+ (3.50)","N/A"
"Kosmatka, John B","SE 143B - Aerospace Structural Design II (A)","SP21","13","8","100.0%","100.0%","16.25","B+ (3.50)","N/A"
"Uang, Chia-Ming","SE 150A - Design of Steel Structures (A)","SP21","78","17","94.1%","100.0%","9.68","B+ (3.50)","B (3.25)"
"Morrison, Machel Leigh","SE 150B - Design of Steel Structures II (A)","SP21","16","12","100.0%","100.0%","6.50","B+ (3.50)","N/A"
"Tsampras, Georgios","SE 151B - Design of Prestressed Concrete (A)","SP21","40","36","100.0%","100.0%","8.28","B+ (3.31)","B (3.24)"
"Kim, Hyunsun Alicia","SE 160B - Aerospace Structural Mechs II (A)","SP21","95","76","85.5%","81.6%","6.79","B (3.20)","B- (2.97)"
"Lanza Di Scalea, Francesco","SE 163 - Nondestructive Evaluation (A)","SP21","22","13","100.0%","100.0%","9.58","B+ (3.62)","B+ (3.32)"
"Farrar, Charles R.","SE 165 - Structural Health Monitoring (A)","SP21","13","5","20.0%","40.0%","11.70","A (4.00)","N/A"
"Hutchinson, Tara","SE 184 - Ground Improvement (B)","SP21","11","4","100.0%","75.0%","10.00","B (3.25)","N/A"
"Van Den Einde, Yael Dahlia","SE 3 - Graphical Comm for Eng Design (A)","SP21","143","57","87.7%","78.9%","11.69","B+ (3.52)","B (3.09)"
"Kuester, Falko","SE 9 - Algorithms&Programming for SE (A)","SP21","39","10","88.9%","100.0%","5.50","A- (3.89)","A- (3.76)"
"Marquez, Joaquin Fabian","SE 101A - Mechanics I: Statics (A)","WI21","24","16","100.0%","93.3%","7.03","B (3.07)","B- (2.93)"
"Todd, Michael","SE 101B - Mechanics II: Dynamics (A)","WI21","85","29","75.9%","75.9%","7.60","B (3.04)","C+ (2.65)"
"Jandaghi Semnani, Shabnam","SE 102 - Intro. to Computing for Eng. (A)","WI21","109","98","69.4%","82.7%","8.66","B (3.12)","B+ (3.34)"
"Van Den Einde, Yael Dahlia","SE 103 - Conceptual Structural Design (A)","WI21","96","76","86.8%","75.0%","14.05","B+ (3.32)","B (3.15)"
"Asaro, Robert J","SE 110A - Solid Mechanics I (B)","WI21","49","18","83.3%","50.0%","10.28","B+ (3.61)","B+ (3.61)"
"Zhu, Qiang","SE 115 - Fluid Mechanics/Structural Eng (A)","WI21","136","73","91.4%","90.0%","6.07","B+ (3.40)","B (3.25)"
"Mosqueda, Gilberto","SE 130A - Structural Analysis I (B)","WI21","35","26","88.0%","80.0%","9.65","B- (2.87)","B- (2.86)"
"Uang, Chia-Ming","SE 140A - Design of Civil Structures I (A)","WI21","95","27","96.0%","100.0%","12.98","B+ (3.52)","B+ (3.59)"
"Shing, P. Benson","SE 151A - Design of Reinforced Concrete (A)","WI21","95","31","67.7%","51.6%","12.82","C+ (2.33)","B- (2.98)"
"Kosmatka, John B","SE 160A - Aerospace Structural Mechs I (A)","WI21","103","88","75.0%","31.8%","9.27","B- (2.78)","B (3.05)"
"Loh, Kenneth J. H.","SE 164 - Sensors/Data Acquisition SE (A)","WI21","13","11","90.9%","100.0%","7.23","A- (3.73)","N/A"
"Kim, Hyonny","SE 171 - Aerospace Structures Repair (A)","WI21","12","3","100.0%","100.0%","6.50","B+ (3.33)","N/A"
"Kim, Hyonny","SE 171 - Aerospace Structures Repair (B)","WI21","8","3","66.7%","100.0%","5.83","C (2.00)","N/A"
"Tomac, Ingrid","SE 182 - Foundation Engineering (A)","WI21","47","12","81.8%","63.6%","9.23","B+ (3.55)","B+ (3.42)"
"Van Den Einde, Yael Dahlia","SE 1 - Intro. to Structures & Design (A)","FA20","142","111","96.4%","95.5%","7.89","B+ (3.59)","B (3.16)"
"Morrison, Machel Leigh","SE 101A - Mechanics I: Statics (A)","FA20","73","36","91.7%","94.4%","7.83","B (3.17)","C+ (2.68)"
"Zhu, Qiang","SE 101C - Mechanics III: Vibrations (A)","FA20","110","37","75.0%","75.0%","7.41","B (3.14)","B (3.06)"
"Conte, Joel P","SE 125 - Stats, Probability&Reliability (A)","FA20","186","55","74.5%","83.6%","10.94","B- (2.75)","B (3.22)"
"Loh, Kenneth J. H.","SE 130A - Structural Analysis I (B)","FA20","55","15","86.7%","73.3%","12.37","C+ (2.53)","B- (2.73)"
"Krysl, Petr","SE 131B - Computing Projects in SE (A)","FA20","88","22","77.3%","68.2%","11.95","B (3.23)","B (3.04)"
"Kim, Hyonny","SE 142 - Mech/Design Composite Str (A)","FA20","35","13","92.3%","100.0%","8.19","B- (2.85)","B (3.19)"
"Elgamal, Ahmed","SE 180 - Earthquake Engineering (A)","FA20","54","17","88.2%","82.4%","10.50","B- (2.88)","B+ (3.46)"
"McCartney, John Scott","SE 181 - Geotechnical Engineering (A)","FA20","104","31","96.6%","96.6%","9.05","B+ (3.62)","B+ (3.62)"
"Chavez Morales, Rodrigo Enrique","SE 101B - Mechanics II: Dynamics (A)","S220","26","10","40.0%","55.6%","9.50","C+ (2.60)","C+ (2.57)"
"Lin, Kuanpo","SE 130B - Structural Analysis II (A)","S220","35","6","83.3%","100.0%","9.83","B+ (3.33)","B (3.19)"
"Li, Chaohsien","SE 150 - Design of Steel Structures (A)","S220","16","6","66.7%","83.3%","12.83","B (3.20)","N/A"
