"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Gee, Jeffrey S","SIO 100 - Geological Field Methods (A)","FA22","34","15","85.7%","92.9%","8.07","B+ (3.43)","B+ (3.49)"
"Norris, Richard D.","SIO 100 - Geological Field Methods (A)","FA22","34","15","85.7%","100.0%","8.07","B+ (3.43)","B+ (3.49)"
"Aluwihare, Lihini","SIO 101 - California Coast Oceanography (A)","FA22","65","18","56.3%","68.8%","5.44","B (3.28)","B (3.04)"
"Decima, Moira R.","SIO 101 - California Coast Oceanography (A)","FA22","65","18","56.3%","50.0%","5.44","B (3.28)","B (3.04)"
"Parnell-Turner, Ross Ernes","SIO 103 - Introduction to Geophysics (A)","FA22","23","18","100.0%","100.0%","7.06","B (3.28)","B- (2.98)"
"Driscoll, Neal W.","SIO 105 - Sedimentology & Stratigraphy (A)","FA22","24","13","100.0%","100.0%","3.58","A- (3.77)","A (4.00)"
"Charles, Christopher D.","SIO 108 - Paleoclimatology (A)","FA22","20","10","50.0%","60.0%","5.10","B+ (3.60)","B (3.10)"
"Forman, Fonna","SIO 109R - Bending/Curve: Climate Change (A)","FA22","38","12","91.7%","100.0%","4.17","A- (3.92)","A- (3.73)"
"Batchelor, Heidi Ann","SIO 110 - Intro GIS & GPS for Scientists (A)","FA22","29","14","100.0%","100.0%","3.93","A- (3.93)","A- (3.84)"
"Keeling, Ralph F.","SIO 117 - Physical Basis/Global Warming (A)","FA22","51","17","82.4%","94.1%","4.97","B+ (3.41)","B+ (3.31)"
"Peach, Cheryl","SIO 12 - History of Earth & Evolution (A)","FA22","143","59","96.6%","96.6%","2.33","B+ (3.69)","B+ (3.67)"
"Allen, Andrew Ellis","SIO 123 - Microbial Env Systems Biology (A)","FA22","45","24","91.3%","87.0%","4.33","B+ (3.39)","B+ (3.64)"
"Hechinger, Ryan F.","SIO 132 - Introduction to Marine Biology (A)","FA22","186","76","91.7%","70.8%","5.29","B+ (3.44)","A- (3.98)"
"Kacev, David","SIO 132 - Introduction to Marine Biology (A)","FA22","186","76","91.7%","94.4%","5.29","B+ (3.44)","A- (3.98)"
"Bowman, Jeff Shovlowsky","SIO 136 - Marine Biology Laboratory (A)","FA22","34","11","100.0%","70.0%","8.68","A- (3.73)","A- (3.97)"
"Kacev, David","SIO 136 - Marine Biology Laboratory (A)","FA22","34","11","100.0%","100.0%","8.68","A- (3.73)","A- (3.97)"
"Bowman, Jeff Shovlowsky","SIO 136 - Marine Biology Laboratory (B)","FA22","34","17","100.0%","68.8%","7.63","A- (3.75)","A- (3.92)"
"Kacev, David","SIO 136 - Marine Biology Laboratory (B)","FA22","34","17","100.0%","100.0%","7.63","A- (3.75)","A- (3.92)"
"Laske, Gabi","SIO 15 - Natural Disasters (A)","FA22","349","117","96.6%","93.9%","4.01","A- (3.81)","A- (3.75)"
"Cook, Geoffrey W","SIO 170 - Volcanology (A)","FA22","21","9","100.0%","100.0%","5.00","B+ (3.50)","B+ (3.62)"
"Rudnick, Daniel Lars","SIO 171 - Intro to Physical Oceanography (A)","FA22","30","9","100.0%","100.0%","3.00","A- (3.75)","B+ (3.47)"
"Merrifield, Mark A","SIO 175 - Analysis Ocean/Atmosph Data (A)","FA22","31","4","100.0%","100.0%","9.50","A- (3.75)","B+ (3.64)"
"Martz, Todd R.","SIO 179 - Ocean Instruments and Sensors (B)","FA22","15","5","100.0%","100.0%","3.30","A (4.00)","N/A"
"Hamdoun, Amr","SIO 189 - Pollution, Environmnt & Health (A)","FA22","70","22","100.0%","90.5%","5.26","B+ (3.52)","B- (2.87)"
"Castillo, Paterno R.","SIO 30 - The Oceans (A)","FA22","125","49","63.8%","73.9%","3.72","B- (2.87)","B (3.04)"
"Fine, Elizabeth Coombs","SIO 30 - The Oceans (A)","FA22","125","49","63.8%","89.1%","3.72","B- (2.87)","B (3.04)"
"Barbeau, Katherine","SIO 40 - Life and Climate on Earth (A)","FA22","138","115","95.7%","95.7%","3.68","B+ (3.51)","B+ (3.47)"
"Cook, Geoffrey W","SIO 50 - Introduction Physical Geology (A)","FA22","40","21","100.0%","100.0%","3.83","A- (3.90)","B+ (3.68)"
"Cook, Geoffrey W","SIO 87 - First-year Seminar (A)","FA22","15","9","100.0%","100.0%","0.72","A (4.00)","N/A"
"Gilbert, Jack Anthony","SIO 87 - First-year Seminar (C)","FA22","12","4","100.0%","100.0%","1.00","B+ (3.67)","N/A"
"Gerwick, William Henry","SIO 87 - First-year Seminar (D)","FA22","15","6","100.0%","100.0%","1.70","A (4.00)","N/A"
"Chamberlain, Emelia Janthina","SIO 90 - Undergraduate Seminar (A)","FA22","57","22","100.0%","100.0%","1.50","A- (3.73)","N/A"
"Cook, Geoffrey W","SIO 10 - The Earth (A)","S222","65","24","100.0%","95.7%","3.89","A- (3.79)","B+ (3.66)"
"Forman, Fonna","SIO 109R - Bending/Curve: Climate Change (A)","S222","20","6","100.0%","100.0%","5.83","A- (3.83)","A- (3.71)"
"Kacev, David","SIO 187 - Stat Methods in Marine Biology (A)","S222","35","7","83.3%","83.3%","10.17","B+ (3.50)","B (3.07)"
