"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Skrentny, John David","SOCI 1 - Introduction to Sociology (A)","FA22","357","169","98.8%","99.4%","3.50","A- (3.74)","A- (3.94)"
"Estefan, Michel","SOCI 100 - Classical Sociological Theory (A)","FA22","118","103","99.0%","100.0%","4.75","A- (3.73)","B+ (3.59)"
"Gong, Neil M","SOCI 104 - Fld Res:Meth/Participnt Observ (A)","FA22","23","6","100.0%","100.0%","7.83","B+ (3.67)","B+ (3.38)"
"Rogers, Julia Ellen","SOCI 104Q - Qualitative Interviewing (A)","FA22","19","3","100.0%","100.0%","3.83","B+ (3.33)","N/A"
"Payne, Christine Anna","SOCI 106 - Comparative&Historical Methods (A)","FA22","31","7","100.0%","100.0%","5.50","B (3.29)","B+ (3.44)"
"Binder, Amy","SOCI 110 - Qualitative Res/Educ Settings (A)","FA22","24","8","100.0%","100.0%","7.50","B+ (3.38)","B- (2.92)"
"Chung, Luz Marina","SOCI 117 - Language, Culture & Education (A)","FA22","66","20","80.0%","100.0%","6.10","A- (3.90)","B+ (3.57)"
"Tirshfield, Jeffrey T","SOCI 120T - Spec Top/Cult,Lang&Soc Interac (B)","FA22","26","9","87.5%","100.0%","3.75","B (3.25)","B- (2.95)"
"Lewis, Kevin Michael","SOCI 122 - Social Networks (A)","FA22","113","43","95.2%","97.6%","4.07","B+ (3.59)","A- (3.97)"
"Tirshfield, Jeffrey T","SOCI 123 - Japanese Culture Inside/Out (A)","FA22","77","23","65.2%","73.9%","4.93","B+ (3.32)","B (3.01)"
"Sagnic, Sevin","SOCI 125 - Sociology of Immigration (A)","FA22","115","36","97.1%","97.1%","4.67","B+ (3.61)","B+ (3.47)"
"Calderon-Zaks, Michael Aar","SOCI 127 - Immigration, Race, & Ethnicity (A)","FA22","65","52","80.8%","84.6%","4.77","B+ (3.31)","N/A"
"Blair-Loy, Mary","SOCI 132 - Gender and Work (A)","FA22","69","14","100.0%","100.0%","5.73","B+ (3.69)","B (3.29)"
"Rogers, Julia Ellen","SOCI 136F - Soc/Mental Illness/Contemp Soc (A)","FA22","66","45","91.1%","77.8%","4.50","B+ (3.49)","B (3.29)"
"Navon, Daniel","SOCI 138 - Genetics and Society (A)","FA22","120","36","94.3%","100.0%","4.56","A- (3.89)","B+ (3.31)"
"Gong, Neil M","SOCI 140A - Defund Police and Prisons? (A)","FA22","68","22","100.0%","100.0%","3.68","A- (3.78)","B- (2.87)"
"Summers, Valerie R.","SOCI 141 - Crime And Society (A)","FA22","106","23","90.9%","90.9%","3.86","B+ (3.42)","B- (2.91)"
"Rona-Tas, Akos","SOCI 165 - Predicting the Future (A)","FA22","49","13","84.6%","100.0%","3.73","B+ (3.46)","B+ (3.48)"
"Hellman, Jacob","SOCI 166 - Sociology of Knowledge (A)","FA22","46","26","91.3%","87.0%","5.86","B+ (3.63)","B (3.18)"
"Turner, Christena L.","SOCI 176 - Transnational Japan Research (A)","FA22","40","5","100.0%","100.0%","7.30","B+ (3.40)","B (3.25)"
"Calderon-Zaks, Michael Aar","SOCI 180 - Social Movemnts&Social Protest (A)","FA22","54","39","86.8%","76.3%","3.94","B+ (3.67)","N/A"
"Potiker, Spencer Louis","SOCI 185 - Globalization & Social Develop (A)","FA22","37","17","100.0%","100.0%","6.15","B+ (3.59)","B (3.24)"
"Merritt, Seth Ray","SOCI 30 - Science, Technology & Society (A)","FA22","60","15","92.9%","100.0%","3.79","A- (3.93)","A- (3.80)"
"Payne, Christine Anna","SOCI 60 - Practice of Social Research (A)","FA22","123","38","97.2%","97.2%","4.94","A- (3.81)","A- (3.83)"
"Blair-Loy, Mary","SOCI 87 - Freshman Seminar (A)","FA22","11","4","100.0%","100.0%","1.50","N/A","N/A"
"Thorpe, Charles Robert","SOCI 1 - Introduction to Sociology (A)","S222","120","54","46.2%","53.8%","6.50","B (3.20)","B+ (3.30)"
"Payne, Christine Anna","SOCI 106 - Comparative&Historical Methods (A)","S222","35","6","100.0%","100.0%","5.83","A (4.00)","B+ (3.57)"
"Taskin Alp, Yasemin","SOCI 109 - Analysis of Sociological Data (A)","S222","13","10","80.0%","90.0%","5.50","B+ (3.67)","N/A"
"Pardo Guerra, Juan Pablo","SOCI 121R - Economy and Society (A)","S222","49","12","83.3%","100.0%","6.86","A- (3.73)","B+ (3.54)"
"Pardo Guerra, Juan Pablo","SOCI 136 - Data and Society (A)","S222","37","3","100.0%","100.0%","3.83","A (4.00)","A- (3.81)"
"Mayes, Elizabeth Carolina","SOCI 138 - Genetics and Society (A)","S222","34","10","100.0%","100.0%","2.94","A- (3.78)","A- (3.91)"
"Gonzalez Paz Paredes, Camila","SOCI 145 - Violence and Society (A)","S222","32","5","100.0%","100.0%","6.50","B+ (3.60)","B (3.19)"
"Ribeiro Fernandes Da Silva, Germano","SOCI 148 - Political Sociology (A)","S222","8","4","100.0%","100.0%","4.50","B (3.25)","N/A"
"Jules-Rosette, Bennetta W.","SOCI 157 - Religion/Contemporary Society (A)","S222","8","7","100.0%","100.0%","5.36","B+ (3.57)","N/A"
"Osoria, Ruby","SOCI 117 - Language, Culture & Education (A)","S122","18","6","83.3%","66.7%","5.50","A- (3.80)","N/A"
"Blair-Loy, Mary","SOCI 118 - Sociology of Gender (A)","S122","46","5","80.0%","100.0%","6.50","A (4.00)","B+ (3.30)"
"Blair-Loy, Mary","SOCI 132 - Gender and Work (A)","S122","45","6","80.0%","80.0%","4.50","A- (3.75)","B (3.24)"
"Payne, Christine Anna","SOCI 135 - Medical Sociology (A)","S122","30","6","100.0%","100.0%","4.83","A- (3.83)","A- (3.84)"
"Payne, Christine Anna","SOCI 160 - Sociology of Culture (A)","S122","53","10","100.0%","100.0%","6.30","A- (3.90)","B+ (3.60)"
"Ribeiro Fernandes Da Silva, Germano","SOCI 188D - Latin Amer: Society & Politics (A)","S122","12","6","100.0%","100.0%","5.30","B+ (3.60)","N/A"
"Raudenbush, Danielle","SOCI 2 - The Study of Society (A)","S122","64","10","100.0%","100.0%","7.25","A- (3.71)","B+ (3.53)"
"Raudenbush, Danielle","SOCI 40 - Sociology/Health Care Issues (A)","S122","65","6","100.0%","100.0%","4.50","B+ (3.67)","A- (3.74)"
"Lopez Ricoy, Ana Eugenia","SOCI 60 - Practice of Social Research (A)","S122","33","10","100.0%","100.0%","5.90","A- (3.80)","B+ (3.48)"
"Payne, Christine Anna","SOCI 100 - Classical Sociological Theory (A)","SP22","124","32","96.7%","96.7%","5.95","B+ (3.67)","B+ (3.62)"
"Rosen, Jennifer Lindsay","SOCI 103M - Computer Appl/Data Management (A)","SP22","29","10","100.0%","100.0%","4.50","A (4.00)","A- (3.90)"
"Rogers, Julia Ellen","SOCI 104Q - Qualitative Interviewing (A)","SP22","19","6","66.7%","83.3%","5.50","B+ (3.67)","N/A"
"Rosen, Jennifer Lindsay","SOCI 109 - Analysis of Sociological Data (A)","SP22","29","11","100.0%","100.0%","3.95","A- (3.82)","A- (3.73)"
"Lopez Ricoy, Ana Eugenia","SOCI 109M - Research Reporting (A)","SP22","29","7","100.0%","100.0%","7.64","A- (3.86)","A- (3.99)"
"Kenworthy, Lane A.","SOCI 10R - AmSociety:SocialStruct&Culture (A)","SP22","61","20","85.0%","90.0%","4.80","B+ (3.53)","B (3.12)"
"Taskin Alp, Yasemin","SOCI 110 - Qualitative Res/Educ Settings (A)","SP22","16","10","80.0%","90.0%","4.90","B+ (3.56)","N/A"
"Pitt, Richard Norris","SOCI 112 - Social Psychology (A)","SP22","70","62","96.8%","100.0%","4.98","B+ (3.52)","B (3.07)"
"Jones, Makeba","SOCI 117 - Language, Culture & Education (B)","SP22","130","39","97.2%","97.2%","5.33","A- (3.76)","B+ (3.70)"
"Rogers, Julia Ellen","SOCI 120 - Sociology Through Literature (A)","SP22","53","31","90.3%","90.3%","5.98","B+ (3.48)","B+ (3.48)"
"Tirshfield, Jeffrey T","SOCI 120T - Spec Top/Cult,Lang&Soc Interac (A)","SP22","36","13","76.9%","84.6%","5.27","B+ (3.33)","C+ (2.69)"
"Calderon-Zaks, Michael Aar","SOCI 127 - Immigration, Race, & Ethnicity (A)","SP22","82","72","94.4%","90.3%","4.22","A- (3.73)","A- (3.89)"
"Estefan, Michel","SOCI 140J - Sociology of Social Justice (A)","SP22","93","90","100.0%","100.0%","4.59","B+ (3.55)","B (3.21)"
"Summers, Valerie R.","SOCI 146 - Criminal Punishment (A)","SP22","125","40","94.4%","100.0%","3.06","B+ (3.36)","B+ (3.43)"
"Payne, Christine Anna","SOCI 148 - Political Sociology (A)","SP22","76","17","94.1%","100.0%","5.44","A- (3.76)","B+ (3.44)"
"Calderon-Zaks, Michael Aar","SOCI 151 - Social Movements (A)","SP22","65","51","94.0%","90.0%","3.52","A- (3.72)","A- (3.73)"
"Ostovany, Khashayar","SOCI 156 - Sociology of Religion (A)","SP22","56","22","76.2%","57.1%","4.32","A- (3.71)","B+ (3.60)"
"Estefan, Michel","SOCI 159 - Spec Top/Soc/Organztns&Institn (A)","SP22","72","69","100.0%","100.0%","4.21","B+ (3.69)","B+ (3.40)"
"Weinreb, Brad Allen","SOCI 159 - Spec Top/Soc/Organztns&Institn (B)","SP22","56","21","100.0%","100.0%","7.07","A- (3.81)","A- (3.77)"
"Fitzgerald, David S","SOCI 163 - Migration and the Law (A)","SP22","56","13","100.0%","100.0%","4.19","B+ (3.46)","B+ (3.34)"
"Rona-Tas, Akos","SOCI 165 - Predicting the Future (A)","SP22","67","22","100.0%","100.0%","5.00","B+ (3.68)","B+ (3.65)"
"Ostovany, Khashayar","SOCI 180 - Social Movemnts&Social Protest (A)","SP22","24","10","77.8%","77.8%","5.83","B+ (3.67)","B+ (3.67)"
"Sutton, April Marie","SOCI 183 - Geography/American Opportunity (A)","SP22","43","13","76.9%","76.9%","10.96","A- (3.75)","B (3.12)"
"Birberick, Brittany Celest","SOCI 187 - African Societies Through Film (A)","SP22","36","11","100.0%","100.0%","5.95","B+ (3.45)","B+ (3.50)"
"Pardo Guerra, Juan Pablo","SOCI 30 - Science, Technology & Society (A)","SP22","59","18","75.0%","87.5%","3.13","B+ (3.50)","B- (2.97)"
"Raudenbush, Danielle","SOCI 40 - Sociology/Health Care Issues (A)","SP22","141","49","97.9%","97.9%","3.67","A- (3.79)","B+ (3.52)"
"Sutton, April Marie","SOCI 60 - Practice of Social Research (A)","SP22","118","37","94.4%","97.1%","4.22","B+ (3.57)","B- (2.92)"
