"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Walsh, Kim C.","TDAC 1 - Introduction to Acting (A)","FA22","19","7","100.0%","100.0%","1.64","A (4.00)","N/A"
"Walsh, Kim C.","TDAC 1 - Introduction to Acting (B)","FA22","20","9","100.0%","100.0%","2.28","A (4.00)","N/A"
"Walsh, Kim C.","TDAC 1 - Introduction to Acting (C)","FA22","20","5","100.0%","100.0%","1.70","A (4.00)","A (4.00)"
"Walsh, Kim C.","TDAC 1 - Introduction to Acting (D)","FA22","22","11","100.0%","81.8%","2.50","A (4.00)","A (4.00)"
"Walsh, Kim C.","TDAC 1 - Introduction to Acting (E)","FA22","20","8","100.0%","100.0%","1.75","A (4.00)","A (4.00)"
"Walsh, Kim C.","TDAC 1 - Introduction to Acting (F)","FA22","22","9","100.0%","88.9%","2.06","A- (3.89)","A (4.00)"
"Walsh, Kim C.","TDAC 1 - Introduction to Acting (G)","FA22","20","9","100.0%","100.0%","2.00","A- (3.86)","A- (3.77)"
"Walsh, Kim C.","TDAC 1 - Introduction to Acting (H)","FA22","20","6","100.0%","100.0%","3.70","A (4.00)","A (4.00)"
"Walsh, Kim C.","TDAC 1 - Introduction to Acting (I)","FA22","20","8","100.0%","100.0%","3.00","A- (3.86)","A (4.00)"
"Harting, Carla Kelso","TDAC 101 - Acting I (A)","FA22","21","5","100.0%","100.0%","3.70","A (4.00)","B+ (3.63)"
"Salovey, Todd","TDAC 101 - Acting I (B)","FA22","19","5","100.0%","100.0%","2.50","A (4.00)","N/A"
"Walsh, Kim C.","TDAC 101 - Acting I (C)","FA22","20","6","100.0%","100.0%","3.17","A (4.00)","A- (3.98)"
"Basso, Beatrice","TDAC 102 - Acting II (A)","FA22","21","5","100.0%","100.0%","1.70","A (4.00)","A- (3.97)"
"Castro, Robert Jess","TDAC 103A - Acting Intensive I (A)","FA22","23","4","100.0%","66.7%","4.00","A (4.00)","A- (3.82)"
"Huynh, Michelle Vy","TDAC 108 - Advanced Topics (A)","FA22","23","5","100.0%","100.0%","3.70","A- (3.80)","N/A"
"Benzoni, Elisa","TDDE 1 - Intro/Design for the Theatre (A)","FA22","87","27","63.0%","81.5%","4.72","B+ (3.69)","B (3.22)"
"Petrovich, Victoria A.","TDDE 169A - Digital Rendering/Theater I (A)","FA22","20","5","100.0%","100.0%","4.50","A (4.00)","A- (3.70)"
"Snaith, Yolande","TDDM 1 - Introduction to Dance Making (A)","FA22","30","17","94.1%","93.8%","1.79","A (4.00)","A- (3.94)"
"Smith, Alison D","TDDM 5 - Site Specific Dance & Perform (A)","FA22","30","11","100.0%","100.0%","2.14","A (4.00)","A (4.00)"
"Powell, Lora","TDDR 101 - Stage Management (A)","FA22","37","4","100.0%","100.0%","3.00","B+ (3.50)","A- (3.74)"
"Stalling, Vanessa","TDDR 111 - Directing - Acting Process (A)","FA22","28","3","100.0%","100.0%","4.50","A (4.00)","A- (3.84)"
"Salovey, Todd","TDGE 1 - Introduction to Theatre (A)","FA22","121","60","96.6%","98.3%","2.43","A- (3.91)","A- (3.91)"
"Havis, Allan","TDGE 10 - Theatre and Film (A)","FA22","191","60","93.2%","96.6%","2.40","B+ (3.69)","B+ (3.45)"
"Leadbetter, Kristin","TDGE 11 - Great Performances on Film (A)","FA22","193","85","78.8%","78.6%","2.08","B+ (3.49)","B (3.20)"
"Havis, Allan","TDGE 127 - The Films of Spike Lee (A)","FA22","195","62","98.3%","96.6%","2.27","A- (3.83)","A- (3.71)"
"Harting, Carla Kelso","TDGE 25 - Public Speaking (A)","FA22","20","6","100.0%","100.0%","2.83","B+ (3.67)","A- (3.71)"
"Harting, Carla Kelso","TDGE 25 - Public Speaking (B)","FA22","17","8","100.0%","100.0%","3.25","A- (3.86)","N/A"
"Harting, Carla Kelso","TDGE 25 - Public Speaking (C)","FA22","20","4","100.0%","100.0%","2.50","A- (3.75)","A- (3.98)"
