"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Kwak, Nancy","USP 1 - History/US Urban Communities (A)","FA22","125","37","100.0%","100.0%","4.33","A- (3.85)","A- (3.87)"
"Bussell, Mirle Rabinowitz","USP 124 - Land Use Planning (A)","FA22","71","24","95.0%","95.0%","5.07","A- (3.71)","B (3.25)"
"Shilon, Mor","USP 125 - The Design of Social Research (A)","FA22","20","11","81.8%","90.9%","3.23","B+ (3.40)","B (3.17)"
"Devereux, Christina Schopp","USP 136 - Community Organizing (A)","FA22","17","9","100.0%","100.0%","4.25","A- (3.86)","N/A"
"Chowdhury, Muhammed Zohir","USP 144 - Environ/Prevent Health Issues (A)","FA22","138","89","79.5%","80.7%","4.95","B+ (3.55)","B (3.14)"
"Anderson, William Raymond","USP 15 - Urban Econ/Plan&Development (A)","FA22","54","13","69.2%","61.5%","3.73","B+ (3.62)","B (3.08)"
"Boomhower, Matthew Charles","USP 151 - Real Estate Plan & Development (A)","FA22","33","16","100.0%","100.0%","4.90","A- (3.93)","A- (3.72)"
"Moeder, Nathan L","USP 152 - Real Estate/Dev Finance&Invest (A)","FA22","20","4","100.0%","100.0%","6.50","B+ (3.50)","B+ (3.40)"
"Moden, Kelly Kjestine","USP 153 - Real Estate&DevMarket Analysis (A)","FA22","47","15","86.7%","73.3%","6.37","B+ (3.33)","B- (2.85)"
"Wartell, Julie Dara","USP 161 - Environ Design & Crime Prevent (A)","FA22","24","4","100.0%","100.0%","4.50","A (4.00)","B (3.14)"
"Bajaj, Ravi Siddharth","USP 169 - Intro to Green Building (A)","FA22","21","3","100.0%","100.0%","1.50","A (4.00)","B+ (3.58)"
"Hinds, Juli Beth","USP 170 - Planning for Sustainable Comm (A)","FA22","37","10","100.0%","100.0%","3.90","A- (3.90)","B+ (3.39)"
"Lerner, Amy M","USP 171 - Sustainable Development (A)","FA22","46","12","90.9%","81.8%","8.17","B+ (3.33)","B (3.10)"
"Herzog, Lawrence","USP 176 - Plan&Dev: U.S.-Mexico Border (A)","FA22","22","4","100.0%","100.0%","5.00","A- (3.75)","B+ (3.43)"
"Peerson, Susan","USP 177A - Urban Design Practicum (A)","FA22","25","6","100.0%","100.0%","5.50","B+ (3.67)","B+ (3.62)"
"Shvartzberg Carrio, Manuel","USP 184 - Decolonizing Design (A)","FA22","25","10","88.9%","100.0%","5.61","A (4.00)","A (4.00)"
"Norr, Alex Vaughn","USP 185A - Real Estate Fin/Dev Studio I (A)","FA22","29","5","80.0%","100.0%","15.30","B+ (3.40)","B+ (3.37)"
"Boomhower, Matthew Charles","USP 185A - Real Estate Fin/Dev Studio I (B)","FA22","27","8","87.5%","100.0%","17.00","B+ (3.50)","B (3.27)"
"Pezzoli, Keith","USP 186 - Senior Sequence Resrch Proposl (A)","FA22","46","7","83.3%","66.7%","5.83","B+ (3.67)","B+ (3.35)"
"Rothberg, Scott Jacob","USP 191A - Int. GIS for Urban & Comm Plan (A)","FA22","15","3","100.0%","100.0%","6.50","A (4.00)","N/A"
"Lerner, Amy M","USP 2 - Urban World System (A)","FA22","58","16","86.7%","100.0%","3.50","B+ (3.53)","B (3.17)"
"Shenkman, Michael Thomas","USP 25 - Real Estate/Principle&Analysis (A)","FA22","69","49","98.0%","95.8%","5.64","B+ (3.55)","B (3.02)"
"Polat, Soydan Alihan","USP 4 - Intro/Geographic Info Systems (A)","FA22","25","10","88.9%","88.9%","4.50","B+ (3.67)","A- (3.75)"
"McTague, Sarah","USP 4 - Intro/Geographic Info Systems (B)","FA22","26","5","100.0%","100.0%","4.90","A (4.00)","B+ (3.45)"
