"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Yaksh, Tony L.","WARR 87 - First-year Seminar (A)","SP22","11","9","88.9%","77.8%","1.50","N/A","N/A"
"Radic, Zoran","WARR 87 - Freshman Seminar (A)","WI22","6","5","100.0%","100.0%","1.30","A (4.00)","N/A"
"Abrajano, Marisa","WARR 101 - Career Dev&Financial Lit (A)","SP21","23","5","60.0%","80.0%","0.90","A (4.00)","N/A"
"Yuan, Jason Xiao-Jian","WARR 87 - Freshman Seminar (A)","SP21","13","8","87.5%","87.5%","1.07","A (4.00)","N/A"
"Abrajano, Marisa","WARR 2 - Transfer Year Experience (A)","WI21","38","15","92.9%","85.7%","3.21","A- (3.83)","N/A"
"McCleary, Keith Long","WCWP 100 - Academic Writing (A)","WI21","18","17","100.0%","100.0%","7.56","B+ (3.50)","N/A"
"McCleary, Keith Long","WCWP 100 - Academic Writing (B)","WI21","19","19","94.4%","100.0%","7.34","B+ (3.39)","N/A"
"McCleary, Keith Long","WCWP 100 - Academic Writing (C)","WI21","20","19","94.7%","94.7%","7.34","B+ (3.32)","B+ (3.43)"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (D)","WI21","18","13","100.0%","100.0%","5.27","A- (3.82)","N/A"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (E)","WI21","19","12","100.0%","100.0%","6.50","B+ (3.60)","N/A"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (F)","WI21","17","11","90.9%","100.0%","6.32","B+ (3.60)","N/A"
"Young, Mark T","WCWP 100 - Academic Writing (G)","WI21","20","5","100.0%","100.0%","8.10","A- (3.75)","B+ (3.49)"
"Young, Mark T","WCWP 100 - Academic Writing (H)","WI21","20","10","66.7%","88.9%","3.70","A- (3.88)","B+ (3.68)"
"Young, Mark T","WCWP 100 - Academic Writing (I)","WI21","19","6","100.0%","100.0%","6.10","B+ (3.50)","N/A"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (0)","WI21","240","107","90.6%","90.4%","5.90","B+ (3.44)","B (3.27)"
"Gagnon, Jeffrey C","WCWP 10B - The Writing Course B (0)","WI21","472","250","85.2%","94.7%","4.99","B+ (3.48)","B+ (3.55)"
"Tanaka, Stefan A.","WARR 2 - Transfer Year Experience (A)","FA20","48","25","84.0%","83.3%","1.06","A (4.00)","N/A"
"Yuan, Jason Xiao-Jian","WARR 87 - Freshman Seminar (A)","FA20","14","11","81.8%","90.9%","1.23","A (4.00)","N/A"
"McCleary, Keith Long","WCWP 100 - Academic Writing (A)","FA20","20","19","84.2%","100.0%","7.83","B (3.17)","B+ (3.41)"
"McCleary, Keith Long","WCWP 100 - Academic Writing (B)","FA20","19","18","94.4%","100.0%","5.61","B (3.22)","N/A"
"McCleary, Keith Long","WCWP 100 - Academic Writing (C)","FA20","20","20","85.0%","95.0%","7.40","B+ (3.40)","B+ (3.46)"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (D)","FA20","19","9","100.0%","100.0%","6.06","A- (3.78)","N/A"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (E)","FA20","19","11","90.9%","100.0%","6.14","A- (3.73)","N/A"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (F)","FA20","18","5","100.0%","100.0%","6.10","B+ (3.40)","N/A"
"Young, Mark T","WCWP 100 - Academic Writing (G)","FA20","20","9","77.8%","88.9%","8.06","A- (3.78)","B+ (3.45)"
"Young, Mark T","WCWP 100 - Academic Writing (H)","FA20","20","9","66.7%","88.9%","6.06","B+ (3.56)","B+ (3.33)"
"Young, Mark T","WCWP 100 - Academic Writing (I)","FA20","19","13","92.3%","92.3%","7.12","B+ (3.62)","N/A"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (0)","FA20","686","420","83.5%","95.2%","5.28","B+ (3.37)","B+ (3.40)"
"Gagnon, Jeffrey C","WCWP 10B - The Writing Course B (0)","FA20","60","17","94.1%","100.0%","6.62","B (3.29)","B+ (3.45)"
"Zimmerman-Liu, Teresa Jean","WCWP 10A - The Writing Course A (A)","S320","12","3","100.0%","100.0%","5.17","A (4.00)","N/A"
"McCleary, Keith Long","WCWP 100 - Academic Writing (A)","S220","11","9","100.0%","100.0%","10.28","B (3.22)","N/A"
"Gagnon, Jeffrey C","WCWP 100 - Academic Writing (B)","S220","14","3","100.0%","100.0%","6.50","B+ (3.67)","N/A"
"Young, Mark T","WCWP 100 - Academic Writing (C)","S220","15","3","66.7%","66.7%","9.17","B+ (3.33)","N/A"
"Kolodezh, Samuel","WCWP 10B - The Writing Course B (A)","S220","13","5","80.0%","100.0%","8.10","A (4.00)","N/A"
"Iatarola, Briana Marie","WCWP 10B - The Writing Course B (B)","S220","14","3","100.0%","100.0%","9.17","B+ (3.67)","N/A"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (A)","S120","16","10","90.0%","90.0%","9.10","B+ (3.60)","N/A"
"Young, Mark T","WCWP 100 - Academic Writing (B)","S120","14","3","100.0%","100.0%","9.83","B+ (3.33)","N/A"
"McCleary, Keith Long","WCWP 100 - Academic Writing (C)","S120","11","10","80.0%","100.0%","11.10","B+ (3.40)","N/A"
"Jones, Aundrey Maurice","WCWP 10B - The Writing Course B (B)","S120","16","4","50.0%","50.0%","10.00","A- (3.75)","N/A"
"Tocki, Jasmine Rae","WCWP 10B - The Writing Course B (C)","S120","15","3","100.0%","100.0%","3.83","B (3.00)","N/A"
"McCleary, Keith Long","WCWP 100 - Academic Writing (A)","SP20","19","18","88.9%","94.4%","8.06","B (3.21)","N/A"
"McCleary, Keith Long","WCWP 100 - Academic Writing (B)","SP20","19","19","84.2%","94.7%","6.50","B+ (3.50)","N/A"
