"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Fortier, Jana","ANAR 100 - Spec Topics/Anth Archaeology (A)","FA22","20","3","100.0%","100.0%","3.17","B+ (3.33)","B+ (3.30)"
"Smith, Neil Gordon","ANAR 104 - Intro GIS for Anth & Arch (A)","FA22","16","4","100.0%","100.0%","4.00","A (4.00)","N/A"
"Jones, Ian William Nasser","ANAR 120 - Documenting Climate Change (A)","FA22","16","3","100.0%","100.0%","6.50","B+ (3.67)","N/A"
"Goldstein, Paul S","ANAR 143 - Biblical Arch- Fact or Fiction (A)","FA22","25","8","100.0%","100.0%","1.36","A- (3.86)","A- (3.85)"
"Marchetto, Maria Carolina","ANBI 100 - Special Topic/Biological Anth (A)","FA22","30","14","100.0%","100.0%","1.93","A (4.00)","A- (3.99)"
"Marchetto, Maria Carolina","ANBI 112 - Methods in Human Neuroscience (A)","FA22","15","6","100.0%","100.0%","4.50","B+ (3.67)","N/A"
"Hrvoj Mihic, Branka","ANBI 112 - Methods in Human Neuroscience (B)","FA22","16","4","75.0%","75.0%","4.00","A- (3.75)","N/A"
"Semendeferi, Ekaterini","ANBI 136 - Human Comparative Neuroanatomy (A)","FA22","18","7","85.7%","100.0%","6.50","B (3.14)","N/A"
"Gagneux, Pascal","ANBI 141 - The Evolution of Human Diet (A)","FA22","186","69","98.5%","100.0%","3.76","B+ (3.70)","B+ (3.66)"
"Hrvoj Mihic, Branka","ANBI 145 - Bioarchaeology (A)","FA22","20","4","75.0%","100.0%","4.50","B+ (3.33)","B- (2.84)"
"Hrvoj Mihic, Branka","ANBI 175 - Evidence for Early Ancestors (A)","FA22","18","3","100.0%","100.0%","5.17","A (4.00)","N/A"
"Yeh, Rihan Wen Xin","ANSC 104 - The US-Mexico Border (A)","FA22","42","10","90.0%","100.0%","5.90","B+ (3.63)","C- (1.70)"
"Olivas Hernandez, Olga Lid","ANSC 105 - Global Health and Inequality (A)","FA22","41","14","92.3%","92.3%","3.27","A- (3.75)","B+ (3.70)"
"Jassal, Aftab","ANSC 120 - Religion and Culture (A)","FA22","38","21","90.5%","85.0%","3.93","B+ (3.60)","A (4.00)"
"Sloane, Julia Kathryn","ANSC 121 - Psychological Anthropology (A)","FA22","31","8","100.0%","100.0%","3.25","B+ (3.63)","B+ (3.55)"
"Wilson, Brenda K","ANSC 148 - Global Health&Cultrl Diversity (A)","FA22","31","23","82.6%","78.3%","4.33","B (3.22)","B+ (3.33)"
"Fortier, Jana","ANSC 169 - Culture & Envr/Resrch Sem/Prac (A)","FA22","19","4","75.0%","75.0%","6.50","A (4.00)","N/A"
"Pedersen, David","ANSC 175 - Beyond Capitalism (A)","FA22","36","8","85.7%","100.0%","4.21","A- (3.71)","A- (3.87)"
"Varma, Saiba","ANTH 1 - Introduction to Culture (A)","FA22","157","78","98.7%","100.0%","2.68","A- (3.92)","B+ (3.69)"
