"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Opatkiewicz, Justin Paul","CENG 101A - Introductory Fluid Mechanics (A)","WI21","42","39","97.4%","100.0%","8.91","B (3.06)","B+ (3.37)"
"Liu, Ping","CENG 101B - Heat Transfer (A)","WI21","26","24","87.5%","62.5%","7.92","B- (2.87)","B- (2.83)"
"Liu, Ping","CENG 101B - Heat Transfer (B)","WI21","90","80","81.3%","63.8%","8.95","B (3.12)","B (3.05)"
"Powell, Alyssa","CENG 102 - Chemical Engin Thermodynamics (A)","WI21","61","54","87.0%","88.9%","9.50","B (3.12)","B (3.02)"
"Shah, Nisarg","CENG 102 - Chemical Engin Thermodynamics (B)","WI21","41","38","84.2%","81.6%","7.13","B- (2.97)","B- (2.91)"
"Drews, Aaron","CENG 114 - Prob and Stat Methods for Eng (A)","WI21","97","92","98.9%","100.0%","5.49","A- (3.70)","A- (3.89)"
"Jahed Motlagh, Zeinab","CENG 114 - Prob and Stat Methods for Eng (B)","WI21","41","36","100.0%","100.0%","6.83","B+ (3.47)","B+ (3.51)"
"Powell, Alyssa","CENG 124A - Chem Plant & Process Design I (A)","WI21","54","44","93.2%","100.0%","7.77","B+ (3.64)","A- (3.77)"
"Russ, Benjamin Edward","CENG 124A - Chem Plant & Process Design I (B)","WI21","49","38","92.1%","91.9%","8.92","B+ (3.57)","B+ (3.66)"
"Pokorski, Jonathan Kyle","CENG 134 - Polymeric Materials (A)","WI21","34","21","90.5%","100.0%","5.93","B+ (3.30)","B+ (3.53)"
"Yang, Kesong","CENG 15 - Engin. Comp Using MATLAB (A)","WI21","18","17","94.1%","88.2%","6.38","B+ (3.53)","N/A"
"Yang, Kesong","CENG 15 - Engin. Comp Using MATLAB (B)","WI21","8","5","100.0%","100.0%","6.10","B+ (3.40)","N/A"
"Drews, Aaron","CENG 15R - Eng Comp Using MATLAB Online (A)","WI21","6","6","83.3%","100.0%","7.50","B (3.20)","N/A"
"Steinmetz, Nicole F","CENG 175 - NanoEngineering in Medicine (A)","WI21","26","17","100.0%","94.1%","3.68","A- (3.75)","A- (3.70)"
"Opatkiewicz, Justin Paul","CENG 176A - Chem Engineerng Process Lab I (A)","WI21","63","47","93.2%","95.5%","10.00","B+ (3.57)","A- (3.84)"
"Zhang, Liangfang","CENG 176A - Chem Engineerng Process Lab I (B)","WI21","39","23","86.4%","81.8%","11.77","B+ (3.55)","B+ (3.67)"
"Chen, Zheng","CENG 100 - Material and Energy Balances (C)","FA20","36","26","84.0%","68.0%","7.70","B (3.16)","B (3.11)"
"Chen, Zheng","CENG 100 - Material and Energy Balances (D)","FA20","57","42","87.5%","72.5%","7.95","B (3.05)","B (3.26)"
"Bae, Jinhye","CENG 101A - Introductory Fluid Mechanics (C)","FA20","97","79","83.1%","74.0%","11.24","B (3.13)","B (3.05)"
"Bae, Jinhye","CENG 101A - Introductory Fluid Mechanics (D)","FA20","89","80","76.3%","85.0%","10.80","B+ (3.33)","B (3.13)"
"Opatkiewicz, Justin Paul","CENG 120 - Chemical Process Dynmics&Cntrl (C)","FA20","99","98","91.8%","95.9%","10.62","B+ (3.36)","B+ (3.56)"
"Powell, Alyssa","CENG 122 - Separation Processes (C)","FA20","38","31","100.0%","100.0%","9.50","B+ (3.33)","B+ (3.44)"
"Powell, Alyssa","CENG 122 - Separation Processes (D)","FA20","65","51","95.8%","100.0%","9.32","B+ (3.59)","B+ (3.54)"
"Lubarda, Vlado","CENG 15 - Engin. Comp Using MATLAB (A)","FA20","78","46","93.3%","95.3%","4.90","B+ (3.51)","B+ (3.41)"
"Lubarda, Vlado","CENG 15 - Engin. Comp Using MATLAB (B)","FA20","39","23","90.9%","81.8%","4.50","A- (3.77)","B+ (3.59)"
"Drews, Aaron","CENG 4 - Experience Chemical Eng (A)","FA20","120","73","98.6%","100.0%","1.50","A (4.00)","N/A"
"Horvath, Stephen","CENG 4 - Experience Chemical Eng (B)","FA20","9","4","100.0%","100.0%","0.50","A (4.00)","N/A"
"Opatkiewicz, Justin Paul","CENG 100 - Material and Energy Balances (A)","S120","17","17","93.8%","93.8%","8.26","B+ (3.35)","N/A"
"Opatkiewicz, Justin Paul","CENG 101C - Mass Transfer (A)","SP20","89","75","96.0%","100.0%","8.79","B+ (3.61)","B+ (3.69)"
"Shah, Nisarg","CENG 101C - Mass Transfer (B)","SP20","14","13","100.0%","92.3%","10.81","B+ (3.38)","N/A"
"Chen, Zheng","CENG 113 - Chemical Reaction Engineering (A)","SP20","48","31","80.6%","74.2%","8.31","B+ (3.32)","B (3.23)"
"Drews, Aaron","CENG 113 - Chemical Reaction Engineering (B)","SP20","101","67","97.0%","100.0%","9.29","B+ (3.51)","B+ (3.62)"
"Powell, Alyssa","CENG 124B - Chem Plant & Process Design II (A)","SP20","103","59","91.5%","94.9%","6.19","B+ (3.67)","A- (3.80)"
"Russ, Benjamin Edward","CENG 124B - Chem Plant & Process Design II (A)","SP20","103","59","91.5%","98.3%","6.19","B+ (3.67)","A- (3.80)"
"Bae, Jinhye","CENG 134 - Polymeric Materials (A)","SP20","24","24","95.8%","87.5%","6.00","B+ (3.48)","A- (3.75)"
"Steinmetz, Nicole F","CENG 175 - NanoEngineering in Medicine (A)","SP20","10","5","100.0%","100.0%","4.50","A- (3.75)","N/A"
"Drews, Aaron","CENG 176B - Chem Engineerng Process Lab II (A)","SP20","60","30","89.7%","96.6%","8.98","B (3.29)","B+ (3.48)"
"Opatkiewicz, Justin Paul","CENG 176B - Chem Engineerng Process Lab II (B)","SP20","43","16","93.8%","93.8%","6.13","B+ (3.46)","B+ (3.44)"
"Liu, Ping","CENG 101B - Heat Transfer (A)","WI20","62","47","90.9%","88.6%","8.94","B- (2.98)","B (3.03)"
"Lubarda, Vlado","CENG 101B - Heat Transfer (B)","WI20","46","32","93.5%","100.0%","6.44","B+ (3.50)","A- (3.75)"
"Shah, Nisarg","CENG 102 - Chemical Engin Thermodynamics (A)","WI20","48","45","95.6%","86.7%","7.82","B (3.27)","B (3.26)"
"Powell, Alyssa","CENG 102 - Chemical Engin Thermodynamics (B)","WI20","100","98","91.8%","96.9%","8.66","B (3.15)","B+ (3.32)"
"Opatkiewicz, Justin Paul","CENG 114 - Prob and Stat Methods for Eng (A)","WI20","98","93","84.9%","95.7%","6.93","B (3.26)","B+ (3.37)"
"Powell, Alyssa","CENG 124A - Chem Plant & Process Design I (A)","WI20","105","50","88.0%","94.0%","7.10","B+ (3.46)","A- (3.77)"
"Russ, Benjamin Edward","CENG 124A - Chem Plant & Process Design I (A)","WI20","105","49","87.8%","95.9%","7.15","B+ (3.45)","A- (3.77)"
"Pokorski, Jonathan Kyle","CENG 134 - Polymeric Materials (A)","WI20","22","12","90.9%","100.0%","4.83","B+ (3.42)","B+ (3.38)"
"Lubarda, Vlado","CENG 15 - Engin. Comp Using MATLAB (A)","WI20","25","15","86.7%","93.3%","4.23","B+ (3.67)","A- (3.75)"
"Opatkiewicz, Justin Paul","CENG 157 - Process Tech in Semiconductor (A)","WI20","27","15","100.0%","100.0%","5.17","B+ (3.53)","A- (3.80)"
"Drews, Aaron","CENG 176A - Chem Engineerng Process Lab I (A)","WI20","60","22","90.9%","95.5%","9.41","B+ (3.55)","A- (3.77)"
"Zhang, Liangfang","CENG 176A - Chem Engineerng Process Lab I (B)","WI20","42","17","93.3%","100.0%","8.90","A- (3.80)","B+ (3.65)"
"Chen, Zheng","CENG 100 - Material and Energy Balances (A)","FA19","68","57","98.2%","89.5%","7.03","B (3.21)","B- (2.99)"
"Powell, Alyssa","CENG 100 - Material and Energy Balances (B)","FA19","48","29","100.0%","96.6%","6.36","B+ (3.41)","B (3.20)"
"Powell, Alyssa","CENG 100 - Material and Energy Balances (C)","FA19","30","21","85.7%","100.0%","6.79","B (3.14)","B- (2.90)"
"Miller, David R.","CENG 101A - Introductory Fluid Mechanics (A)","FA19","149","90","74.7%","69.0%","12.22","B (3.25)","B- (2.93)"
"Bae, Jinhye","CENG 101A - Introductory Fluid Mechanics (B)","FA19","38","34","76.5%","91.2%","11.26","B (3.09)","B (3.02)"
"Opatkiewicz, Justin Paul","CENG 120 - Chemical Process Dynmics&Cntrl (A)","FA19","69","65","92.3%","98.5%","8.65","B (3.13)","B (3.07)"
"Russ, Benjamin Edward","CENG 120 - Chemical Process Dynmics&Cntrl (B)","FA19","36","34","73.5%","72.7%","7.32","B (3.12)","B (3.16)"
"Opatkiewicz, Justin Paul","CENG 122 - Separation Processes (A)","FA19","66","63","95.2%","98.4%","8.12","B (3.25)","B (3.09)"
"Powell, Alyssa","CENG 122 - Separation Processes (B)","FA19","38","29","92.9%","100.0%","9.81","B (3.17)","B (3.06)"
"Yang, Kesong","CENG 15 - Engin. Comp Using MATLAB (A)","FA19","36","32","96.9%","90.3%","4.38","B+ (3.41)","B- (2.84)"
"Yang, Kesong","CENG 15 - Engin. Comp Using MATLAB (B)","FA19","60","53","83.0%","83.0%","4.95","B+ (3.55)","B (3.05)"
"Drews, Aaron","CENG 15R - Eng Comp Using MATLAB Online (A)","FA19","11","10","90.0%","100.0%","6.70","B+ (3.50)","N/A"
"Drews, Aaron","CENG 4 - Experience Chemical Eng (A)","FA19","83","50","95.9%","100.0%","0.83","A (4.00)","N/A"
"Horvath, Stephen","CENG 4 - Experience Chemical Eng (B)","FA19","52","27","92.3%","96.2%","0.65","A (4.00)","N/A"
"Talbot, Jan B","CENG 101B - Heat Transfer (A)","WI13","130","57","94.5%","76.4%","7.31","B+ (3.40)","B- (2.88)"
"Opatkiewicz, Justin Paul","CENG 102 - Chemical Engin Thermodynamics (A)","WI13","155","152","95.4%","98.7%","8.57","B+ (3.37)","B+ (3.39)"
"Herz, Richard K","CENG 124A - Chem Plant & Process Design I (A)","WI13","81","25","83.3%","62.5%","9.37","B+ (3.57)","B+ (3.43)"
"Opatkiewicz, Justin Paul","CENG 176A - Chem Engineerng Process Lab I (A)","WI13","79","24","95.8%","87.5%","10.07","B+ (3.65)","B+ (3.55)"
"Talbot, Jan B","CENG 176A - Chem Engineerng Process Lab I (A)","WI13","79","23","91.3%","60.9%","9.80","B+ (3.50)","B+ (3.55)"
"Zhang, Liangfang","CENG 176A - Chem Engineerng Process Lab I (A)","WI13","79","23","91.3%","95.7%","9.86","B+ (3.62)","B+ (3.55)"
"Talbot, Jan B","CENG 1 - Scope of Chemical Engineering (A)","FA12","244","111","92.6%","94.7%","1.00","A- (3.91)","N/A"
"Opatkiewicz, Justin Paul","CENG 100 - Process Modl&Computn/Chem Engn (A)","FA12","224","192","89.5%","97.4%","8.50","B (3.15)","B (3.04)"
"Williams, Ebonee P.","CENG 100 - Process Modl&Computn/Chem Engn (A)","FA12","224","191","88.4%","32.8%","8.37","B (3.14)","B (3.04)"
"Miller, David R.","CENG 101A - Introductory Fluid Mechanics (A)","FA12","225","87","70.5%","73.1%","12.50","B (3.23)","B- (2.89)"
"Opatkiewicz, Justin Paul","CENG 101A - Introductory Fluid Mechanics (A)","FA12","225","87","71.1%","95.2%","12.45","B (3.23)","B- (2.89)"
"Herz, Richard K","CENG 120 - Chemical Process Dynmics&Cntrl (A)","FA12","78","29","78.3%","43.5%","7.37","B- (2.91)","B (3.07)"
"Zhang, Liangfang","CENG 122 - Separation Processes (A)","FA12","83","28","96.3%","96.3%","5.50","B+ (3.50)","B (3.20)"
"Arya, Gaurav","CENG 101C  - Mass Transfer                  (A)","SP12","85","28","100.0%","92.9%","6.71","B+ (3.68)","B+ (3.33)"
"Herz, Richard K","CENG 113   - Chemical Reaction Engineering  (A)","SP12","111","40","82.1%","57.9%","8.14","B+ (3.39)","B (3.14)"
"Chau, Pao C.","CENG 124B  - Chem Plant & Process Design II (A)","SP12","64","12","66.7%","58.3%","10.00","B+ (3.67)","B+ (3.42)"
"Chau, Pao C.","CENG 176B  - Chem Engineerng Process Lab II (A)","SP12","63","11","77.8%","60.0%","9.30","B+ (3.36)","B+ (3.44)"
"Talbot, Jan B","CENG 176B  - Chem Engineerng Process Lab II (A)","SP12","63","11","80.0%","81.8%","9.05","B+ (3.36)","B+ (3.44)"
