"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Perez, Roy","CGS 100A - Conceptualizing Gndr: Theories (A)","FA22","34","14","100.0%","100.0%","4.21","B+ (3.69)","N/A"
"Whitley, Leila Marie","CGS 101 - Gender & Globalization (A)","FA22","31","11","100.0%","100.0%","4.90","B+ (3.40)","B+ (3.56)"
"Whitley, Leila Marie","CGS 106 - Gender & the Law (A)","FA22","39","17","100.0%","100.0%","4.15","A- (3.81)","A (4.00)"
"Nguyen, Hoang Tan","CGS 119 - Asian American Film and Media (A)","FA22","29","13","100.0%","100.0%","4.17","B+ (3.58)","A (4.00)"
"Martin Sandino, Amanda Maria Yoland","CGS 121 - Topics:Critical Gender Studies (B)","FA22","10","9","100.0%","100.0%","3.83","A (4.00)","N/A"
"Whitley, Leila Marie","CGS 127 - Feminist Border Studies (A)","FA22","17","5","100.0%","100.0%","6.50","A (4.00)","N/A"
"Martin Sandino, Amanda Maria Yoland","CGS 130 - Queer Performativity (B)","FA22","19","17","100.0%","100.0%","3.09","A- (3.94)","N/A"
"Beardsley, Steven Thomas","CGS 187 - Latinx Sexualities (A)","FA22","18","6","100.0%","100.0%","4.83","A- (3.83)","N/A"
"Martin Sandino, Amanda Maria Yoland","CGS 2A - Intro/CGS: Key Terms, Concepts (A)","FA22","98","63","96.8%","96.8%","3.36","A- (3.80)","B+ (3.50)"
"Huang, Ningning","CGS 105 - Queer Theory (A)","S222","33","13","92.3%","84.6%","4.35","A- (3.85)","B+ (3.54)"
"Murray, Katherine Chelsea","CGS 106 - Gender & the Law (A)","S222","13","5","100.0%","100.0%","6.50","A (4.00)","N/A"
"Beardsley, Steven Thomas","CGS 119 - Asian American Film and Media (A)","S222","10","8","100.0%","100.0%","4.50","A (4.00)","N/A"
"Halajian, Shoghig Maggie","CGS 120 - Capitalism & Gender (A)","S222","17","4","75.0%","100.0%","3.00","A (4.00)","N/A"
"Doermann, Hannah Friederike","CGS 112 - Sexuality & Nation (A)","S122","8","3","100.0%","100.0%","4.50","B+ (3.67)","N/A"
"Cuong, Marisol","CGS 114 - Gender,Race,Ethnicity & Class (A)","S122","14","3","100.0%","100.0%","1.50","A (4.00)","N/A"
"Gushiken, Gregory Seiichi Pom","CGS 2A - Intro/CGS: Key Terms, Concepts (A)","S122","28","7","100.0%","100.0%","2.50","A (4.00)","A (4.00)"
"Whitley, Leila Marie","CGS 100B - Conceptualizing Gndr: Methods (A)","SP22","28","12","100.0%","100.0%","4.33","A (4.00)","A- (3.80)"
"Martin Sandino, Amanda Maria Yoland","CGS 112 - Sexuality & Nation (A)","SP22","29","19","100.0%","100.0%","3.03","A- (3.94)","A- (3.98)"
"Shelby, Karen Lee","CGS 114 - Gender,Race,Ethnicity & Class (A)","SP22","22","5","100.0%","100.0%","4.10","B+ (3.50)","B+ (3.52)"
"Gavin, Camila Andrea","CGS 137 - Latina Issues & Cultural Prod. (A)","SP22","18","6","100.0%","100.0%","2.83","A (4.00)","N/A"
"Whitley, Leila Marie","CGS 2B - Intro/CGS:Social Formations (A)","SP22","48","26","100.0%","100.0%","3.50","A- (3.96)","A- (3.73)"
"Whitley, Leila Marie","CGS 105 - Queer Theory (A)","WI22","53","23","100.0%","100.0%","3.80","A- (3.75)","A- (3.73)"
"Werner, Bradley T.","CGS 110 - Struggles for Environ. Justice (A)","WI22","13","6","100.0%","100.0%","6.50","A- (3.83)","N/A"
"Martin Sandino, Amanda Maria Yoland","CGS 111 - Gender and the Body (A)","WI22","51","30","83.3%","82.8%","4.57","A- (3.86)","B+ (3.56)"
"Hankins, Joseph D.","CGS 118 - Gender and Incarceration (A)","WI22","24","8","87.5%","100.0%","4.50","A- (3.75)","B+ (3.52)"
