"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Tiefenbruck, Janine LoBue","DSC 10 - Principles of Data Science (A)","FA22","116","99","95.9%","94.9%","8.03","B+ (3.56)","B+ (3.52)"
"Tiefenbruck, Janine LoBue","DSC 10 - Principles of Data Science (B)","FA22","116","97","96.9%","95.9%","7.57","B+ (3.53)","B+ (3.38)"
"Rampure, Suraj","DSC 10 - Principles of Data Science (C)","FA22","108","93","95.7%","93.4%","9.27","B+ (3.53)","B+ (3.31)"
"Tabaghi, Puoya","DSC 10 - Principles of Data Science (D)","FA22","53","44","93.0%","72.1%","8.17","A- (3.83)","B+ (3.52)"
"Salimi, Babak","DSC 100 - Intro to Data Management (A)","FA22","174","127","86.4%","62.1%","6.45","A- (3.71)","B+ (3.69)"
"Kumar, Arun Kumar","DSC 102 - Systems for Scalable Analytics (A)","FA22","86","24","95.7%","87.0%","9.95","B+ (3.43)","B+ (3.39)"
"Rampure, Suraj","DSC 180A - Data Science Project I (A)","FA22","112","23","81.8%","100.0%","8.02","A- (3.95)","A- (3.88)"
"Rampure, Suraj","DSC 180A - Data Science Project I (B)","FA22","92","19","89.5%","94.4%","6.94","B+ (3.61)","A- (3.90)"
"Mishne, Gal","DSC 190 - Topics in Data Science (A)","FA22","17","5","75.0%","75.0%","9.50","A (4.00)","N/A"
"Silberman, Jack","DSC 190 - Topics in Data Science (B)","FA22","17","4","25.0%","50.0%","8.50","A- (3.75)","N/A"
"Kolovos, Alexandros","DSC 190 - Topics in Data Science (C)","FA22","43","10","100.0%","87.5%","4.28","A- (3.89)","A- (3.93)"
"Langlois, Marina","DSC 20 - Prgrmng/DataStruc for Data Sci (A)","FA22","140","64","84.1%","81.0%","11.92","B+ (3.41)","B (3.10)"
"Langlois, Marina","DSC 30 - DataStrc/Algrthms for Data Sci (A)","FA22","90","38","85.3%","82.4%","11.87","B (3.26)","B- (2.84)"
"Hy, Truong Son","DSC 40A - Theor Fndtns of Data Sci I (A)","FA22","108","100","84.0%","60.6%","7.80","B+ (3.34)","B (3.20)"
"Soleymani, Mahdi","DSC 40A - Theor Fndtns of Data Sci I (B)","FA22","96","83","86.7%","73.5%","7.33","B+ (3.49)","B+ (3.36)"
"Eldridge, Justin Matthew","DSC 40B - Theor Fndtns of Data Sci II (A)","FA22","74","21","100.0%","100.0%","7.03","B+ (3.50)","B+ (3.34)"
