"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Baghdadchi, Saharnaz","ECE 100 - Linear Electronic Systems (A)","FA22","96","70","88.6%","95.7%","8.96","B (3.20)","C+ (2.64)"
"Siegel, Paul H.","ECE 101 - Linear Systems Fundamentals (A)","FA22","146","98","86.7%","95.9%","9.26","B- (2.99)","B- (2.81)"
"Hsueh, Tzu-Chien","ECE 102 - Intro/Active Circuit Design (A)","FA22","85","68","98.5%","97.1%","8.00","B (3.17)","B (3.19)"
"Lomakin, Vitaliy","ECE 107 - Electromagnetism (A)","FA22","45","17","87.5%","87.5%","6.50","B (3.25)","B (3.12)"
"Zeger, Kenneth A.","ECE 109 - Engineering Probability&Stats (A)","FA22","121","47","77.8%","71.7%","7.80","B- (2.89)","B- (2.76)"
"Koushanfar, Farinaz","ECE 111 - Advanced Digital Design Proj (A)","FA22","88","47","83.0%","63.0%","7.98","B+ (3.56)","B (3.26)"
"Esmaili, Gholamreza","ECE 121A - Power Sys Analysis & Fundmntls (A)","FA22","60","24","87.0%","78.3%","8.50","B- (2.91)","B (3.05)"
"Esmaili, Gholamreza","ECE 128A - Real Wrld Pwr Grid Operation (B)","FA22","67","21","75.0%","84.2%","8.00","B (3.25)","B (3.22)"
"Kuzum, Duygu","ECE 135A - Semiconductor Physics (A)","FA22","13","6","83.3%","100.0%","8.17","B+ (3.50)","N/A"
"Unpingco, Jose H.","ECE 143 - Programming for Data Analysis (A)","FA22","100","64","100.0%","98.4%","6.79","A- (3.89)","A- (3.85)"
"Silberman, Jack","ECE 148 - Intro to Autonomous Vehicles (A)","FA22","24","7","85.7%","71.4%","15.07","B+ (3.57)","A- (3.96)"
"Schurgers, Curt","ECE 15 - Engineering Computation (A)","FA22","247","186","64.1%","82.3%","9.57","B- (2.91)","B- (2.72)"
"Javidi, Tara","ECE 158A - Data Networks I (A)","FA22","40","19","84.2%","72.2%","6.39","B (3.17)","B (3.22)"
"Khoshabeh, Ramsin","ECE 16 - Rapid Hardware & Software Dsn (A)","FA22","27","20","89.5%","94.7%","12.92","B+ (3.35)","B+ (3.44)"
"Rao, Bhaskar D.","ECE 161A - Intr/Digital Signal Processing (A)","FA22","62","23","80.0%","85.0%","9.50","B (3.20)","B- (2.96)"
"Hall, Drew A.","ECE 164 - Analog Integrtd Circuit Design (A)","FA22","94","33","93.9%","90.6%","15.25","B+ (3.33)","B- (2.76)"
"Rebeiz, Gabriel","ECE 166 - Microwave Systems and Circuits (A)","FA22","90","28","96.3%","92.6%","10.65","B+ (3.37)","C+ (2.60)"
"Gilja, Vikash","ECE 17 - Object-Oriented Programming (A)","FA22","49","22","95.0%","100.0%","8.60","A- (3.85)","B+ (3.42)"
