"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Cohen, Shana R","EDS 110R - Early Learning Environments (A)","FA22","50","13","84.6%","84.6%","7.12","B+ (3.58)","B+ (3.30)"
"Sanchez, Adan Quetzalcoatl","EDS 113 - Chicanas/os & Latinos in Edu (A)","FA22","50","16","93.8%","93.8%","3.38","A- (3.80)","B+ (3.48)"
"Eguchi, Emi","EDS 114 - Cogn Develp&Intractv Compt Env (A)","FA22","34","12","58.3%","58.3%","7.17","B+ (3.67)","B+ (3.39)"
"Chung, Luz Marina","EDS 117 - Language, Culture & Education (A)","FA22","69","23","87.0%","95.5%","5.80","A- (3.82)","B+ (3.54)"
"Simon, Elizabeth A","EDS 124AR - Teach Computation/DigitalWorld (A)","FA22","92","23","95.7%","100.0%","6.15","A- (3.91)","B+ (3.55)"
"Simon, Elizabeth A","EDS 124AR - Teach Computation/DigitalWorld (B)","FA22","93","16","100.0%","100.0%","7.25","A- (3.81)","B+ (3.63)"
"Eguchi, Emi","EDS 124BR - Teach Computational Thinking (A)","FA22","81","21","90.0%","85.0%","7.34","A- (3.95)","B+ (3.69)"
"Aragon, Maria Jose","EDS 125 - Hist,Polic&Theory/Bilingual Ed (B)","FA22","53","20","100.0%","100.0%","4.50","B+ (3.65)","B (3.20)"
"Heinzman, Erica M.","EDS 129A - Intro/Teach&Learn (Secondary) (A)","FA22","51","35","94.3%","97.1%","4.33","A- (3.94)","A- (3.98)"
"Mendoza, Kathrina Esguerra","EDS 130 - Intro/Acad Ment/Elem Schl Stdn (A)","FA22","45","34","100.0%","100.0%","4.26","A- (3.73)","A- (3.73)"
"Wishard Guerra, Alison G.","EDS 131 - Early Child Dev & Education (A)","FA22","23","9","100.0%","88.9%","6.50","A- (3.78)","A- (3.81)"
"Bintliff, Amy S.V.","EDS 133 - Counsel, Mentor, Advise (P-12) (A)","FA22","40","16","100.0%","100.0%","6.90","A- (3.87)","A- (3.79)"
"Hemans, Patricia Ann Benitez","EDS 146 - Mindfulness and Education (A)","FA22","18","4","100.0%","100.0%","7.00","A (4.00)","N/A"
"Halter, Christopher P.","EDS 150 - CASP Transfer Intro Course (C)","FA22","18","6","100.0%","100.0%","2.90","A (4.00)","N/A"
"Garcia, Martha Diana","EDS 150 - CASP Transfer Intro Course (D)","FA22","14","4","100.0%","100.0%","2.00","A (4.00)","N/A"
"Halter, Christopher P.","EDS 150 - CASP Transfer Intro Course (E)","FA22","32","12","83.3%","91.7%","2.67","A (4.00)","N/A"
"Halter, Christopher P.","EDS 150 - CASP Transfer Intro Course (F)","FA22","14","7","85.7%","85.7%","0.79","A (4.00)","N/A"
"Halter, Christopher P.","EDS 150 - CASP Transfer Intro Course (G)","FA22","9","4","66.7%","100.0%","3.17","B+ (3.67)","N/A"
"Halter, Christopher P.","EDS 150 - CASP Transfer Intro Course (H)","FA22","12","5","100.0%","100.0%","3.30","A (4.00)","N/A"
"Wishard Guerra, Alison G.","EDS 164R - Early Childhood Policy (A)","FA22","50","11","100.0%","90.0%","6.86","A (4.00)","B+ (3.59)"
"Bussey, Thomas J","EDS 31 - Introductn to Teaching Science (A)","FA22","8","4","100.0%","100.0%","2.50","A- (3.75)","N/A"
"Halter, Christopher P.","EDS 50 - CASP Frosh Intro Course (A)","FA22","25","12","90.9%","90.9%","1.23","A (4.00)","N/A"
"Halter, Christopher P.","EDS 50 - CASP Frosh Intro Course (B)","FA22","28","15","92.9%","92.9%","1.50","A- (3.89)","N/A"
"Halter, Christopher P.","EDS 50 - CASP Frosh Intro Course (C)","FA22","18","4","100.0%","100.0%","0.50","A (4.00)","N/A"
"Halter, Christopher P.","EDS 50 - CASP Frosh Intro Course (D)","FA22","24","8","85.7%","100.0%","1.36","A (4.00)","N/A"
"Halter, Christopher P.","EDS 50 - CASP Frosh Intro Course (E)","FA22","15","8","100.0%","100.0%","1.93","A (4.00)","N/A"
"Garcia, Martha Diana","EDS 50 - CASP Frosh Intro Course (F)","FA22","29","12","83.3%","83.3%","1.00","A (4.00)","N/A"
"Halter, Christopher P.","EDS 50 - CASP Frosh Intro Course (H)","FA22","24","12","91.7%","91.7%","1.00","A- (3.90)","N/A"
"Halter, Christopher P.","EDS 50 - CASP Frosh Intro Course (I)","FA22","15","9","100.0%","87.5%","1.75","B (3.25)","N/A"
"Halter, Christopher P.","EDS 50 - CASP Frosh Intro Course (J)","FA22","30","15","92.9%","100.0%","0.64","A (4.00)","N/A"
"Garcia, Martha Diana","EDS 50 - CASP Frosh Intro Course (K)","FA22","24","12","100.0%","100.0%","1.00","A (4.00)","N/A"
"Eguchi, Emi","EDS 87 - First-year Seminar (A)","FA22","10","7","85.7%","85.7%","2.21","B+ (3.50)","N/A"
