"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Frank, Ross H.","ETHN 1 - Intro: Land and Labor (A)","FA22","351","167","79.0%","76.6%","4.59","A- (3.70)","B+ (3.30)"
"Patel, Shaista","ETHN 100A - Theoretical Approaches (A)","FA22","37","7","85.7%","85.7%","5.36","A- (3.86)","N/A"
"Perreira, Christopher Michael","ETHN 103 - Environmental Racism (A)","FA22","68","18","88.2%","88.2%","2.85","B+ (3.56)","N/A"
"Sasaki, Christen T","ETHN 121R - R-Contemp Asian American Hist (A)","FA22","36","7","100.0%","100.0%","2.50","A- (3.71)","A (4.00)"
"Tran, Ly Thi Hai","ETHN 122 - Asian American Cult & Identity (A)","FA22","35","8","100.0%","100.0%","3.00","A (4.00)","B+ (3.62)"
"Ruiz, Ariana","ETHN 139 - Chicano Literature in English (A)","FA22","18","6","100.0%","100.0%","5.30","B+ (3.40)","N/A"
"Jolivette, Andrew J","ETHN 144M - Antiracist Medicine/HealthCare (A)","FA22","70","22","100.0%","95.0%","2.80","A (4.00)","A (4.00)"
"Daly, Heather Marie","ETHN 152 - Law and Civil Rights (B)","FA22","34","11","100.0%","100.0%","6.10","A (4.00)","B+ (3.57)"
"Browne, Errol Tsekani","ETHN 161 - Black Poli&Protest since 1941 (A)","FA22","19","6","83.3%","83.3%","2.50","B+ (3.60)","N/A"
"Patel, Shaista","ETHN 163E - Decolonial Theory (A)","FA22","35","9","87.5%","100.0%","3.00","B (3.13)","N/A"
"Borgo, David Garcia","ETHN 178R - Blues: An Oral Tradition (A)","FA22","25","12","100.0%","90.9%","3.59","B+ (3.45)","B+ (3.41)"
"Browne, Errol Tsekani","ETHN 184 - Black Intellectuals in 20th C (A)","FA22","16","6","80.0%","60.0%","3.30","A (4.00)","N/A"
"Beardsley, Steven Thomas","ETHN 187 - Latinx Sexualities (A)","FA22","16","7","100.0%","100.0%","3.50","A (4.00)","N/A"
"Gutierrez, Oscar Antonio","ETHN 103 - Environmental Racism (A)","S222","31","8","100.0%","100.0%","3.75","A (4.00)","A- (3.87)"
"Choi, Esther Min","ETHN 104 - Race, Space, & Segregation (A)","S222","27","11","100.0%","100.0%","4.32","A- (3.89)","A- (3.91)"
"Tanaka, Elaine Gale-armon","ETHN 142 - Medcn/Race&Globl Poli/Inequity (A)","S222","20","5","100.0%","100.0%","4.50","B+ (3.50)","A- (3.74)"
"Rassooli, Nima","ETHN 182 - Race, Gender, Sexuality Sci Fi (A)","S222","24","14","92.3%","76.9%","2.96","A (4.00)","A- (3.97)"
"Gutierrez, Oscar Antonio","ETHN 102 - Sci and Techn:Race/Gendr/Class (A)","S122","16","3","100.0%","100.0%","3.17","B+ (3.67)","N/A"
"Doermann, Hannah Friederike","ETHN 127 - Sexuality & Nation (A)","S122","7","4","100.0%","100.0%","7.50","B (3.00)","N/A"
"Gavin, Camila Andrea","ETHN 155 - U.S. Militarism (A)","S122","29","3","100.0%","100.0%","5.17","B+ (3.67)","A- (3.89)"
"Marez, Curtis F.","ETHN 101TV - Ethnic Images on TV (A)","SP22","53","10","100.0%","100.0%","3.30","A- (3.90)","B+ (3.66)"
"Okonkwo, Holly","ETHN 102 - Sci and Techn:Race/Gendr/Class (A)","SP22","39","8","87.5%","87.5%","4.25","A- (3.75)","A- (3.71)"
"Perreira, Christopher Michael","ETHN 103 - Environmental Racism (A)","SP22","40","10","100.0%","100.0%","3.10","A- (3.70)","A- (3.98)"
"Werner, Bradley T.","ETHN 113A - Decolonizing Geology (A)","SP22","22","5","100.0%","100.0%","4.50","A (4.00)","B+ (3.67)"
"Man, Simeon S","ETHN 120D - Race & Oral Hist. in San Diego (A)","SP22","22","5","100.0%","100.0%","4.10","A- (3.75)","A- (3.74)"
"Tran, Ly Thi Hai","ETHN 123 - Asian American Politics (A)","SP22","35","14","100.0%","92.9%","3.21","B+ (3.62)","B+ (3.59)"
"Martin Sandino, Amanda Maria Yoland","ETHN 127 - Sexuality & Nation (A)","SP22","29","14","100.0%","100.0%","5.42","A- (3.85)","A- (3.72)"
