"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Reese, Clarissa Jane","HDP 1 - Intro to Human Development (A)","SP19","122","48","91.5%","89.1%","3.59","B+ (3.56)","B+ (3.42)"
"Kim, Seung Kyung","HDP 120 - Language Development (A)","SP19","77","30","37.9%","24.1%","7.30","C+ (2.67)","B- (2.73)"
"Rodriguez, Victoria Calip","HDP 122 - Social Development (A)","SP19","78","36","86.1%","91.4%","2.89","A- (3.89)","A- (3.88)"
"Bandoli, Gretchen","HDP 150 - Senior Seminar (B)","SP19","21","6","100.0%","100.0%","3.50","B+ (3.67)","A- (3.78)"
"Blaise, Jean G","HDP 171 - Diversity in Human Development (A)","SP19","38","8","100.0%","100.0%","2.00","A (4.00)","A- (3.91)"
"Blaise, Jean G","HDP 175 - PowerWealth&Inequality/HumDev (A)","SP19","37","16","92.9%","100.0%","4.50","B+ (3.60)","B+ (3.56)"
"Ark, Wendy S","HDP 181 - Exper Proj/Human Dev. Research (A)","SP19","25","12","18.2%","36.4%","13.50","C- (1.91)","C (2.21)"
"Reese, Clarissa Jane","HDP 191 - Field Resrch/Human Development (A)","SP19","25","4","100.0%","100.0%","15.17","B (3.00)","B- (2.81)"
"Creel, Sarah","HDP 98 - Directed Group Study (A)","SP19","41","14","66.7%","75.0%","1.05","N/A","N/A"
"Ark, Wendy S","HDP 110 - Brain & Behavioral Development (A)","WI19","69","36","91.4%","80.0%","6.16","B+ (3.66)","B+ (3.31)"
"Stewart, Alexander B","HDP 133 - Socio-Cultural Foundations (A)","WI19","86","35","87.1%","87.1%","4.18","B+ (3.50)","B+ (3.45)"
"Rodriguez, Victoria Calip","HDP 150 - Senior Seminar (B)","WI19","16","14","100.0%","100.0%","3.36","A- (3.71)","N/A"
"Blaise, Jean G","HDP 171 - Diversity in Human Development (A)","WI19","38","26","100.0%","95.8%","2.82","A- (3.91)","A- (3.76)"
"Blaise, Jean G","HDP 175 - PowerWealth&Inequality/HumDev (A)","WI19","36","9","88.9%","77.8%","2.72","A- (3.83)","B+ (3.61)"
"Ark, Wendy S","HDP 181 - Exper Proj/Human Dev. Research (A)","WI19","23","10","40.0%","25.0%","12.10","C+ (2.40)","C+ (2.53)"
"Reese, Clarissa Jane","HDP 191 - Field Resrch/Human Development (A)","WI19","11","7","85.7%","85.7%","13.64","B (3.00)","N/A"
"Ackerman, Farrell","HDP 98 - Directed Group Study (A)","WI19","34","12","100.0%","100.0%","1.33","A (4.00)","N/A"
"Reese, Clarissa Jane","HDP 1 - Intro to Human Development (A)","FA18","176","87","93.8%","96.2%","3.48","B+ (3.56)","B (3.23)"
"Wilder, Linnea Lorene","HDP 111 - Evolution in Human Development (A)","FA18","32","12","90.9%","90.9%","4.32","B+ (3.55)","B (3.18)"
"Deak, Gedeon O.","HDP 121 - The Developing Mind (A)","FA18","32","13","75.0%","83.3%","6.17","B+ (3.58)","B+ (3.50)"
"Ark, Wendy S","HDP 150 - Senior Seminar (A)","FA18","13","5","100.0%","66.7%","4.90","B+ (3.40)","N/A"
"Blaise, Jean G","HDP 171 - Diversity in Human Development (A)","FA18","42","24","95.7%","100.0%","3.17","A- (3.86)","A- (3.81)"
"Blaise, Jean G","HDP 175 - PowerWealth&Inequality/HumDev (A)","FA18","35","18","94.4%","100.0%","3.83","B+ (3.50)","A- (3.81)"
"Ark, Wendy S","HDP 181 - Exper Proj/Human Dev. Research (A)","FA18","23","11","30.0%","50.0%","13.30","C (2.10)","C (2.10)"
"Reese, Clarissa Jane","HDP 191 - Field Resrch/Human Development (A)","FA18","9","3","100.0%","100.0%","9.17","C+ (2.67)","N/A"
"Reese, Clarissa Jane","HDP 1 - Intro to Human Development (A)","SP18","80","31","93.3%","93.1%","4.83","B+ (3.45)","B (3.14)"
"Wilder, Linnea Lorene","HDP 111 - Evolution in Human Development (A)","SP18","29","14","84.6%","100.0%","3.42","B+ (3.31)","B (3.18)"
"Yang, Dorothy Daw-Shin","HDP 120 - Language Development (A)","SP18","45","37","86.5%","94.6%","3.36","B+ (3.38)","B+ (3.31)"
"Rodriguez, Victoria Calip","HDP 122 - Social Development (A)","SP18","65","27","88.9%","92.6%","3.17","A- (3.85)","A- (3.81)"
"Blaise, Jean G","HDP 150 - Senior Seminar (B)","SP18","17","7","100.0%","100.0%","2.79","A- (3.86)","N/A"
"Blaise, Jean G","HDP 171 - Diversity in Human Development (A)","SP18","34","16","93.3%","93.3%","2.63","A- (3.86)","B+ (3.66)"
"Ark, Wendy S","HDP 181 - Exper Proj/Human Dev. Research (A)","SP18","27","12","63.6%","63.6%","12.86","C+ (2.36)","C+ (2.40)"
"Reese, Clarissa Jane","HDP 191 - Field Resrch/Human Development (A)","SP18","12","3","66.7%","66.7%","10.50","B (3.00)","N/A"
"Reese, Clarissa Jane","HDP 191 - Field Resrch/Human Development (B)","SP18","8","3","100.0%","100.0%","11.17","B+ (3.67)","N/A"
"Ackerman, Farrell","HDP 98 - Directed Group Study (A)","SP18","41","15","78.6%","92.9%","1.64","N/A","N/A"
"Ark, Wendy S","HDP 110 - Brain & Behavioral Development (A)","WI18","65","22","90.5%","85.7%","6.23","B+ (3.64)","B+ (3.33)"
"Stewart, Alexander B","HDP 133 - Socio-Cultural Foundations (A)","WI18","54","26","83.3%","91.7%","3.75","A- (3.88)","A- (3.80)"
"Blaise, Jean G","HDP 150 - Senior Seminar (A)","WI18","22","6","100.0%","100.0%","5.83","A- (3.83)","B+ (3.63)"
"Blaise, Jean G","HDP 171 - Diversity in Human Development (A)","WI18","31","15","100.0%","100.0%","3.93","A (4.00)","B+ (3.60)"
"Ark, Wendy S","HDP 181 - Exper Proj/Human Dev. Research (A)","WI18","19","6","60.0%","40.0%","12.90","C+ (2.60)","N/A"
"Reese, Clarissa Jane","HDP 191 - Field Resrch/Human Development (B)","WI18","14","6","83.3%","60.0%","10.83","B (3.00)","N/A"
"Ackerman, Farrell","HDP 98 - Directed Group Study (A)","WI18","33","15","100.0%","84.6%","1.88","B+ (3.67)","N/A"
"Ackerman, Farrell","HDP 1 - Intro to Human Development (A)","FA17","212","106","93.3%","91.4%","3.75","B+ (3.57)","B+ (3.52)"
"Deak, Gedeon O.","HDP 121 - The Developing Mind (A)","FA17","15","3","66.7%","66.7%","5.17","B+ (3.33)","N/A"
"Ark, Wendy S","HDP 150 - Senior Seminar (A)","FA17","14","5","100.0%","100.0%","6.90","A- (3.80)","N/A"
"Blaise, Jean G","HDP 160 - Special Topics/Human Develpmnt (A)","FA17","14","4","100.0%","100.0%","5.50","A- (3.75)","N/A"
"Blaise, Jean G","HDP 171 - Diversity in Human Development (A)","FA17","38","17","94.1%","88.2%","3.91","A- (3.75)","B+ (3.61)"
"Ark, Wendy S","HDP 181 - Exper Proj/Human Dev. Research (A)","FA17","31","9","55.6%","55.6%","10.94","B (3.11)","C+ (2.69)"
"Reese, Clarissa Jane","HDP 191 - Field Resrch/Human Development (A)","FA17","10","3","100.0%","100.0%","11.17","B+ (3.33)","N/A"
"Reese, Clarissa Jane","HDP 191 - Field Resrch/Human Development (B)","FA17","10","5","100.0%","100.0%","9.70","B+ (3.60)","N/A"
"Yang, Dorothy Daw-Shin","HDP 120 - Language Development (A)","SP17","67","21","85.7%","100.0%","3.26","B+ (3.50)","B (3.22)"
"Rodriguez, Victoria Calip","HDP 122 - Social Development (A)","SP17","39","36","94.4%","91.7%","3.44","B+ (3.60)","A- (3.77)"
"Ark, Wendy S","HDP 150 - Senior Seminar (B)","SP17","25","10","100.0%","100.0%","4.70","A- (3.80)","A- (3.72)"
"Blaise, Jean G","HDP 150 - Senior Seminar (C)","SP17","24","10","90.0%","90.0%","3.70","B+ (3.67)","A- (3.83)"
"Blaise, Jean G","HDP 171 - Diversity in Human Development (A)","SP17","16","6","100.0%","100.0%","2.50","B+ (3.67)","N/A"
"Ark, Wendy S","HDP 181 - Exper Proj/Human Dev. Research (A)","SP17","19","9","83.3%","66.7%","9.83","B+ (3.33)","N/A"
"Reese, Clarissa Jane","HDP 191 - Field Resrch/Human Development (A)","SP17","19","5","60.0%","100.0%","11.70","B- (2.80)","N/A"
"Reese, Clarissa Jane","HDP 191 - Field Resrch/Human Development (B)","SP17","21","11","100.0%","100.0%","12.50","B+ (3.40)","B (3.05)"
"Ackerman, Farrell","HDP 98 - Directed Group Study (A)","SP17","50","25","87.0%","100.0%","1.11","A (4.00)","N/A"
"Blumenthal, Emily Jeanne","HDP 110 - Brain & Behavioral Development (A)","WI17","63","59","98.3%","98.3%","5.17","B+ (3.35)","B+ (3.38)"
"Deak, Gedeon O.","HDP 121 - The Developing Mind (A)","WI17","30","16","50.0%","50.0%","6.93","B (3.14)","B (3.18)"
"Parish, Steven Martin","HDP 133 - Socio-Cultural Foundations (A)","WI17","77","59","83.9%","87.5%","2.75","A- (3.75)","A- (3.76)"
"Ark, Wendy S","HDP 150 - Senior Seminar (A)","WI17","20","13","92.3%","100.0%","4.17","A- (3.83)","B+ (3.69)"
"Blaise, Jean G","HDP 171 - Diversity in Human Development (A)","WI17","19","9","100.0%","100.0%","4.50","A (4.00)","N/A"
