"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Lu, Weijing","HIEA 137 - Women & Family/Chinese History (A)","FA22","54","20","75.0%","68.4%","7.20","B+ (3.33)","B- (2.71)"
"Henry, Todd A.","HIEA 144 - Topics in East Asian History (A)","FA22","38","13","100.0%","100.0%","5.27","B+ (3.33)","N/A"
"Lu, Weijing","HIEA 171 - Society & Culture/Premod China (A)","FA22","9","3","100.0%","100.0%","8.50","A (4.00)","N/A"
"Watts, Edward J.","HIEU 102 - Roman History (A)","FA22","119","34","86.2%","93.1%","4.57","B (3.11)","B- (2.91)"
"Caciola, Nancy A","HIEU 107 - PaganEurope&ChristianAftermath (A)","FA22","50","12","75.0%","83.3%","5.50","B+ (3.55)","B+ (3.40)"
"Balberg, Mira","HIEU 108 - Sex & Politics/Ancient World (A)","FA22","65","32","100.0%","100.0%","3.38","A- (3.78)","B+ (3.43)"
"Neuheiser, Joerg","HIEU 128 - Europe since 1945 (A)","FA22","48","35","85.7%","97.1%","5.36","B (3.23)","B- (2.96)"
"Aschenbrenner, Nathanael A","HIEU 144 - Topics in European History (A)","FA22","46","17","100.0%","100.0%","3.44","B+ (3.33)","B+ (3.58)"
"Devereux, Andrew W","HIEU 149 - Medieval Spain (A)","FA22","58","21","90.0%","100.0%","4.60","A- (3.70)","B- (2.75)"
"Biess, Frank Peter","HIEU 154 - Mod German/Bismarck to Hitler (A)","FA22","68","57","94.7%","98.2%","4.99","B+ (3.49)","B+ (3.36)"
"Edington, Claire Ellen","HIGL 114 - History of Modern Vietnam (A)","FA22","58","19","100.0%","100.0%","4.71","B+ (3.65)","B+ (3.46)"
"Vitz, Matthew","HILA 119 - CentralAmerica&US Intervention (A)","FA22","68","10","100.0%","100.0%","3.50","B+ (3.67)","B+ (3.63)"
"Widener, Daniel","HILA 122 - ColonyToSocialistRepublic:Cuba (A)","FA22","58","19","89.5%","89.5%","5.03","B+ (3.47)","B+ (3.61)"
"Muscolino, Micah S","HILD 10 - East Asia: The Great Tradition (A)","FA22","185","87","90.6%","96.4%","4.19","A- (3.72)","B+ (3.64)"
"Hanna, Mark G.","HILD 2A - United States History (A)","FA22","181","75","93.2%","98.6%","3.99","B+ (3.44)","B+ (3.37)"
"Edington, Claire Ellen","HILD 30 - History of Public Health (A)","FA22","62","26","100.0%","100.0%","3.75","B+ (3.61)","B+ (3.42)"
"Devereux, Andrew W","HILD 41 - Anthropocene2: ColumbianExchng (A)","FA22","58","29","89.3%","100.0%","4.21","B+ (3.33)","B+ (3.35)"
"Graham, Jessica Lynn","HILD 7A - Race & Ethnicity/United States (A)","FA22","376","138","92.6%","97.0%","4.31","B+ (3.63)","A- (3.86)"
"Kayali, Hasan","HINE 116 - Middle East (1798-1914) (A)","FA22","31","6","100.0%","66.7%","4.17","A- (3.83)","B- (2.81)"
"Provence, Michael","HINE 144 - Topics/Middle Eastern History (A)","FA22","45","12","100.0%","100.0%","4.32","B+ (3.64)","B (3.30)"
"Pineda De Avila, Nydia","HISC 106 - The Scientific Revolution (A)","FA22","39","8","62.5%","62.5%","3.50","B+ (3.67)","A- (3.75)"
"Gere, Catherina M.","HISC 115 - History Modern Medicine (A)","FA22","117","50","95.7%","97.8%","3.46","B+ (3.69)","B+ (3.49)"
"Hanna, Mark G.","HITO 100 - The Craft of History (A)","FA22","25","11","100.0%","100.0%","3.41","A- (3.91)","A- (3.86)"
"Neuheiser, Joerg","HITO 133 - War & Society/Second World War (B)","FA22","35","27","88.5%","92.3%","5.24","B (3.04)","B (3.14)"
"Patterson, Patrick H.","HITO 87 - First-year Seminar (A)","FA22","16","8","100.0%","100.0%","2.75","A (4.00)","N/A"
"Patterson, Patrick H.","HITO 87 - First-year Seminar (C)","FA22","18","8","100.0%","100.0%","2.50","N/A","N/A"
"Klann, Mary Cameron","HIUS 108B - History/Native Americans/US II (A)","FA22","56","25","100.0%","100.0%","4.92","A- (3.92)","A- (3.91)"
"Plant, Rebecca Jo","HIUS 112 - The U.S. Civil War (A)","FA22","158","47","84.8%","95.7%","4.11","B+ (3.43)","B+ (3.43)"
"Vandevelde, Kenneth Joseph","HIUS 152A - Constitutional Hist/US to 1865 (A)","FA22","58","12","100.0%","100.0%","5.00","A- (3.83)","B+ (3.62)"
"Alvarez, Luis A","HIUS 155 - Zoot Suit-HipHop:Race-Pop Cult (A)","FA22","51","12","100.0%","100.0%","4.50","B+ (3.58)","A- (3.80)"
"Graham, Jessica Lynn","HIUS 183 - Topics/African American Hist. (A)","FA22","11","5","100.0%","100.0%","8.90","A- (3.80)","N/A"
"Westerfeld, Kevin John","HIEU 124 - The Age of Alexander (A)","S222","26","19","100.0%","100.0%","7.34","B+ (3.53)","B+ (3.33)"
"Gray, Taylor Erin","HIEU 146 - Fascism,Communism 1919-1945 (A)","S222","19","9","88.9%","88.9%","6.28","B+ (3.50)","N/A"
"Patterson, Patrick H.","HIEU 152GS - Everyday Life/Dictatorial Soc (A)","S222","28","19","94.4%","100.0%","10.18","A- (3.86)","A- (3.90)"
"Man, Simeon S","HILD 7B - Race & Ethnicity/United States (A)","S222","123","39","100.0%","100.0%","4.39","A- (3.91)","B+ (3.65)"
