"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Postero, Nancy Grey","HMNR 101 - Human Rights II: Contemp Issue (A)","SP22","6","3","100.0%","100.0%","3.17","B+ (3.67)","N/A"
"Shafir, Gershon","HMNR 100 - Human Rights I: Introduction (A)","WI22","16","4","75.0%","100.0%","9.00","A- (3.75)","N/A"
"Postero, Nancy Grey","HMNR 101 - Human Rights II: Contemp Issue (A)","SP21","9","5","100.0%","100.0%","8.10","A- (3.80)","N/A"
"Postero, Nancy Grey","HMNR 101 - Human Rights II: Contemp Issue (A)","SP19","12","4","100.0%","100.0%","7.00","A (4.00)","N/A"
"Shafir, Gershon","HMNR 100 - Human Rights I: Introduction (A)","WI19","14","6","100.0%","100.0%","4.83","B+ (3.67)","N/A"
"Patterson, Patrick H.","HMNR 100 - Human Rights I: Introduction (A)","WI18","14","12","100.0%","100.0%","7.50","B+ (3.67)","N/A"
"Postero, Nancy Grey","HMNR 101 - Human Rights II: Contemp Issue (A)","SP17","11","4","100.0%","75.0%","3.50","B+ (3.50)","N/A"
"Patterson, Patrick H.","HMNR 100 - Human Rights I: Introduction (A)","WI17","14","13","100.0%","100.0%","8.04","A- (3.92)","N/A"
"Postero, Nancy Grey","HMNR 101 - Human Rights II: Contemp Issue (A)","SP16","18","11","81.8%","81.8%","5.70","B+ (3.33)","N/A"
"Patterson, Patrick H.","HMNR 100 - Human Rights I: Introduction (A)","WI16","11","8","100.0%","100.0%","9.00","A- (3.75)","N/A"
"Postero, Nancy Grey","HMNR 101 - Human Rights II: Contemp Issue (B)","SP15","11","4","100.0%","100.0%","5.50","A- (3.75)","N/A"
"Patterson, Patrick H.","HMNR 100 - Human Rights I: Introduction (A)","WI15","9","6","83.3%","83.3%","9.17","A- (3.80)","N/A"
"Patterson, Patrick H.","HMNR 100 - Human Rights I: Hist. & Theory (A)","WI14","10","9","100.0%","100.0%","8.94","B+ (3.67)","N/A"
"Postero, Nancy Grey","HMNR 101 - Human Rights II: Contemp Issue (A)","SP13","24","7","100.0%","100.0%","6.50","B+ (3.57)","B+ (3.41)"
"Meade, Everard","HMNR 100 - Human Rights I: Hist. & Theory (A)","WI13","21","12","100.0%","91.7%","8.00","B+ (3.64)","B+ (3.46)"
"Postero, Nancy Grey","HMNR 101   - Human Rights II: Contemp Issue (B)","SP12","23","11","100.0%","100.0%","5.23","B+ (3.67)","B (3.24)"
"Postero, Nancy Grey","HMNR 101   - Human Rights II: Contemp Issue (B)","SP12","20","12","90.9%","90.9%","6.10","B+ (3.67)","B (3.24)"
"Meade, Everard","HMNR 100   - Human Rights I: Hist. & Theory (A)","WI12","18","10","80.0%","80.0%","7.10","B+ (3.30)","N/A"
"Meade, Everard","HMNR 100   - Human Rights I: Hist. & Theory (A)","WI12","23","9","88.9%","77.8%","6.94","B+ (3.57)","B (3.14)"
