"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Maruyama, Rie","JAPN 10A - First Year Japanese I (A)","FA22","30","17","100.0%","100.0%","6.38","B (3.06)","B- (2.90)"
"Homma, Kunihiko","JAPN 10A - First Year Japanese I (B)","FA22","27","16","93.8%","93.8%","5.63","B+ (3.60)","B- (2.97)"
"McKee, Mayumi Mochizuki","JAPN 10A - First Year Japanese I (C)","FA22","27","9","88.9%","100.0%","6.06","A (4.00)","B+ (3.47)"
"Sato, Kyoko","JAPN 10A - First Year Japanese I (D)","FA22","26","10","100.0%","100.0%","6.70","A- (3.88)","B+ (3.32)"
"Kamioka, Sachiko","JAPN 10A - First Year Japanese I (E)","FA22","27","18","100.0%","100.0%","5.79","B+ (3.60)","B+ (3.57)"
"Sato, Kyoko","JAPN 10A - First Year Japanese I (F)","FA22","29","12","100.0%","100.0%","6.83","A- (3.73)","B+ (3.70)"
"Maruyama, Rie","JAPN 10A - First Year Japanese I (G)","FA22","28","8","100.0%","100.0%","5.93","B+ (3.67)","B+ (3.38)"
"Kamioka, Sachiko","JAPN 10A - First Year Japanese I (H)","FA22","26","12","100.0%","100.0%","7.67","A- (3.70)","B+ (3.55)"
"Homma, Kunihiko","JAPN 10A - First Year Japanese I (I)","FA22","30","20","100.0%","100.0%","5.40","B+ (3.45)","B+ (3.36)"
"McKee, Mayumi Mochizuki","JAPN 10A - First Year Japanese I (J)","FA22","25","14","100.0%","100.0%","5.93","A- (3.92)","B+ (3.50)"
"Inada, Minori","JAPN 10A - First Year Japanese I (K)","FA22","21","11","100.0%","100.0%","4.50","A- (3.91)","B+ (3.42)"
"Tipton, Yuko","JAPN 10A - First Year Japanese I (L)","FA22","18","12","100.0%","100.0%","6.00","B+ (3.55)","N/A"
"Inada, Minori","JAPN 10A - First Year Japanese I (M)","FA22","27","8","100.0%","100.0%","4.50","B+ (3.38)","B+ (3.35)"
"McKee, Mayumi Mochizuki","JAPN 10A - First Year Japanese I (N)","FA22","20","10","90.0%","90.0%","8.10","B+ (3.57)","B+ (3.48)"
"Homma, Kunihiko","JAPN 10A - First Year Japanese I (O)","FA22","25","13","100.0%","100.0%","3.50","A- (3.73)","B+ (3.51)"
"Tipton, Yuko","JAPN 10A - First Year Japanese I (P)","FA22","16","9","100.0%","100.0%","4.50","A- (3.71)","N/A"
"Simpson, Junko Tokuda","JAPN 130A - Third Year Japanese I (A)","FA22","28","10","100.0%","100.0%","4.94","A (4.00)","B+ (3.38)"
"Ross, Kayoko F","JAPN 130A - Third Year Japanese I (B)","FA22","36","15","76.9%","92.3%","6.81","B+ (3.42)","B+ (3.62)"
"Inada, Minori","JAPN 135A - Japanese/Professional Purposes (A)","FA22","18","7","85.7%","100.0%","3.64","A- (3.86)","N/A"
"Takeda, Izumi","JAPN 135A - Japanese/Professional Purposes (B)","FA22","16","8","100.0%","100.0%","2.50","A- (3.88)","N/A"
"Sato, Kyoko","JAPN 140A - Fourth Year Japanese I (A)","FA22","13","4","100.0%","100.0%","5.00","B+ (3.50)","N/A"
"Simpson, Junko Tokuda","JAPN 20A - Second Year Japanese I (A)","FA22","25","9","100.0%","100.0%","4.94","B+ (3.43)","B+ (3.37)"
"Takeda, Izumi","JAPN 20A - Second Year Japanese I (B)","FA22","24","10","100.0%","100.0%","5.50","B+ (3.67)","A- (3.74)"
"Ross, Kayoko F","JAPN 20A - Second Year Japanese I (C)","FA22","30","17","100.0%","100.0%","5.68","B+ (3.33)","B+ (3.38)"
"Takeda, Izumi","JAPN 20A - Second Year Japanese I (D)","FA22","29","13","100.0%","100.0%","6.19","B+ (3.55)","B+ (3.69)"
"Maruyama, Rie","JAPN 20A - Second Year Japanese I (E)","FA22","27","14","92.3%","100.0%","5.50","B+ (3.60)","B+ (3.54)"
"Kamioka, Sachiko","JAPN 20A - Second Year Japanese I (F)","FA22","28","17","100.0%","100.0%","4.63","A- (3.77)","B+ (3.59)"
"Ross, Kayoko F","JAPN 20A - Second Year Japanese I (G)","FA22","23","9","100.0%","88.9%","5.61","B+ (3.38)","B+ (3.50)"
"Ross, Kayoko F","JAPN 20A - Second Year Japanese I (A)","S122","20","5","100.0%","100.0%","4.50","A (4.00)","B+ (3.67)"
"Tipton, Yuko","JAPN 10C - First Year Japanese III (A)","SP22","20","11","100.0%","100.0%","5.95","A- (3.80)","B+ (3.69)"
"Tipton, Yuko","JAPN 10C - First Year Japanese III (B)","SP22","25","10","100.0%","100.0%","4.28","B+ (3.67)","B+ (3.65)"
"Maruyama, Rie","JAPN 10C - First Year Japanese III (C)","SP22","20","9","88.9%","100.0%","3.61","A- (3.89)","A- (3.78)"
"Maruyama, Rie","JAPN 10C - First Year Japanese III (D)","SP22","22","10","100.0%","100.0%","4.06","A- (3.75)","B (3.08)"
"Sato, Kyoko","JAPN 10C - First Year Japanese III (E)","SP22","21","9","100.0%","100.0%","3.83","A- (3.78)","A- (3.74)"
"Takeda, Izumi","JAPN 10C - First Year Japanese III (F)","SP22","22","7","100.0%","100.0%","4.79","B+ (3.60)","A- (3.87)"
"Takeda, Izumi","JAPN 10C - First Year Japanese III (G)","SP22","24","9","88.9%","88.9%","5.83","A- (3.89)","A- (3.86)"
"Kamioka, Sachiko","JAPN 10C - First Year Japanese III (H)","SP22","24","15","100.0%","100.0%","4.77","A- (3.73)","A- (3.71)"
"Kamioka, Sachiko","JAPN 10C - First Year Japanese III (I)","SP22","26","12","100.0%","100.0%","7.83","B+ (3.67)","A- (3.74)"
"McKee, Mayumi Mochizuki","JAPN 10C - First Year Japanese III (J)","SP22","25","14","100.0%","100.0%","4.83","A- (3.75)","B+ (3.70)"
"Iwamoto, Naoki","JAPN 10C - First Year Japanese III (L)","SP22","26","15","100.0%","100.0%","5.43","A- (3.77)","A- (3.77)"
"Simpson, Junko Tokuda","JAPN 10C - First Year Japanese III (M)","SP22","23","11","100.0%","100.0%","6.32","A- (3.75)","B+ (3.59)"
"Ross, Kayoko F","JAPN 10C - First Year Japanese III (N)","SP22","24","15","100.0%","100.0%","5.07","B+ (3.57)","B+ (3.45)"
"McKee, Mayumi Mochizuki","JAPN 10C - First Year Japanese III (O)","SP22","16","10","100.0%","100.0%","4.50","A- (3.78)","N/A"
