"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Bahadori, Mohammad Yousef","MAE 101A - Introductory Fluid Mechanics (A)","FA22","135","99","89.7%","91.8%","7.20","B- (2.96)","B (3.15)"
"Poulikakos, Lisa Voula","MAE 101C - Heat Transfer (C)","FA22","186","164","87.7%","90.2%","5.94","B (3.01)","N/A"
"Sanchez, Antonio Luis","MAE 104 - Aerodynamics (A)","FA22","121","108","98.1%","99.1%","6.78","B (3.24)","B+ (3.37)"
"Saintillan, David","MAE 105 - Intro to Mathematical Physics (A)","FA22","159","91","84.3%","96.6%","8.20","B (3.18)","B (3.22)"
"Lindsey, Stephanie","MAE 107 - Computational Methods/Engineer (A)","FA22","72","61","55.7%","44.3%","8.13","B- (2.78)","B- (2.85)"
"Tolley, Michael Thomas","MAE 107 - Computational Methods/Engineer (B)","FA22","106","59","91.5%","91.5%","7.73","B (3.27)","B (3.02)"
"Nomura, Keiko K.","MAE 11 - Thermodynamics (A)","FA22","131","103","86.4%","85.4%","9.16","B (3.00)","C+ (2.58)"
"Krasheninnikov, Sergei","MAE 118 - Intro to Energy & Environment (A)","FA22","45","20","65.0%","30.0%","3.00","B (3.00)","B- (2.71)"
"Ghazinejad, Maziar","MAE 131A - Solid Mechanics I (A)","FA22","53","41","100.0%","97.6%","7.30","B (3.27)","B- (2.86)"
"Frazier, Michael","MAE 133 - Finite Element Methods in MAE (A)","FA22","13","13","100.0%","100.0%","10.04","B- (2.77)","N/A"
"Kramer, Boris","MAE 143A - Signals and Systems (A)","FA22","105","97","59.8%","56.7%","9.65","C+ (2.55)","C+ (2.63)"
"Bewley, Thomas R","MAE 144 - Embedded Control & Robotics (A)","FA22","41","21","52.4%","38.1%","6.31","B (3.00)","B+ (3.53)"
"Silberman, Jack","MAE 148 - Intro to Autonomous Vehicles (A)","FA22","27","15","78.6%","71.4%","10.64","B+ (3.50)","A- (3.89)"
"Orosco, Jeremy Richard","MAE 150 - Computer-Aided Design (A)","FA22","79","67","82.1%","83.6%","9.25","B (3.19)","B (3.28)"
"Ghazinejad, Maziar","MAE 150 - Computer-Aided Design (D)","FA22","82","56","96.4%","100.0%","6.32","B+ (3.60)","B+ (3.33)"
"Tynan, George Robert","MAE 152 - Intro Manual and CNC Machining (A)","FA22","14","5","100.0%","100.0%","2.10","N/A","N/A"
"Tynan, George Robert","MAE 152 - Intro Manual and CNC Machining (B)","FA22","15","6","100.0%","100.0%","1.17","A (4.00)","N/A"
"Tynan, George Robert","MAE 152 - Intro Manual and CNC Machining (C)","FA22","16","9","88.9%","88.9%","3.39","C (2.00)","N/A"
"Tynan, George Robert","MAE 152 - Intro Manual and CNC Machining (D)","FA22","12","8","100.0%","87.5%","1.50","A (4.00)","N/A"
"Tynan, George Robert","MAE 152 - Intro Manual and CNC Machining (E)","FA22","16","9","100.0%","100.0%","2.50","A (4.00)","N/A"
"Delson, Nathan Joseph","MAE 156A - Fund. Prin./Mechanical Desgn I (A)","FA22","30","13","92.3%","100.0%","10.96","B+ (3.38)","B+ (3.64)"
"Lubarda, Marko","MAE 170 - Experimental Techniques (A)","FA22","118","81","67.5%","80.0%","9.18","B+ (3.61)","B+ (3.65)"
"Diagne, Mamadou Lamine","MAE 170 - Experimental Techniques (B)","FA22","90","75","82.7%","86.7%","7.77","B+ (3.53)","B+ (3.46)"
"McEneaney, William Michael","MAE 180A - Spacecraft Guidance I (A)","FA22","98","64","71.4%","49.2%","6.15","B+ (3.38)","B- (2.96)"
"Bahadori, Mohammad Yousef","MAE 181 - Space Mission Analysis/Design (A)","FA22","55","36","97.2%","94.4%","5.33","B+ (3.60)","B (3.11)"
"Anderson, Mark Ronald","MAE 190 - Topics in Mech and Aero Eng (A)","FA22","45","21","100.0%","100.0%","3.74","A- (3.76)","B+ (3.60)"
"Qi, Huihui","MAE 191 - Topics in Mech & Aero Lab (A)","FA22","20","20","95.0%","100.0%","5.97","A- (3.85)","A- (3.78)"
"Anderson, Mark Ronald","MAE 2 - Intro to Aerospace Engineering (A)","FA22","148","63","100.0%","98.4%","3.58","B+ (3.66)","B+ (3.34)"
"Bandaru, Prabhakar","MAE 20 - Elements of Materials Science (A)","FA22","42","22","81.8%","77.3%","6.95","B (3.19)","B (3.24)"
"Evdokimenko, Ekaterina","MAE 20 - Elements of Materials Science (B)","FA22","162","90","96.6%","98.9%","5.79","B+ (3.43)","B (3.23)"
"Cai, Shengqiang","MAE 21 - Aerospace Materials Science (A)","FA22","116","57","98.2%","100.0%","4.54","A- (3.80)","B+ (3.47)"
"Delson, Nathan Joseph","MAE 3 - Intro/Engineering Graphcs&Desn (A)","FA22","74","52","88.5%","91.8%","13.73","B+ (3.44)","B+ (3.54)"
"Qi, Huihui","MAE 3 - Intro/Engineering Graphcs&Desn (B)","FA22","85","75","96.0%","98.7%","13.94","B+ (3.62)","B+ (3.47)"
"Lal, Ratnesh","MAE 30A - Statics & Intro to Dynamics (A)","FA22","72","50","80.0%","68.0%","5.07","B+ (3.56)","B+ (3.69)"
"Bitmead, Robert R.","MAE 40 - Linear Circuits (A)","FA22","96","51","70.6%","64.7%","7.95","B- (2.88)","B (3.22)"
"Pham, Hieu Tan","MAE 8 - MATLAB Program for Engr Analys (A)","FA22","190","77","91.9%","94.6%","7.42","B+ (3.47)","B (3.27)"
"Bilgin, Eylul","MAE 101B - Advanced Fluid Mechanics (A)","S222","27","7","100.0%","100.0%","8.21","B+ (3.43)","B- (2.84)"
"Sharma, Harsh Apurva","MAE 107 - Computational Methods/Engineer (A)","S222","38","30","90.0%","96.7%","7.70","B (3.20)","B- (2.86)"
"Qi, Huihui","MAE 131A - Solid Mechanics I (A)","S222","16","15","100.0%","100.0%","7.50","B- (2.93)","N/A"
"Silberman, Jack","MAE 148 - Intro to Autonomous Vehicles (A)","S222","12","5","80.0%","60.0%","18.50","B+ (3.60)","N/A"
"Evdokimenko, Ekaterina","MAE 160 - Mechanical Behavior/Materials (A)","S222","28","13","100.0%","100.0%","5.73","B+ (3.58)","B (3.10)"
"Bahadori, Mohammad Yousef","MAE 180A - Spacecraft Guidance I (A)","S222","13","7","100.0%","100.0%","11.93","B (3.29)","N/A"
"Qi, Huihui","MAE 30A - Statics & Intro to Dynamics (A)","S222","25","23","100.0%","100.0%","7.20","B+ (3.43)","B- (2.89)"
"Bahadori, Mohammad Yousef","MAE 30B - Dynamics and Vibrations (A)","S222","23","14","78.6%","92.9%","10.21","B (3.00)","B- (2.84)"
"Bewley, Thomas R","MAE 40 - Linear Circuits (A)","S222","23","10","30.0%","10.0%","10.10","C- (1.90)","C (2.22)"
"Lynch, James Edmund","MAE 8 - MATLAB Program for Engr Analys (A)","S222","30","28","96.4%","100.0%","8.06","B (3.14)","B+ (3.32)"
"Bahadori, Mohammad Yousef","MAE 101A - Introductory Fluid Mechanics (A)","S122","21","15","93.3%","73.3%","11.57","B- (2.73)","B- (2.86)"
"Bilgin, Eylul","MAE 104 - Aerodynamics (A)","S122","16","5","80.0%","80.0%","6.90","B (3.20)","N/A"
"Bandaru, Prabhakar","MAE 105 - Intro to Mathematical Physics (A)","S122","20","3","100.0%","100.0%","6.50","B+ (3.50)","B+ (3.53)"
"Bahadori, Mohammad Yousef","MAE 11 - Thermodynamics (A)","S122","35","23","91.3%","82.6%","9.98","B- (2.91)","C+ (2.50)"
"Bewley, Thomas R","MAE 143A - Signals and Systems (A)","S122","26","12","58.3%","50.0%","8.50","C+ (2.50)","B (3.20)"
