"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Ehrich, Kristine R","MGT 103 - Product Marketing & Management (A)","FA22","86","20","88.9%","100.0%","3.76","B (3.28)","B- (2.80)"
"Ehrich, Kristine R","MGT 103 - Product Marketing & Management (B)","FA22","87","31","86.2%","86.2%","5.43","B+ (3.34)","B- (2.80)"
"Eberhard, Craig A","MGT 103 - Product Marketing & Management (C)","FA22","66","55","84.9%","84.9%","3.90","B+ (3.38)","B- (2.78)"
"Eberhard, Craig A","MGT 103 - Product Marketing & Management (D)","FA22","82","61","90.2%","91.7%","4.03","B (3.28)","B- (2.86)"
"Demill, Burritt","MGT 103 - Product Marketing & Management (E)","FA22","85","77","100.0%","100.0%","4.58","B+ (3.62)","B+ (3.44)"
"Bates, Kenneth Walter","MGT 103 - Product Marketing & Management (F)","FA22","89","80","93.8%","92.5%","4.68","B+ (3.33)","B (3.04)"
"Bates, Kenneth Walter","MGT 103 - Product Marketing & Management (G)","FA22","82","76","98.7%","96.1%","5.00","B+ (3.40)","B- (2.97)"
"Campbell, Robert Harold","MGT 105 - Product Promotion & Brand Mgt (A)","FA22","111","89","97.8%","95.5%","4.30","A- (3.76)","B+ (3.41)"
"Eberhard, Craig A","MGT 106 - Sales and Sales Management (A)","FA22","78","65","76.9%","72.3%","3.91","B (3.13)","B- (2.91)"
"Amir, On","MGT 108R - Applied Market Research (A)","FA22","226","169","98.2%","97.6%","4.75","A- (3.95)","A- (3.93)"
"Campbell, Colin Leslie","MGT 109 - Topics in Marketing (A)","FA22","83","76","86.8%","93.4%","4.71","B+ (3.53)","B+ (3.35)"
"Somasundaram, Tyagarajan","MGT 112 - Global Business Strategy (A)","FA22","39","26","80.8%","80.8%","6.66","B+ (3.56)","B (3.27)"
"Somasundaram, Tyagarajan","MGT 112 - Global Business Strategy (B)","FA22","33","25","76.0%","72.0%","7.06","B+ (3.64)","B+ (3.39)"
"Ehrich, Kristine R","MGT 112 - Global Business Strategy (C)","FA22","35","10","88.9%","100.0%","5.83","B+ (3.44)","B+ (3.43)"
"Zimmermann, Carsten","MGT 112 - Global Business Strategy (D)","FA22","88","63","88.9%","88.9%","4.98","B+ (3.59)","B+ (3.49)"
"Pecore, Joseph P.","MGT 12 - Personal Financial Management (A)","FA22","98","28","95.8%","91.3%","2.90","A- (3.75)","B+ (3.40)"
"Lindenberger, Wade Douglas","MGT 12 - Personal Financial Management (B)","FA22","98","81","97.5%","97.5%","3.56","A- (3.85)","A- (3.82)"
"Wang, Helen Shan","MGT 121A - Innovation to Market A (A)","FA22","65","44","88.6%","97.7%","5.32","A- (3.79)","B+ (3.69)"
"Wang, Helen Shan","MGT 121A - Innovation to Market A (B)","FA22","64","47","89.1%","95.7%","6.07","A- (3.80)","B+ (3.66)"
"Houskeeper, Robert","MGT 131A - Intermediate Accounting A (A)","FA22","71","48","81.3%","72.9%","6.54","B- (2.98)","C (2.29)"
"Blakley, Bruce","MGT 132 - Auditing (A)","FA22","48","19","93.8%","81.3%","8.13","B (3.06)","B- (2.80)"
"Houskeeper, Robert","MGT 134 - Federal Taxation-Individuals (A)","FA22","26","12","75.0%","75.0%","5.33","B (3.29)","B+ (3.63)"
"Anderson, John Charles","MGT 135 - Federal Taxation-Companies (A)","FA22","47","41","97.6%","95.1%","6.55","B+ (3.46)","B (3.29)"
"Perols, Johan Lars","MGT 139 - Accounting Information Systems (A)","FA22","23","9","100.0%","88.9%","4.72","B+ (3.57)","B+ (3.69)"
"Perols, Johan Lars","MGT 153 - Business Analytics (A)","FA22","80","31","90.0%","100.0%","5.19","B+ (3.38)","B (3.11)"
"Phiroz, Zal Navroze","MGT 153 - Business Analytics (B)","FA22","83","32","87.1%","90.3%","5.21","B+ (3.63)","A- (3.72)"
"Phiroz, Zal Navroze","MGT 153 - Business Analytics (C)","FA22","89","23","90.9%","95.2%","5.36","A- (3.84)","B+ (3.57)"
"Campbell, Robert Harold","MGT 16 - Personal Ethics at Work (A)","FA22","97","54","92.5%","92.3%","3.56","B+ (3.69)","B- (2.89)"
"Campbell, Robert Harold","MGT 16 - Personal Ethics at Work (B)","FA22","107","68","95.5%","97.0%","3.68","B+ (3.65)","B- (2.97)"
"Lindenberger, Wade Douglas","MGT 16 - Personal Ethics at Work (C)","FA22","110","97","99.0%","100.0%","3.43","A- (3.99)","A- (3.95)"
"Lindenberger, Wade Douglas","MGT 16 - Personal Ethics at Work (D)","FA22","107","91","100.0%","97.8%","3.23","A- (3.90)","A- (3.82)"
"Buchanan, Harold G","MGT 16 - Personal Ethics at Work (E)","FA22","99","82","97.6%","98.8%","4.03","B+ (3.48)","B (3.25)"
"Gneezy, Uri","MGT 162R - Negotiations (A)","FA22","200","49","100.0%","100.0%","4.63","A- (3.88)","B+ (3.68)"
"McKay, Mary A","MGT 164 - Business and Org Leadership (A)","FA22","86","24","87.0%","87.0%","6.15","B (3.05)","C+ (2.48)"
"Meyer, Alison Bloomfield","MGT 164 - Business and Org Leadership (B)","FA22","84","80","85.0%","83.8%","5.45","A- (3.73)","B+ (3.44)"
"Smith, Pamela Karen","MGT 164 - Business and Org Leadership (C)","FA22","90","32","89.7%","93.1%","5.21","B+ (3.54)","B (3.26)"
"Moran, Cathleen L.","MGT 166 - Corp Social Responsibility (A)","FA22","45","33","87.9%","81.8%","3.89","B+ (3.31)","B (3.03)"
"Moran, Cathleen L.","MGT 166 - Corp Social Responsibility (B)","FA22","64","53","81.1%","84.9%","6.08","B (3.27)","B- (2.81)"
"Moran, Cathleen L.","MGT 166 - Corp Social Responsibility (C)","FA22","16","11","81.8%","90.9%","5.23","B (3.18)","N/A"
"Demill, Burritt","MGT 166 - Corp Social Responsibility (D)","FA22","89","87","95.4%","95.4%","5.88","B+ (3.56)","B+ (3.52)"
"Klaas, Jeffrey David","MGT 167 - Social Entrepreneurship (A)","FA22","72","58","94.8%","96.5%","4.02","B+ (3.68)","B (3.29)"
"Jacob, Jo Dee C","MGT 167 - Social Entrepreneurship (B)","FA22","87","45","100.0%","100.0%","3.50","A- (3.83)","B+ (3.55)"
"Phiroz, Zal Navroze","MGT 171 - Operations Management (A)","FA22","73","26","78.3%","91.3%","4.85","A- (3.78)","B+ (3.53)"
"Hedges, Kathleen","MGT 172 - Business Project Management (A)","FA22","97","81","95.0%","97.5%","5.28","B+ (3.50)","B+ (3.43)"
"Royal, Rebecca","MGT 172 - Business Project Management (A)","FA22","97","81","95.0%","93.8%","5.28","B+ (3.50)","B+ (3.43)"
"Hedges, Kathleen","MGT 172 - Business Project Management (B)","FA22","89","71","100.0%","97.2%","4.44","B+ (3.68)","B+ (3.63)"
"Zimmermann, Carsten","MGT 172 - Business Project Management (C)","FA22","84","57","84.2%","96.5%","4.64","B+ (3.39)","B+ (3.38)"
"Hayes, Sherry Lorine","MGT 173 - Project Mgt- Health Services (A)","FA22","100","88","96.6%","98.9%","4.32","A- (3.94)","A- (3.83)"
"Gopal, Christopher S.","MGT 175 - Supply Chain Management (A)","FA22","80","32","90.3%","93.5%","5.92","B (3.23)","B (3.11)"
"McKay, Michael J","MGT 18 - Managing Diverse Teams (A)","FA22","85","22","72.7%","86.4%","2.68","B+ (3.50)","B- (2.81)"
"McKay, Michael J","MGT 18 - Managing Diverse Teams (B)","FA22","86","36","88.2%","94.1%","2.74","B+ (3.66)","B- (2.86)"
"McKay, Michael J","MGT 18 - Managing Diverse Teams (C)","FA22","83","40","73.0%","86.5%","2.78","B+ (3.47)","B- (2.87)"
"McKay, Mary A","MGT 18 - Managing Diverse Teams (D)","FA22","87","35","82.9%","76.5%","5.19","B+ (3.40)","B- (2.89)"
"McKay, Mary A","MGT 18 - Managing Diverse Teams (E)","FA22","84","33","59.4%","48.4%","5.25","B+ (3.34)","C+ (2.69)"
"Buchanan, Harold G","MGT 181 - Enterprise Finance (A)","FA22","63","57","87.7%","87.7%","6.92","B+ (3.33)","B- (2.94)"
"Buchanan, Harold G","MGT 181 - Enterprise Finance (B)","FA22","112","103","93.2%","89.3%","6.23","B (3.23)","B (3.02)"
"Bliss, Barbara Ann","MGT 181 - Enterprise Finance (C)","FA22","113","101","94.1%","98.0%","5.51","B+ (3.49)","B (3.25)"
"Dunn, Louis Jean","MGT 185 - Investment Banking (A)","FA22","67","19","76.5%","88.2%","7.91","B+ (3.59)","B (3.23)"
"Dunn, Louis Jean","MGT 187 - New Venture Finance (A)","FA22","142","41","91.9%","83.8%","4.61","B+ (3.67)","B (3.24)"
"Wagner, Timothy Ryan","MGT 3 - Quant Methods in Business (A)","FA22","76","27","92.3%","100.0%","6.13","B (3.25)","B (3.01)"
"Pecore, Joseph P.","MGT 45 - Principles of Accounting (A)","FA22","139","119","89.8%","93.2%","6.26","B (3.18)","B- (2.90)"
"Pecore, Joseph P.","MGT 45 - Principles of Accounting (B)","FA22","141","119","89.1%","92.4%","5.65","B+ (3.39)","B (3.17)"
"Houskeeper, Robert","MGT 5 - Managerial Accounting (A)","FA22","165","113","74.3%","72.6%","5.58","B (3.21)","C+ (2.63)"
