"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Ishov, Alexander Alexandrovich","MUS 101A - Music Theory and Practice I (A)","FA22","25","3","100.0%","100.0%","3.17","A (4.00)","A (4.00)"
"Terrazas Perez, Wilfrido D","MUS 107 - Critical Studies Seminar (A)","FA22","17","6","100.0%","100.0%","2.90","A (4.00)","N/A"
"Yadegari, Shahrokh D","MUS 111 - Topics/World Music Traditions (A)","FA22","115","64","90.5%","95.2%","3.53","A- (3.76)","A- (3.74)"
"Curtis, Charles Rector","MUS 114 - Music of The 20th Century (A)","FA22","123","30","69.0%","75.9%","3.74","A- (3.76)","B+ (3.62)"
"Narucki, Susan M","MUS 12 - Opera (A)","FA22","68","19","100.0%","100.0%","2.29","B+ (3.68)","B+ (3.44)"
"Cimini, Amy Marie","MUS 120A - Hist Mus in Westrn Culture I (A)","FA22","24","3","100.0%","100.0%","2.50","A (4.00)","B+ (3.69)"
"Borgo, David Garcia","MUS 126R - Blues: An Oral Tradition (A)","FA22","128","65","100.0%","100.0%","4.05","A- (3.88)","A- (3.75)"
"Ohnishi, Takae","MUS 130 - Chamber Music Performance (A)","FA22","34","14","100.0%","78.6%","3.21","A (4.00)","A (4.00)"
"Kenyatta, Kamau","MUS 137A - Jazz Theory and Improvisation (A)","FA22","21","6","100.0%","100.0%","1.17","B+ (3.60)","A- (3.73)"
"Schwenkler, Kevin Allen","MUS 15 - Popular Music (A)","FA22","203","68","89.4%","93.9%","2.20","A- (3.95)","A (4.00)"
"Smyth, Tamara R.","MUS 171 - Computer Music I (A)","FA22","38","14","57.1%","50.0%","5.21","B- (2.93)","B (3.19)"
"Britt, King James","MUS 173 - Electronic Music Prod & Comp (B)","FA22","28","10","88.9%","100.0%","6.10","B+ (3.30)","A- (3.98)"
"Burr, Anthony I","MUS 174A - Audio&MIDIStudioTechniques I (A)","FA22","32","5","100.0%","100.0%","5.30","A- (3.80)","B+ (3.59)"
"Britt, King James","MUS 19R - Blacktronika: Afrofuturism (A)","FA22","239","90","92.2%","98.9%","2.68","A- (3.80)","A- (3.93)"
"Schneider, Berk Waldemar","MUS 1A - Fundamentals of Music A (A)","FA22","138","97","92.8%","95.9%","3.49","B+ (3.66)","A- (3.80)"
"Zhang, Shaoai","MUS 1A - Fundamentals of Music A (B)","FA22","146","58","100.0%","98.2%","2.68","A- (3.93)","A- (3.82)"
"Borgo, David Garcia","MUS 20 - Exploring the Musical Mind (A)","FA22","56","31","86.7%","96.6%","2.69","A- (3.90)","A- (3.87)"
"Carlson, Erik Norman","MUS 2A - Basic Musicianship (A)","FA22","31","16","87.5%","100.0%","2.13","A- (3.81)","A- (3.87)"
"Ohnishi, Takae","MUS 2AK - Basic Keyboard (A)","FA22","16","5","100.0%","100.0%","3.30","B+ (3.60)","N/A"
"Liang, Lei","MUS 33A - Introduction to Composition I (A)","FA22","13","10","90.0%","90.0%","4.70","A- (3.89)","N/A"
"Liu, Anqi","MUS 4 - Introduction to Western Music (A)","FA22","189","62","86.9%","80.3%","3.16","A- (3.89)","A- (3.85)"
"Burr, Anthony I","MUS 43 - Department Seminar (A)","FA22","95","27","96.2%","96.2%","0.73","A (4.00)","N/A"
"Waniuk, Ilana","MUS 5 - Sound in Time (A)","FA22","134","35","100.0%","100.0%","2.26","A- (3.94)","A (4.00)"
"Haering, Nathaniel James","MUS 6 - Electronic Music (A)","FA22","94","60","93.3%","96.6%","3.53","A- (3.89)","A (4.00)"
"Kenyatta, Kamau","MUS 8 - American Music: Jazz Cultures (A)","FA22","144","70","97.1%","98.5%","2.15","A- (3.70)","B+ (3.62)"
"Sussman, Diana Wald","MUS 95C - Concert Choir (B)","FA22","32","7","100.0%","100.0%","2.50","A- (3.83)","A- (3.85)"
"Burr, Anthony I","MUS 95D - Symphonic Chorus (A)","FA22","6","3","100.0%","100.0%","2.50","A (4.00)","N/A"
"Taylor, Alexander Lawther","MUS 95E - Chamber Orchestra (A)","FA22","49","27","100.0%","100.0%","2.06","A (4.00)","A (4.00)"
"Anderson, Kenneth","MUS 95G - Gospel Choir (A)","FA22","168","56","100.0%","100.0%","1.72","A (4.00)","N/A"
"Anderson, Kenneth","MUS 95G - Gospel Choir (B)","FA22","84","31","93.5%","96.8%","1.60","A (4.00)","N/A"
"Kenyatta, Kamau","MUS 95JC - Jazz Chamber Ensembles (A)","FA22","27","9","100.0%","100.0%","2.94","A (4.00)","A (4.00)"
"Jones, Michael David","MUS 95L - Wind Ensemble (A)","FA22","46","22","100.0%","100.0%","2.05","A (4.00)","N/A"
"Seshadri, Kartik","MUS 95W - World Music Ensembles (A)","FA22","42","11","88.9%","88.9%","3.00","A (4.00)","A- (3.91)"
"Seshadri, Kartik","MUS 95W - World Music Ensembles (B)","FA22","13","4","100.0%","100.0%","2.50","A (4.00)","N/A"
"Liu, Anqi","MUS 114 - Music of The 20th Century (A)","S222","65","15","92.9%","78.6%","6.35","A- (3.83)","A- (3.84)"
"Schwenkler, Kevin Allen","MUS 14 - Contemporary Music (A)","S222","25","5","100.0%","100.0%","3.30","A (4.00)","A- (3.96)"
"Schulmeister, Kathryn Crandall","MUS 14 - Contemporary Music (B)","S222","35","8","100.0%","100.0%","2.17","A (4.00)","A- (3.88)"
"Schneider, Berk Waldemar","MUS 15 - Popular Music (A)","S222","36","26","96.2%","100.0%","5.42","A- (3.75)","A- (3.73)"
"Dwyer, Rose Smucker","MUS 15 - Popular Music (B)","S222","33","19","100.0%","94.7%","3.97","A- (3.95)","A- (3.73)"
"Dubnov, Shlomo","MUS 5 - Sound in Time (A)","S222","43","12","91.7%","91.7%","4.00","A (4.00)","B+ (3.55)"
"Haering, Nathaniel James","MUS 6 - Electronic Music (A)","S222","23","7","83.3%","100.0%","3.83","A- (3.80)","A (4.00)"
"Roth, Paul N","MUS 8 - American Music: Jazz Cultures (A)","S222","37","24","100.0%","95.7%","3.59","A- (3.76)","A- (3.78)"
"Diaz De Cossio, Teresa Sanchez","MUS 80 - Special Topics in Music (A)","S222","24","9","100.0%","100.0%","2.50","A (4.00)","A (4.00)"
"Lloyd-Jones, Rebecca Louise","MUS 80 - Special Topics in Music (B)","S222","22","6","100.0%","100.0%","5.50","A (4.00)","A- (3.95)"
"Schulmeister, Kathryn Crandall","MUS 15 - Popular Music (B)","S122","73","23","95.0%","100.0%","5.23","A- (3.76)","A- (3.91)"
"Borgo, David Garcia","MUS 150GS - Jazz in Paris (A)","S122","24","8","71.4%","85.7%","4.21","A- (3.86)","A (4.00)"
"Ishov, Alexander Alexandrovich","MUS 1A - Fundamentals of Music A (A)","S122","74","35","100.0%","100.0%","5.99","A- (3.94)","A- (3.90)"
"Schneider, Berk Waldemar","MUS 4 - Introduction to Western Music (A)","S122","43","30","90.0%","96.7%","5.10","A- (3.81)","A- (3.85)"
"Dubnov, Shlomo","MUS 5 - Sound in Time (A)","S122","45","5","100.0%","100.0%","2.90","A (4.00)","A- (3.97)"
"Diaz De Cossio, Teresa Sanchez","MUS 6 - Electronic Music (A)","S122","44","9","100.0%","100.0%","2.50","A- (3.88)","A- (3.92)"
"Liu, Anqi","MUS 7 - Music, Media and Technology (A)","S122","44","12","100.0%","100.0%","5.50","A (4.00)","A- (3.83)"
"Khorassani, Nasim","MUS 80 - Special Topics in Music (A)","S122","18","11","100.0%","100.0%","2.14","A (4.00)","N/A"
"Borgo, David Garcia","MUS 8GS - American Music: Jazz Cultures (A)","S122","24","11","88.9%","77.8%","2.94","A- (3.89)","A (4.00)"
"Brindamour, Lydia Winsor","MUS 101C - Music Theory and Practice III (A)","SP22","24","9","77.8%","88.9%","2.50","B+ (3.63)","B+ (3.52)"
"Steiger, Rand","MUS 103C - Seminar in Composition III (A)","SP22","10","4","100.0%","100.0%","9.00","A (4.00)","N/A"
"Cimini, Amy Marie","MUS 107 - Critical Studies Seminar (B)","SP22","13","4","100.0%","100.0%","3.17","B+ (3.50)","N/A"
"Terrazas Perez, Wilfrido D","MUS 11 - Folk Music (A)","SP22","135","63","98.3%","100.0%","1.81","A- (3.97)","A- (3.91)"
"Yadegari, Shahrokh D","MUS 111 - Topics/World Music Traditions (A)","SP22","125","80","93.7%","98.7%","3.81","B+ (3.68)","A- (3.84)"
"Curtis, Charles Rector","MUS 113 - Topic/Classic&Romantc & Modern (A)","SP22","28","11","100.0%","90.0%","3.30","A- (3.89)","B+ (3.68)"
"Reynolds, Roger L.","MUS 114 - Music of The 20th Century (A)","SP22","119","42","71.4%","73.8%","4.06","B+ (3.59)","B (3.27)"
"Cimini, Amy Marie","MUS 120C - Hist Mus in Westrn Culture III (A)","SP22","31","8","87.5%","100.0%","2.50","B+ (3.63)","A- (3.83)"
"Guy, Nancy","MUS 13 - Worlds of Music (A)","SP22","106","60","80.4%","87.3%","3.88","B+ (3.46)","B (3.29)"
"Ohnishi, Takae","MUS 130 - Chamber Music Performance (A)","SP22","43","19","100.0%","89.5%","3.97","A (4.00)","A- (3.93)"
"Kenyatta, Kamau","MUS 137C - Jazz Theory and Improvisation (A)","SP22","17","8","100.0%","100.0%","2.79","A (4.00)","N/A"
"Burr, Anthony I","MUS 143 - Department Seminar (A)","SP22","16","6","66.7%","83.3%","0.50","A (4.00)","N/A"
"Schwenkler, Kevin Allen","MUS 15 - Popular Music (A)","SP22","299","97","90.2%","93.5%","2.80","A- (3.85)","A- (3.80)"
"Erbe, Tom","MUS 160B - Senior Proj/Computing Arts II (A)","SP22","18","4","75.0%","75.0%","9.50","A (4.00)","N/A"
"Roth, Paul N","MUS 17 - Hip-Hop (A)","SP22","336","115","97.3%","97.3%","2.66","A- (3.86)","A- (3.78)"
"Erbe, Tom","MUS 172 - Computer Music II (A)","SP22","52","12","91.7%","100.0%","6.67","B+ (3.55)","B+ (3.38)"
"Solem, Nicholas","MUS 174C - Audio&MIDI StudioTechniquesIII (A)","SP22","22","6","66.7%","40.0%","4.50","A (4.00)","A- (3.97)"
"Smyth, Tamara R.","MUS 175 - Musical Psychoacoustics (A)","SP22","24","4","100.0%","100.0%","1.50","A- (3.75)","B (3.09)"
"Britt, King James","MUS 176 - Music Technology Seminar (A)","SP22","14","3","100.0%","100.0%","6.50","A (4.00)","N/A"
"Yadegari, Shahrokh D","MUS 176 - Music Technology Seminar (B)","SP22","11","5","100.0%","100.0%","5.70","B (3.20)","N/A"
"Zhang, Shaoai","MUS 1C - Fundamentals of Music C (A)","SP22","39","22","90.5%","90.5%","4.31","A- (3.73)","B (3.22)"
"Liu, Anqi","MUS 2C - Basic Musicianship (A)","SP22","22","17","100.0%","75.0%","5.09","B+ (3.60)","A- (3.80)"
"Kenyatta, Kamau","MUS 2JK - Jazz Keyboard (A)","SP22","13","3","100.0%","100.0%","2.50","A (4.00)","N/A"
"Lloyd-Jones, Rebecca Louise","MUS 4 - Introduction to Western Music (A)","SP22","190","69","93.8%","93.8%","3.30","A- (3.81)","A- (3.77)"
"Burr, Anthony I","MUS 43 - Department Seminar (A)","SP22","97","19","76.5%","82.4%","0.62","A (4.00)","N/A"
"Richards, Stephanie F","MUS 5 - Sound in Time (A)","SP22","111","65","78.5%","90.8%","3.00","A- (3.80)","B+ (3.60)"
"Carlson, Erik Norman","MUS 95E - Chamber Orchestra (A)","SP22","38","12","100.0%","100.0%","1.67","A (4.00)","A (4.00)"
"Anderson, Kenneth","MUS 95G - Gospel Choir (A)","SP22","335","88","97.6%","97.6%","1.51","A (4.00)","N/A"
