"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Chen, Zheng","CENG 100 - Material and Energy Balances (A)","FA22","119","50","95.9%","95.8%","6.98","B+ (3.30)","B- (2.88)"
"Bae, Jinhye","CENG 101A - Introductory Fluid Mechanics (A)","FA22","133","99","63.3%","77.6%","10.88","B (3.08)","B (3.19)"
"Opatkiewicz, Justin Paul","CENG 120 - Chemical Process Dynmics&Cntrl (A)","FA22","94","76","93.4%","90.8%","10.21","B (3.22)","B (3.12)"
"Opatkiewicz, Justin Paul","CENG 122 - Separation Processes (A)","FA22","92","74","89.0%","87.5%","10.31","B (3.07)","B (3.17)"
"Lubarda, Vlado","CENG 15R - Eng Comp Using MATLAB Online (A)","FA22","37","27","76.9%","92.3%","4.35","B+ (3.42)","B+ (3.30)"
"Lubarda, Vlado","CENG 15R - Eng Comp Using MATLAB Online (B)","FA22","63","44","88.6%","93.2%","4.55","B+ (3.43)","B (3.11)"
"Drews, Aaron","CENG 170 - Experimental Methods/ChemEng (A)","FA22","41","25","95.7%","91.3%","7.37","B (3.22)","B (3.01)"
"Bae, Jinhye","CENG 4 - Experience Chemical Eng (A)","FA22","71","41","100.0%","95.1%","0.94","A- (3.83)","N/A"
"Drews, Aaron","CENG 4 - Experience Chemical Eng (B)","FA22","69","39","100.0%","100.0%","0.81","A- (3.91)","N/A"
"Tao, Andrea Rae","NANO 102 - Foundatn NanoEng: Chem Princpl (A)","FA22","64","24","91.7%","91.7%","7.00","B+ (3.33)","B- (2.92)"
"Pascal, Tod A","NANO 110 - Modeling of Nanoscale Systems (A)","FA22","40","36","88.9%","97.2%","8.22","B+ (3.34)","B (3.24)"
"Fenning, David","NANO 111 - Characterization/NanoEng Systm (A)","FA22","51","24","65.2%","56.5%","8.07","B (3.04)","B (3.15)"
"Cubukcu, Ertugrul","NANO 117 - Multi-scale Transport (A)","FA22","26","8","75.0%","75.0%","5.00","B (3.13)","B+ (3.35)"
"Vazquez Mena, Oscar","NANO 119 - NanoEng System Design Seminar (A)","FA22","4","4","50.0%","100.0%","5.00","A- (3.75)","N/A"
"Wang, Joseph","NANO 159 - Electrochem:Fundamentals&Appl (A)","FA22","27","9","100.0%","100.0%","7.00","A- (3.86)","B (3.22)"
"Lubarda, Vlado","NANO 15R - Eng Comp Using MATLAB Online (A)","FA22","24","12","100.0%","91.7%","3.67","A- (3.83)","B (3.28)"
"Lubarda, Vlado","NANO 15R - Eng Comp Using MATLAB Online (B)","FA22","26","14","85.7%","92.9%","4.36","B+ (3.46)","B (3.04)"
"Ong, Shyue Ping","NANO 181 - Data Sci in Materials Sci (A)","FA22","10","6","100.0%","100.0%","9.83","B+ (3.50)","N/A"
"Sirbuly, Donald","NANO 20L - IntroNanomaterialSynthesisLab (A)","FA22","29","9","100.0%","100.0%","2.94","A- (3.89)","B+ (3.68)"
"Sirbuly, Donald","NANO 20L - IntroNanomaterialSynthesisLab (C)","FA22","14","8","100.0%","100.0%","2.50","A- (3.86)","N/A"
"Vazquez Mena, Oscar","NANO 4 - Experience NanoEngineering (A)","FA22","17","16","100.0%","100.0%","1.63","A (4.00)","N/A"
"Vazquez Mena, Oscar","NANO 4 - Experience NanoEngineering (B)","FA22","20","16","100.0%","100.0%","1.50","B+ (3.40)","N/A"
"Vazquez Mena, Oscar","NANO 4 - Experience NanoEngineering (C)","FA22","16","7","100.0%","85.7%","1.64","N/A","N/A"
"Yang, Kesong","CENG 15 - Engin. Comp Using MATLAB (A)","S222","10","9","88.9%","100.0%","7.17","A- (3.75)","N/A"
"Yang, Kesong","NANO 15 - Engin. Comp Using MATLAB (A)","S222","9","5","60.0%","80.0%","4.10","B+ (3.60)","N/A"
"Lubarda, Vlado","CENG 101B - Heat Transfer (B)","SP22","21","10","100.0%","100.0%","9.50","B+ (3.60)","B+ (3.32)"
"Opatkiewicz, Justin Paul","CENG 101C - Mass Transfer (A)","SP22","94","82","90.0%","100.0%","9.90","B (3.00)","B (3.01)"
"Drews, Aaron","CENG 113 - Chemical Reaction Engineering (C)","SP22","46","22","90.5%","90.5%","9.55","B (3.00)","B- (2.85)"
"Drews, Aaron","CENG 113 - Chemical Reaction Engineering (D)","SP22","70","33","90.9%","93.9%","11.23","B+ (3.42)","B (3.08)"
"Russ, Benjamin Edward","CENG 124B - Chem Plant & Process Design II (A)","SP22","75","62","96.8%","98.4%","7.03","B+ (3.54)","A- (3.89)"
"Zhang, Liangfang","CENG 124B - Chem Plant & Process Design II (B)","SP22","62","51","100.0%","100.0%","6.26","A- (3.70)","A- (3.94)"
"Steinmetz, Nicole F","CENG 175 - NanoEngineering in Medicine (A)","SP22","24","15","93.3%","100.0%","5.57","B (3.20)","B+ (3.33)"
"Opatkiewicz, Justin Paul","CENG 176B - Chem Engineerng Process Lab II (A)","SP22","76","50","95.6%","95.6%","8.36","B+ (3.47)","B+ (3.43)"
"Chen, Zheng","CENG 176B - Chem Engineerng Process Lab II (B)","SP22","58","39","97.2%","100.0%","8.90","B+ (3.58)","B+ (3.51)"
"Jahed Motlagh, Zeinab","NANO 103 - Foundatn NanoEng/Biochem Princ (A)","SP22","24","21","85.7%","85.7%","5.36","B+ (3.42)","B+ (3.51)"
"Yang, Kesong","NANO 106 - Crystallography of Materials (A)","SP22","21","16","100.0%","100.0%","4.75","B+ (3.56)","B (3.08)"
"Luo, Jian","NANO 108 - Materials Science & Engineerng (A)","SP22","71","43","88.1%","71.4%","5.36","B+ (3.40)","B (3.04)"
"Vazquez Mena, Oscar","NANO 112 - Synthesis/Fabricatn/NanoEngSys (A)","SP22","64","55","90.9%","98.2%","5.19","B+ (3.43)","B+ (3.48)"
"Tao, Andrea Rae","NANO 115L - NanoEngineering Laboratory (A)","SP22","13","6","80.0%","100.0%","5.70","A (4.00)","N/A"
"Cubukcu, Ertugrul","NANO 117 - Multi-scale Transport (A)","SP22","24","9","88.9%","88.9%","6.72","B+ (3.63)","B (3.23)"
"Pokorski, Jonathan Kyle","NANO 120B - NanoEng Systems Design II (A)","SP22","34","14","75.0%","91.7%","7.00","A- (3.83)","A- (3.72)"
"Ong, Shyue Ping","NANO 120B - NanoEng Systems Design II (B)","SP22","20","6","100.0%","100.0%","10.83","A (4.00)","A- (3.78)"
"Xu, Sheng","NANO 156 - Modern Concepts/Nanotechnology (A)","SP22","74","34","96.9%","100.0%","4.56","B+ (3.35)","A- (3.71)"
"Steinmetz, Nicole F","NANO 175 - NanoEngineering in Medicine (A)","SP22","24","10","100.0%","100.0%","5.30","B+ (3.60)","B+ (3.37)"
"Opatkiewicz, Justin Paul","CENG 101A - Introductory Fluid Mechanics (A)","WI22","26","22","95.5%","95.5%","11.59","B (3.00)","B- (2.98)"
"Liu, Ping","CENG 101B - Heat Transfer (A)","WI22","84","75","90.7%","97.3%","8.50","B (3.01)","B (3.06)"
"Powell, Alyssa","CENG 102 - Chemical Engin Thermodynamics (A)","WI22","68","52","96.2%","100.0%","7.69","B+ (3.48)","B- (2.95)"
"Shah, Nisarg","CENG 102 - Chemical Engin Thermodynamics (B)","WI22","41","33","97.0%","87.9%","7.65","B+ (3.47)","B- (2.94)"
"Jahed Motlagh, Zeinab","CENG 114 - Prob and Stat Methods for Eng (A)","WI22","93","83","85.5%","94.0%","6.79","B (3.09)","B (3.13)"
"Powell, Alyssa","CENG 124A - Chem Plant & Process Design I (A)","WI22","74","58","94.8%","98.3%","7.20","B+ (3.55)","A- (3.79)"
"Zhang, Liangfang","CENG 124A - Chem Plant & Process Design I (B)","WI22","63","53","92.5%","98.1%","5.75","B+ (3.57)","A- (3.87)"
"Pokorski, Jonathan Kyle","CENG 134 - Polymeric Materials (A)","WI22","78","52","92.3%","92.2%","5.85","B (3.04)","B (3.02)"
"Drews, Aaron","CENG 15 - Engin. Comp Using MATLAB (A)","WI22","13","7","100.0%","100.0%","4.17","A (4.00)","N/A"
"Drews, Aaron","CENG 15 - Engin. Comp Using MATLAB (B)","WI22","11","9","100.0%","100.0%","5.61","B+ (3.44)","N/A"
"Chen, Zheng","CENG 176A - Chem Engineerng Process Lab I (A)","WI22","58","39","97.3%","89.2%","9.55","B+ (3.34)","B+ (3.50)"
"Opatkiewicz, Justin Paul","CENG 176A - Chem Engineerng Process Lab I (B)","WI22","76","53","90.6%","92.5%","9.19","B+ (3.60)","B+ (3.51)"
"Sirbuly, Donald","NANO 104 - Foundatn NanoEng/Physical Prin (A)","WI22","51","25","70.8%","78.3%","7.33","B (3.13)","B (3.24)"
"Cubukcu, Ertugrul","NANO 107 - Elect Dev&Circuits for NanoEng (A)","WI22","29","11","72.7%","81.8%","7.59","B+ (3.30)","B (3.26)"
"Lubarda, Vlado","NANO 108 - Materials Science & Engineerng (A)","WI22","68","31","96.8%","100.0%","4.82","A- (3.74)","B+ (3.51)"
"Lipomi, Darren John","NANO 11 - Intro to NanoEngineering (A)","WI22","48","24","87.0%","95.7%","6.33","B+ (3.38)","B+ (3.53)"
"Vecchio, Kenneth S","NANO 111 - Characterization/NanoEng Systm (A)","WI22","27","14","92.9%","92.3%","7.36","B+ (3.36)","B (3.06)"
"Jahed Motlagh, Zeinab","NANO 114 - Prob and Stat Methods for Eng (A)","WI22","19","19","84.2%","89.5%","5.97","B+ (3.50)","N/A"
"Yang, Kesong","NANO 120A - NanoEng Systems Design I (A)","WI22","29","28","89.3%","96.4%","6.71","B+ (3.68)","A- (3.71)"
"Xu, Sheng","NANO 120A - NanoEng Systems Design I (B)","WI22","27","26","100.0%","100.0%","8.00","B+ (3.52)","B+ (3.63)"
"Pokorski, Jonathan Kyle","NANO 134 - Polymeric Materials (A)","WI22","29","16","85.7%","92.3%","4.93","B (3.29)","B (3.03)"
"Drews, Aaron","NANO 15 - Engin. Comp Using MATLAB (A)","WI22","13","5","80.0%","60.0%","9.70","B (3.25)","N/A"
"Drews, Aaron","NANO 15 - Engin. Comp Using MATLAB (B)","WI22","11","5","100.0%","100.0%","6.90","B (3.00)","N/A"
"Meyers, Marc","NANO 174 - Mech. Behavior of Materials (A)","WI22","16","12","100.0%","100.0%","6.00","A- (3.83)","N/A"
"Powell, Alyssa","CENG 100 - Material and Energy Balances (A)","FA21","112","95","96.8%","98.9%","6.71","B (3.22)","B- (2.94)"
"Bae, Jinhye","CENG 101A - Introductory Fluid Mechanics (A)","FA21","136","115","74.6%","77.9%","10.22","B (3.07)","B (3.12)"
"Opatkiewicz, Justin Paul","CENG 120 - Chemical Process Dynmics&Cntrl (A)","FA21","136","120","98.3%","99.2%","8.78","B+ (3.31)","B+ (3.31)"
"Powell, Alyssa","CENG 122 - Separation Processes (A)","FA21","139","123","95.9%","94.2%","8.84","B (3.28)","B+ (3.37)"
"Lubarda, Vlado","CENG 15 - Engin. Comp Using MATLAB (A)","FA21","54","28","38.5%","48.0%","4.73","B- (2.85)","B (3.20)"
"Lubarda, Vlado","CENG 15 - Engin. Comp Using MATLAB (B)","FA21","58","26","62.5%","62.5%","5.06","B (3.24)","B (3.26)"
"Opatkiewicz, Justin Paul","CENG 157 - Process Tech in Semiconductor (A)","FA21","54","41","95.1%","97.6%","6.26","B (3.26)","B (3.19)"
"Drews, Aaron","CENG 4 - Experience Chemical Eng (A)","FA21","140","63","100.0%","100.0%","0.75","A- (3.94)","N/A"
"Vecchio, Kenneth S","NANO 100L - Physical Prop.of Materials Lab (A)","FA21","20","13","91.7%","100.0%","12.00","A- (3.75)","A- (3.72)"
"Jokerst, Jesse Vincent","NANO 102 - Foundatn NanoEng: Chem Princpl (A)","FA21","46","43","81.4%","67.4%","9.01","B- (2.79)","B- (2.85)"
"Pascal, Tod A","NANO 110 - Modeling of Nanoscale Systems (A)","FA21","58","54","71.7%","86.8%","10.35","B (3.08)","B (3.01)"
"Fenning, David","NANO 111 - Characterization/NanoEng Systm (A)","FA21","31","19","83.3%","100.0%","5.94","B (3.22)","B (3.23)"
"Vazquez Mena, Oscar","NANO 119 - NanoEng System Design Seminar (A)","FA21","5","5","100.0%","100.0%","2.10","A (4.00)","N/A"
"Meng, Y.Shirley","NANO 148 - Thermodynamics of Materials (A)","FA21","51","33","71.9%","71.9%","6.69","B- (2.94)","B+ (3.67)"
"Lubarda, Vlado","NANO 15 - Engin. Comp Using MATLAB (A)","FA21","48","19","44.4%","72.2%","4.50","B (3.06)","B- (2.94)"
"Lubarda, Vlado","NANO 15 - Engin. Comp Using MATLAB (B)","FA21","43","25","63.6%","72.7%","5.41","B (3.23)","B (3.13)"
"Sirbuly, Donald","NANO 20L - IntroNanomaterialSynthesisLab (C)","FA21","13","5","100.0%","100.0%","3.30","A (4.00)","N/A"
"Sirbuly, Donald","NANO 20L - IntroNanomaterialSynthesisLab (D)","FA21","17","10","100.0%","100.0%","3.70","A- (3.78)","N/A"
"Vazquez Mena, Oscar","NANO 4 - Experience NanoEngineering (A)","FA21","19","16","100.0%","100.0%","1.13","C (2.00)","N/A"
"Vazquez Mena, Oscar","NANO 4 - Experience NanoEngineering (B)","FA21","19","19","100.0%","94.7%","1.24","A (4.00)","N/A"
"Vazquez Mena, Oscar","NANO 4 - Experience NanoEngineering (C)","FA21","14","11","100.0%","100.0%","1.41","A (4.00)","N/A"
"Yang, Kesong","CENG 15 - Engin. Comp Using MATLAB (A)","S221","15","7","100.0%","100.0%","6.79","A- (3.71)","N/A"
"Opatkiewicz, Justin Paul","CENG 100 - Material and Energy Balances (A)","S121","12","11","100.0%","100.0%","8.14","B (3.27)","N/A"
"Lubarda, Vlado","CENG 101B - Heat Transfer (A)","SP21","39","25","91.7%","95.8%","7.28","B (3.27)","B (3.11)"
"Opatkiewicz, Justin Paul","CENG 101C - Mass Transfer (A)","SP21","78","73","93.2%","95.9%","8.91","B (3.21)","B (3.07)"
"Powell, Alyssa","CENG 101C - Mass Transfer (B)","SP21","69","64","92.2%","98.4%","7.87","B (3.14)","B (3.13)"
"Drews, Aaron","CENG 113 - Chemical Reaction Engineering (A)","SP21","79","69","91.3%","98.6%","9.28","B (3.19)","B+ (3.39)"
"Drews, Aaron","CENG 113 - Chemical Reaction Engineering (B)","SP21","23","23","100.0%","100.0%","9.77","B (3.14)","B (3.29)"
"Russ, Benjamin Edward","CENG 124B - Chem Plant & Process Design II (A)","SP21","49","38","97.4%","94.7%","8.66","A- (3.82)","A- (3.93)"
"Powell, Alyssa","CENG 124B - Chem Plant & Process Design II (B)","SP21","53","31","96.8%","93.5%","7.47","A- (3.71)","A- (3.90)"
"Opatkiewicz, Justin Paul","CENG 176B - Chem Engineerng Process Lab II (A)","SP21","63","40","92.1%","91.7%","9.58","B+ (3.56)","B+ (3.33)"
"Zhang, Liangfang","CENG 176B - Chem Engineerng Process Lab II (B)","SP21","39","19","84.2%","89.5%","10.61","B (3.26)","B+ (3.31)"
"Vecchio, Kenneth S","NANO 100L - Physical Prop.of Materials Lab (A)","SP21","6","3","66.7%","100.0%","15.83","A (4.00)","N/A"
"Tao, Andrea Rae","NANO 102 - Foundatn NanoEng: Chem Princpl (A)","SP21","9","6","83.3%","100.0%","6.83","A (4.00)","N/A"
"Chen, Yi","NANO 103 - Foundatn NanoEng/Biochem Princ (A)","SP21","53","35","80.0%","85.7%","6.16","B+ (3.43)","B+ (3.54)"
"Yang, Kesong","NANO 106 - Crystallography of Materials (A)","SP21","27","20","90.0%","95.0%","5.90","B (3.28)","B (3.23)"
"Luo, Jian","NANO 108 - Materials Science & Engineerng (A)","SP21","65","44","100.0%","83.7%","5.76","A- (3.73)","B+ (3.37)"
"Sirbuly, Donald","NANO 112 - Synthesis/Fabricatn/NanoEngSys (A)","SP21","44","10","100.0%","100.0%","4.70","A- (3.80)","B+ (3.52)"
"Pokorski, Jonathan Kyle","NANO 120B - NanoEng Systems Design II (B)","SP21","22","7","66.7%","66.7%","4.50","A (4.00)","A- (3.87)"
"Lubarda, Vlado","NANO 150 - Mechanics of Nanomaterials (A)","SP21","26","10","100.0%","88.9%","6.50","A- (3.89)","B+ (3.38)"
"Horvath, Stephen","NANO 161 - Material Selection/Engineering (A)","SP21","31","12","100.0%","100.0%","8.50","B+ (3.55)","B (3.20)"
"Drews, Aaron","CENG 100 - Material and Energy Balances (A)","S219","23","20","100.0%","100.0%","6.50","B+ (3.60)","B (3.29)"
"Opatkiewicz, Justin Paul","CENG 114 - Prob and Stat Methods for Eng (A)","S219","17","16","100.0%","100.0%","8.13","B+ (3.44)","N/A"
"Herz, Richard K","CENG 15 - Engin. Comp Using MATLAB (A)","S219","13","6","100.0%","100.0%","5.50","A- (3.83)","N/A"
"Opatkiewicz, Justin Paul","NANO 114 - Prob and Stat Methods for Eng (A)","S219","8","7","100.0%","100.0%","9.64","B (3.14)","N/A"
"Herz, Richard K","NANO 15 - Engin. Comp Using MATLAB (A)","S219","6","4","100.0%","100.0%","6.50","A (4.00)","N/A"
"Opatkiewicz, Justin Paul","CENG 101C - Mass Transfer (A)","SP19","82","80","92.5%","97.5%","7.95","B (3.04)","B (3.05)"
"Shah, Nisarg","CENG 101C - Mass Transfer (B)","SP19","27","20","73.7%","47.1%","9.76","B- (2.89)","B (3.23)"
"Drews, Aaron","CENG 113 - Chemical Reaction Engineering (A)","SP19","86","68","91.2%","98.5%","10.82","B (3.13)","B- (2.92)"
"Chen, Zheng","CENG 113 - Chemical Reaction Engineering (B)","SP19","22","19","89.5%","89.5%","7.66","B (3.26)","B (3.14)"
"Powell, Alyssa","CENG 124B - Chem Plant & Process Design II (A)","SP19","99","58","81.5%","100.0%","5.08","A- (3.77)","A- (3.76)"
"Russ, Benjamin Edward","CENG 124B - Chem Plant & Process Design II (A)","SP19","99","58","81.5%","72.2%","5.08","A- (3.77)","A- (3.76)"
"Pokorski, Jonathan Kyle","CENG 134 - Polymeric Materials (A)","SP19","48","23","100.0%","90.5%","4.88","B+ (3.45)","B (3.23)"
"Opatkiewicz, Justin Paul","CENG 157 - Process Tech in Semiconductor (A)","SP19","42","25","100.0%","100.0%","5.83","B+ (3.48)","B+ (3.34)"
"Drews, Aaron","CENG 176B - Chem Engineerng Process Lab II (A)","SP19","51","23","95.7%","95.7%","5.20","A- (3.74)","B+ (3.45)"
"Zhang, Liangfang","CENG 176B - Chem Engineerng Process Lab II (B)","SP19","48","20","90.0%","85.0%","7.10","A- (3.75)","B+ (3.57)"
"Chen, Yi","NANO 103 - Foundatn NanoEng/Biochem Princ (A)","SP19","58","38","86.5%","73.0%","5.58","B+ (3.43)","B+ (3.52)"
"Ong, Shyue Ping","NANO 106 - Crystallography of Materials (A)","SP19","53","46","80.4%","86.7%","8.15","B- (2.80)","B- (2.83)"
"Chen, Shaochen","NANO 112 - Synthesis/Fabricatn/NanoEngSys (A)","SP19","67","30","83.3%","96.7%","3.03","B+ (3.47)","B+ (3.52)"
"Tao, Andrea Rae","NANO 120B - NanoEng Systems Design II (A)","SP19","25","7","100.0%","83.3%","6.21","B+ (3.33)","B+ (3.34)"
"Sirbuly, Donald","NANO 120B - NanoEng Systems Design II (B)","SP19","34","15","42.9%","69.2%","8.21","B+ (3.43)","B+ (3.45)"
"Pokorski, Jonathan Kyle","NANO 134 - Polymeric Materials (A)","SP19","46","20","88.9%","77.8%","5.17","B (3.11)","B (3.01)"
"Lubarda, Vlado","NANO 141A - Eng Mech I: Analysis of Equil (A)","SP19","18","9","100.0%","100.0%","5.50","A (4.00)","N/A"
"Fullerton, Eric E","NANO 168 - Electr/Dielectr/Magnetic Propr (A)","SP19","19","6","60.0%","80.0%","11.30","B (3.00)","N/A"
"Horvath, Stephen","NANO 174L - Mech. Behavior Laboratory (A)","SP19","11","4","100.0%","100.0%","6.00","A- (3.75)","N/A"
"Liu, Ping","CENG 101B - Heat Transfer (A)","WI19","60","35","85.3%","94.1%","8.10","B (3.17)","B (3.03)"
"Lubarda, Vlado","CENG 101B - Heat Transfer (B)","WI19","49","31","93.5%","100.0%","5.98","B (3.26)","B (3.05)"
"Opatkiewicz, Justin Paul","CENG 102 - Chemical Engin Thermodynamics (A)","WI19","66","59","93.2%","98.3%","9.08","B (3.23)","B (3.05)"
"Powell, Alyssa","CENG 102 - Chemical Engin Thermodynamics (B)","WI19","47","41","85.0%","95.0%","9.75","B (3.03)","B (3.06)"
"Ong, Shyue Ping","CENG 114 - Prob and Stat Methods for Eng (A)","WI19","92","82","80.5%","90.2%","6.91","B (3.05)","B- (2.90)"
"Powell, Alyssa","CENG 124A - Chem Plant & Process Design I (A)","WI19","98","71","75.4%","95.5%","6.33","B+ (3.48)","B+ (3.52)"
"Russ, Benjamin Edward","CENG 124A - Chem Plant & Process Design I (A)","WI19","98","71","75.4%","66.7%","6.33","B+ (3.48)","B+ (3.52)"
"Lubarda, Vlado","CENG 15 - Engin. Comp Using MATLAB (A)","WI19","33","14","83.3%","83.3%","5.50","B+ (3.42)","B+ (3.33)"
"Drews, Aaron","CENG 176A - Chem Engineerng Process Lab I (A)","WI19","50","21","95.0%","95.0%","8.10","B+ (3.40)","B+ (3.45)"
"Zhang, Liangfang","CENG 176A - Chem Engineerng Process Lab I (B)","WI19","48","24","95.2%","90.5%","8.31","B+ (3.62)","B+ (3.65)"
"Horvath, Stephen","NANO 1 - NanoEngineering Seminar (A)","WI19","32","9","77.8%","100.0%","0.50","A (4.00)","N/A"
"Cubukcu, Ertugrul","NANO 100L - Physical Prop.of Materials Lab (A)","WI19","22","9","88.9%","88.9%","7.83","A- (3.78)","B+ (3.63)"
"Lipomi, Darren John","NANO 101 - Introduction to NanoEngineerng (A)","WI19","66","21","94.4%","100.0%","6.17","B+ (3.53)","B (3.25)"
"Vazquez Mena, Oscar","NANO 104 - Foundatn NanoEng/Physical Prin (A)","WI19","60","53","67.9%","77.4%","6.35","B (3.23)","B+ (3.36)"
"Cubukcu, Ertugrul","NANO 107 - Elect Dev&Circuits for NanoEng (A)","WI19","56","27","95.8%","95.7%","7.42","B+ (3.38)","B (3.06)"
"Vecchio, Kenneth S","NANO 111 - Characterization/NanoEng Systm (A)","WI19","63","18","72.2%","55.6%","4.39","B (3.17)","B (3.12)"
"Ong, Shyue Ping","NANO 114 - Prob and Stat Methods for Eng (A)","WI19","18","15","93.3%","93.3%","5.17","B+ (3.33)","N/A"
"Sirbuly, Donald","NANO 120A - NanoEng Systems Design I (A)","WI19","29","9","77.8%","100.0%","9.17","B (3.22)","B+ (3.57)"
"Jokerst, Jesse Vincent","NANO 120A - NanoEng Systems Design I (B)","WI19","29","7","57.1%","100.0%","11.36","B+ (3.43)","B (3.24)"
"Lubarda, Vlado","NANO 15 - Engin. Comp Using MATLAB (A)","WI19","13","4","75.0%","100.0%","5.00","B (3.25)","N/A"
"Meyers, Marc","NANO 174 - Mech. Behavior of Materials (A)","WI19","28","9","62.5%","50.0%","6.25","A- (3.88)","B+ (3.34)"
