"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Sher, Gila","PHIL 1 - Introduction to Philosophy (A)","FA22","68","17","62.5%","68.8%","3.13","B+ (3.36)","B (3.19)"
"Grush, Rick Scott","PHIL 10 - Introduction to Logic (A)","FA22","277","103","87.6%","95.8%","5.68","B (3.27)","C+ (2.62)"
"Brants, Zachary Keith","PHIL 100 - Plato (A)","FA22","39","14","92.3%","100.0%","3.67","B+ (3.58)","B+ (3.58)"
"Johnson, Monte","PHIL 110 - History of Philosophy: Ancient (A)","FA22","36","11","81.8%","90.9%","5.95","B (3.27)","B (3.16)"
"Kovaka, Karen","PHIL 12 - Scientific Reasoning (A)","FA22","118","54","90.6%","98.1%","4.05","B+ (3.50)","A- (3.83)"
"Rickless, Samuel Charles","PHIL 120 - Symbolic Logic (A)","FA22","52","16","100.0%","100.0%","4.38","B+ (3.56)","B (3.24)"
"Wonderly, Monique L.","PHIL 13 - Intro to Philosophy:  Ethics (A)","FA22","113","50","100.0%","97.8%","3.33","B+ (3.66)","A- (3.75)"
"Watkins, Eric","PHIL 131 - Topics in Metaphysics (A)","FA22","35","12","100.0%","100.0%","5.50","B+ (3.50)","B- (2.76)"
"Carr, Jennifer Rose","PHIL 132 - Epistemology (A)","FA22","32","6","100.0%","100.0%","8.17","B+ (3.50)","B (3.11)"
"Brink, David O.","PHIL 138 - Responsibility (A)","FA22","38","9","66.7%","77.8%","4.72","B+ (3.50)","B (3.13)"
"Fulkerson, Matthew Todd","PHIL 147 - Philosophy of Biology (A)","FA22","38","10","80.0%","100.0%","5.30","B+ (3.56)","B+ (3.44)"
"Greely, Nathaniel Atholl","PHIL 150 - Philosophy of Cognitive Sci (A)","FA22","38","15","73.3%","80.0%","5.57","B+ (3.38)","B+ (3.38)"
"Vargas, Manuel Rogelio","PHIL 155 - Mexican Philosophy (A)","FA22","34","9","100.0%","100.0%","4.25","B (3.14)","B+ (3.44)"
"Rickless, Samuel Charles","PHIL 165 - Freedom, Equality, and the Law (A)","FA22","57","14","85.7%","84.6%","6.81","B (3.27)","B+ (3.44)"
"Bazargan-Forward, Saba","PHIL 172 - Topics in Political Philosophy (A)","FA22","42","12","100.0%","90.9%","5.41","B+ (3.45)","B (3.24)"
"Wonderly, Monique L.","PHIL 173 - Topics in Bioethics (A)","FA22","39","10","90.0%","90.0%","3.70","B+ (3.56)","B+ (3.64)"
"Harrell, Maralee Mae","PHIL 27 - Ethics And Society (A)","FA22","208","58","78.6%","91.1%","3.57","A- (3.83)","B+ (3.66)"
"Bazargan-Forward, Saba","PHIL 28 - Ethics And Society II (A)","FA22","220","66","85.9%","95.2%","3.25","B+ (3.48)","A- (3.85)"
"Johnson, Monte","PHIL 31 - Intro to Ancient Philosophy (A)","FA22","61","25","91.7%","87.5%","5.17","B+ (3.52)","B+ (3.38)"
"Argetsinger, Henry","PHIL 1 - Introduction to Philosophy (A)","S222","25","5","80.0%","100.0%","4.10","B+ (3.60)","B (3.04)"
"Grush, Rick Scott","PHIL 10 - Introduction to Logic (A)","S222","45","6","100.0%","100.0%","4.83","A- (3.80)","B (3.06)"
"Brants, Zachary Keith","PHIL 100 - Plato (A)","S222","19","4","75.0%","100.0%","8.50","A (4.00)","N/A"
"Chua, Eugene Yew Siang","PHIL 132 - Epistemology (A)","S222","32","3","100.0%","100.0%","7.17","A (4.00)","B+ (3.53)"
