"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Strathdee, Steffani","GLBH 181 - Essentials of Global Health    (A)","WI11","23","19","100.0%","100.0%","3.06","A (4.00)","B+ (3.44)"
"Strathdee, Steffani","STPA 181   - Essentials of Global Health    (A)","WI11","23","19","100.0%","100.0%","3.06","A (4.00)","B+ (3.44)"
"Gibson, Carl H.","STPA 35 - Society and the Sea            (B)","FA10","35","15","71.4%","64.3%","4.77","B+ (3.54)","B+ (3.40)"
"Simon, Harold J.","GLBH 181 - Essentials of Global Health    (A)","WI10","31","23","100.0%","95.7%","2.23","A- (3.96)","B+ (3.42)"
"Simon, Harold J.","STPA 181 - Essentials of Global Health    (A)","WI10","31","23","100.0%","95.7%","2.23","A- (3.96)","B+ (3.42)"
"Gibson, Carl H.","STPA 35 - Society and the Sea            (A)","FA09","45","28","71.4%","64.3%","3.76","B+ (3.38)","B+ (3.48)"
"Simon, Harold J.","GLBH 181 - Elements/Internationl Medicine (A)","WI09","34","29","100.0%","100.0%","2.78","A- (3.96)","B+ (3.54)"
"Simon, Harold J.","STPA 181 - Elements/Internationl Medicine (A)","WI09","34","29","100.0%","100.0%","2.78","A- (3.96)","B+ (3.54)"
"Gibson, Carl H.","STPA 35 - Society and the Sea            (A)","FA08","58","30","66.7%","76.7%","2.50","B+ (3.48)","B+ (3.51)"
"Gibson, Carl H.","STPA 35 - Society and the Sea            (A)","FA07","64","53","81.3%","75.5%","3.85","B+ (3.67)","B+ (3.65)"
