"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Bronstein, Phoebe Malan","SXTH 1 - First Year Experience (A)","FA22","51","26","96.2%","100.0%","1.12","A (4.00)","N/A"
"Chilukuri, Lakshmi N","SXTH 20A - Honors Seminar (A)","FA22","38","25","90.9%","100.0%","0.76","A (4.00)","N/A"
"Bronstein, Phoebe Malan","SXTH 1 - First Year Experience (A)","FA21","45","23","95.7%","100.0%","0.85","A (4.00)","N/A"
"Chilukuri, Lakshmi N","SXTH 20A - Honors Seminar (A)","FA21","49","29","89.7%","96.6%","0.57","A (4.00)","N/A"
"Bronstein, Phoebe Malan","SXTH 1 - First Year Experience (A)","FA20","109","71","91.3%","97.1%","1.37","A (4.00)","N/A"
"Chilukuri, Lakshmi N","SXTH 1 - First Year Experience (A)","FA18","61","45","83.3%","100.0%","0.92","A (4.00)","N/A"
"Pomeroy, Robert S.","SXTH 2 - Transfer Year Experience (A)","FA18","42","23","95.5%","95.5%","1.05","A (4.00)","N/A"
"Christenfeld, Nicholas","SXTH 1 - First Year Experience (A)","FA17","86","55","78.4%","84.3%","1.00","A- (3.95)","N/A"
"Pomeroy, Robert S.","SXTH 2 - Transfer Year Experience (A)","FA17","35","15","76.9%","100.0%","0.81","A (4.00)","N/A"
"Christenfeld, Nicholas","SXTH 1 - First Year Experience (A)","FA16","64","37","80.0%","85.7%","2.10","A- (3.87)","N/A"
"Donoghue, Daniel J.","SXTH 2 - Transfer Year Experience (A)","FA16","35","19","94.1%","100.0%","2.26","A (4.00)","N/A"
"Donoghue, Daniel J.","SXTH 1 - First Year Experience (A)","FA15","102","61","86.7%","95.0%","1.14","A- (3.85)","N/A"
"Donoghue, Daniel J.","SXTH 2 - Transfer Year Experience (A)","FA15","33","18","75.0%","93.8%","3.88","A (4.00)","N/A"
"Donoghue, Daniel J.","SXTH 1 - First Year Experience (A)","FA14","89","55","83.0%","100.0%","2.38","A- (3.88)","N/A"
"Lin, James P.","SXTH 20A  - Sixth College Honors Seminar I (A)","FA11","31","19","100.0%","100.0%","0.61","A (4.00)","N/A"
