"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Smith, Neil Gordon","SYN 100 - Solutions/Changing Planet (A)","FA22","31","9","100.0%","88.9%","2.50","A (4.00)","A- (3.99)"
"Meyer, Leslie Rose","SYN 100 - Solutions/Changing Planet (B)","FA22","30","8","100.0%","100.0%","3.75","A (4.00)","A- (3.95)"
"Haines, Kyle","SYN 100 - Solutions/Changing Planet (C)","FA22","30","7","100.0%","100.0%","4.50","A (4.00)","A- (3.77)"
"Stone, Patricia","SYN 100 - Solutions/Changing Planet (D)","FA22","27","10","77.8%","88.9%","3.00","A (4.00)","A (4.00)"
"Gormally, Brenna","SYN 100 - Solutions/Changing Planet (E)","FA22","28","13","100.0%","100.0%","4.35","A- (3.92)","A- (3.98)"
"Atkinson, Arthur Laird","SYN 2 - Explorations/Changing Planet (0)","FA22","39","20","75.0%","100.0%","4.90","A- (3.95)","A- (3.79)"
"Brink, Claudi","SYN 2 - Explorations/Changing Planet (0)","FA22","38","16","93.3%","100.0%","4.50","A (4.00)","A- (3.76)"
"Browne, Emily","SYN 2 - Explorations/Changing Planet (0)","FA22","40","18","94.4%","94.4%","4.28","A- (3.94)","A- (3.98)"
"Deavenport, James Cary","SYN 2 - Explorations/Changing Planet (0)","FA22","37","11","45.5%","63.6%","4.86","A (4.00)","A (4.00)"
"Gladstein, Jill M","SYN 2 - Explorations/Changing Planet (0)","FA22","165","66","81.0%","93.5%","4.37","A- (3.95)","A- (3.91)"
"Iatarola, Briana Marie","SYN 2 - Explorations/Changing Planet (0)","FA22","40","17","82.4%","100.0%","3.32","A- (3.88)","A- (3.98)"
"Leclerc, Maria Teresa","SYN 2 - Explorations/Changing Planet (0)","FA22","39","15","93.3%","100.0%","3.58","A (4.00)","A- (3.98)"
"Murdock, Shawn Christian","SYN 2 - Explorations/Changing Planet (0)","FA22","38","15","80.0%","80.0%","4.77","A- (3.93)","A- (3.73)"
"Rosenberg, Ryan Glenn","SYN 2 - Explorations/Changing Planet (0)","FA22","40","28","92.9%","96.4%","4.43","A- (3.93)","A- (3.88)"
"Tawater, Hanna Jean","SYN 2 - Explorations/Changing Planet (0)","FA22","39","30","92.9%","100.0%","4.70","A- (3.97)","A- (3.95)"
"Vega, Adrian","SYN 2 - Explorations/Changing Planet (0)","FA22","40","13","84.6%","91.7%","5.58","A (4.00)","A- (3.93)"
"Gladstein, Jill M","SYN 1 - Perspectives/Changing Planet (0)","SP22","496","201","90.9%","92.3%","4.16","A- (3.95)","A- (3.85)"
"Gladstein, Jill M","SYN 1 - Perspectives/Changing Planet (0)","WI22","404","243","90.9%","93.4%","3.95","A- (3.94)","A- (3.90)"
"Gladstein, Jill M","SYN 2 - Explorations/Changing Planet (0)","WI22","191","93","77.0%","88.5%","4.18","A- (3.79)","A- (3.89)"
"Gladstein, Jill M","SYN 2 - Explorations/Changing Planet (0)","FA21","319","135","68.0%","74.4%","3.89","A- (3.93)","A- (3.88)"
"Gladstein, Jill M","SYN 1 - Perspectives/Changing Planet (0)","SP21","235","107","90.6%","95.3%","5.15","A- (3.85)","A- (3.88)"
"Gladstein, Jill M","SYN 1 - Perspectives/Changing Planet (0)","WI21","318","181","89.1%","91.3%","4.06","A- (3.91)","A- (3.88)"
