"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Carver, Leslie J.","TMC 2 - Transfer Year Experience (A)","FA22","82","30","86.2%","89.7%","1.26","A- (3.92)","N/A"
"Mell, Loren K.","TMC 90 - Experiential Learning Seminar (A)","FA22","10","6","83.3%","100.0%","0.83","A (4.00)","N/A"
"Atkinson, Arthur Laird","TMC 15 - Public Service in America (A)","SP22","11","6","100.0%","100.0%","3.83","B+ (3.33)","N/A"
"Solomon, Amanda Lee Albaniel","TMC 87 - Freshman Seminar (A)","SP22","20","12","100.0%","100.0%","1.05","A (4.00)","N/A"
"Atkinson, Arthur Laird","TMC 15 - Public Service in America (A)","WI22","7","3","100.0%","100.0%","8.50","B (3.00)","N/A"
"Lo, Stanley M.","TMC 87 - Freshman Seminar (A)","WI22","15","14","100.0%","100.0%","1.07","A (4.00)","N/A"
"Lo, Stanley M.","TMC 90 - Experiential Learning Seminar (A)","WI22","13","11","100.0%","100.0%","0.86","A (4.00)","N/A"
"Atkinson, Arthur Laird","TMC 15 - Public Service in America (B)","FA21","19","11","100.0%","100.0%","2.86","B+ (3.64)","N/A"
"Carver, Leslie J.","TMC 2 - Transfer Year Experience (A)","FA21","61","26","92.0%","92.0%","2.35","A (4.00)","N/A"
"Carver, Leslie J.","TMC 20 - Thurgood Marshall Col Hnrs Sem (A)","FA21","22","14","100.0%","100.0%","1.93","A (4.00)","N/A"
"Mell, Loren K.","TMC 90 - Experiential Learning Seminar (A)","FA21","10","5","100.0%","100.0%","1.30","A (4.00)","N/A"
"Atkinson, Arthur Laird","TMC 15 - Public Service in America (A)","SP21","5","3","100.0%","100.0%","4.50","A (4.00)","N/A"
"Lo, Stanley Malvin Ming-Hi","TMC 20 - Thurgood Marshall Col Hnrs Sem (A)","SP21","11","10","100.0%","100.0%","1.90","A (4.00)","N/A"
"Solomon, Amanda Lee Albaniel","TMC 87 - Freshman Seminar (A)","SP21","10","7","100.0%","100.0%","1.36","A (4.00)","N/A"
"Carver, Leslie J.","TMC 198 - Marshall Directed Group Study (A)","SP19","8","5","100.0%","80.0%","1.70","N/A","N/A"
"Solomon, Amanda Lee Albaniel","TMC 87 - Freshman Seminar (A)","SP19","12","4","100.0%","100.0%","1.17","N/A","N/A"
"Dobkins, Karen R.","TMC 87 - Freshman Seminar (B)","SP19","20","8","100.0%","87.5%","1.25","A (4.00)","N/A"
"Carver, Leslie J.","TMC 198 - Marshall Directed Group Study (A)","WI19","9","4","100.0%","100.0%","3.50","N/A","N/A"
"Carver, Leslie J.","TMC 1 - First Year Experience (A)","FA18","65","42","55.0%","87.2%","0.79","A- (3.85)","N/A"
"Carver, Leslie J.","TMC 2 - Transfer Year Experience (A)","FA18","45","17","75.0%","87.5%","1.09","A (4.00)","N/A"
"Carver, Leslie J.","TMC 20 - Thurgood Marshall Col Hnrs Sem (A)","FA18","31","21","80.0%","95.0%","0.80","A (4.00)","N/A"
"Dobkins, Karen R.","TMC 87 - Freshman Seminar (A)","FA18","19","12","100.0%","100.0%","1.59","A (4.00)","N/A"
"Sinay, Patricia","TMC 15 - Public Service in America (A)","SP18","7","3","33.3%","0.0%","5.17","A (4.00)","N/A"
"Carver, Leslie J.","TMC 198 - Marshall Directed Group Study (A)","SP18","15","5","100.0%","100.0%","6.00","N/A","N/A"
"Solomon, Amanda Lee Albaniel","TMC 87 - Freshman Seminar (A)","SP18","16","12","100.0%","100.0%","1.59","A (4.00)","N/A"
"Dobkins, Karen R.","TMC 87 - Freshman Seminar (B)","SP18","17","8","100.0%","100.0%","0.50","A (4.00)","N/A"
"Sinay, Patricia","TMC 15 - Public Service in America (A)","WI18","12","8","75.0%","62.5%","4.00","B+ (3.50)","N/A"
"Carver, Leslie J.","TMC 198 - Marshall Directed Group Study (A)","WI18","6","3","100.0%","100.0%","4.50","A (4.00)","N/A"
"Mariscal, George","TMC 20 - Thurgood Marshall Col Hnrs Sem (A)","WI18","12","6","100.0%","100.0%","0.50","N/A","N/A"
"Guirguis, Mark C","TMC 1 - First Year Experience (A)","FA17","68","35","72.7%","100.0%","1.41","A- (3.75)","N/A"
"Carver, Leslie J.","TMC 198 - Marshall Directed Group Study (A)","FA17","10","7","100.0%","100.0%","4.17","A (4.00)","N/A"
"Carver, Leslie J.","TMC 2 - Transfer Year Experience (A)","FA17","32","16","75.0%","73.3%","0.88","A (4.00)","N/A"
"Carver, Leslie J.","TMC 20 - Thurgood Marshall Col Hnrs Sem (A)","FA17","12","10","100.0%","100.0%","0.50","N/A","N/A"
"Dobkins, Karen R.","TMC 87 - Freshman Seminar (B)","FA17","9","5","80.0%","80.0%","0.50","A (4.00)","N/A"
"Carver, Leslie J.","TMC 198 - Marshall Directed Group Study (A)","SP17","31","15","100.0%","100.0%","2.21","A (4.00)","N/A"
"Gagnon, Jeffrey C","TMC 20 - Thurgood Marshall Col Hnrs Sem (A)","SP17","14","3","66.7%","100.0%","1.17","N/A","N/A"
"Havis, Allan","TMC 20 - Thurgood Marshall Col Hnrs Sem (C)","SP17","10","6","100.0%","100.0%","1.70","N/A","N/A"
"Dobkins, Karen R.","TMC 87 - Freshman Seminar (B)","SP17","18","6","100.0%","100.0%","0.90","A (4.00)","N/A"
"Sinay, Patricia","TMC 15 - Public Service in America (A)","WI17","8","3","66.7%","66.7%","2.50","B+ (3.67)","N/A"
"Carver, Leslie J.","TMC 198 - Marshall Directed Group Study (A)","WI17","14","10","100.0%","100.0%","3.64","N/A","N/A"
"Carver, Leslie J.","TMC 20 - Thurgood Marshall Col Hnrs Sem (B)","WI17","4","4","100.0%","100.0%","1.17","N/A","N/A"
"Guirguis, Mark C","TMC 1 - First Year Experience (A)","FA16","68","30","92.9%","96.4%","1.07","A (4.00)","N/A"
"Carver, Leslie J.","TMC 198 - Marshall Directed Group Study (A)","FA16","25","13","92.3%","100.0%","3.88","N/A","N/A"
"Havis, Allan","TMC 2 - Transfer Year Experience (A)","FA16","33","13","90.9%","90.9%","1.23","A (4.00)","N/A"
"Gagnon, Jeffrey C","TMC 20 - Thurgood Marshall Col Hnrs Sem (A)","FA16","14","7","100.0%","100.0%","0.50","A (4.00)","N/A"
"Havis, Allan","TMC 20 - Thurgood Marshall Col Hnrs Sem (C)","FA16","7","4","100.0%","100.0%","1.50","A (4.00)","N/A"
"Dobkins, Karen R.","TMC 87 - Freshman Seminar (A)","FA16","19","10","100.0%","100.0%","1.00","A (4.00)","N/A"
"Havis, Allan","TMC 198 - Marshall Directed Group Study (A)","SP16","20","9","100.0%","100.0%","2.50","A (4.00)","N/A"
"Gagnon, Jeffrey C","TMC 20 - Thurgood Marshall Col Hnrs Sem (B)","SP16","19","8","100.0%","100.0%","2.79","A (4.00)","N/A"
"Dobkins, Karen R.","TMC 87 - Freshman Seminar (B)","SP16","15","5","100.0%","100.0%","1.50","N/A","N/A"
"Sinay, Patricia","TMC 15 - Public Service in America (A)","WI16","7","3","100.0%","100.0%","7.83","B+ (3.50)","N/A"
"Havis, Allan","TMC 198 - Marshall Directed Group Study (A)","WI16","14","9","87.5%","87.5%","2.75","N/A","N/A"
"Gagnon, Jeffrey C","TMC 20 - Thurgood Marshall Col Hnrs Sem (B)","WI16","19","16","93.8%","93.8%","0.50","N/A","N/A"
"Dobkins, Karen R.","TMC 87 - Freshman Seminar (A)","WI16","21","13","100.0%","100.0%","1.73","A (4.00)","N/A"
