"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Tonies, Joshua Vanjaymes","VIS 1 - Intr/Art-Making:2-D Practices (A)","FA22","389","157","98.7%","98.0%","4.01","A- (3.89)","A- (3.96)"
"Cruz, Edwin Teddy","VIS 100 - Introduction to Public Culture (A)","FA22","74","27","88.5%","92.3%","3.65","A- (3.84)","A- (3.72)"
"Stuker, Jeffrey Ryan","VIS 103D - History of Speculative Design (A)","FA22","58","18","87.5%","100.0%","4.50","B+ (3.64)","A- (3.99)"
"Tonies, Joshua Vanjaymes","VIS 105A - Drawing: Representing/Subject (A)","FA22","34","12","100.0%","100.0%","7.67","A- (3.92)","A (4.00)"
"Tobe, Geoffroy","VIS 105B - Drawing: Practices and Genre (A)","FA22","28","14","100.0%","100.0%","6.96","A- (3.92)","A- (3.82)"
"Tobe, Geoffroy","VIS 106A - Painting:  Image Making (A)","FA22","24","10","100.0%","100.0%","7.50","A- (3.80)","B+ (3.55)"
"De Luca, Mara Julia","VIS 106B - Painting: Practices and Genre (A)","FA22","25","24","100.0%","100.0%","9.25","A (4.00)","A- (3.99)"
"De Luca, Mara Julia","VIS 106C - Painting: Portfolio Projects (A)","FA22","15","13","100.0%","92.3%","8.81","A- (3.85)","N/A"
"Gregoire, Mathieu","VIS 107B - Sculpture: Practices & Genre (A)","FA22","13","5","100.0%","100.0%","13.83","A (4.00)","N/A"
"Gregoire, Mathieu","VIS 108 - Advanced Projects in Art (A)","FA22","19","4","100.0%","100.0%","7.50","A (4.00)","N/A"
"Dean, Danielle Adobi","VIS 110A - Contemporary Issues & Practice (A)","FA22","13","3","100.0%","100.0%","7.17","A (4.00)","N/A"
"Adler, Amy","VIS 110B - Prof Practice in Visual Arts (A)","FA22","18","11","100.0%","100.0%","6.68","A (4.00)","N/A"
"Carranza Vargas, Fabiola","VIS 125E - Faces and Powers (A)","FA22","65","22","55.0%","63.2%","4.31","B+ (3.56)","N/A"
"Newsome, Elizabeth Ann","VIS 126HN - Pac Coast American Indian Art (A)","FA22","69","18","100.0%","94.4%","3.06","A- (3.78)","A- (3.84)"
"Liu, Yi","VIS 128E - Topics/Art History of Asia (A)","FA22","71","25","84.0%","72.0%","4.10","A- (3.80)","N/A"
"Stuker, Jeffrey Ryan","VIS 133 - Lecture Topics in Spec Design (A)","FA22","59","15","93.3%","100.0%","5.03","A- (3.79)","A (4.00)"
"Stalbaum, Brett","VIS 142 - Practices in Computing Arts (A)","FA22","142","35","82.9%","82.4%","5.64","A- (3.79)","A (4.00)"
"Akten, Mehmet","VIS 143 - Virtual Environments (A)","FA22","23","4","100.0%","100.0%","6.00","A- (3.75)","A- (3.79)"
"Stalbaum, Brett","VIS 147A - Electronic Technologies/Art I (A)","FA22","43","9","88.9%","88.9%","4.94","A- (3.89)","A (4.00)"
"Akten, Mehmet","VIS 149 - Contemporary Computer Topics (A)","FA22","15","6","100.0%","100.0%","4.90","A (4.00)","N/A"
