"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"McCleary, Keith Long","WCWP 100 - Academic Writing (A)","FA22","20","18","100.0%","100.0%","5.83","B+ (3.50)","B+ (3.48)"
"McCleary, Keith Long","WCWP 100 - Academic Writing (B)","FA22","20","20","100.0%","100.0%","5.60","B+ (3.50)","B+ (3.55)"
"McCleary, Keith Long","WCWP 100 - Academic Writing (C)","FA22","20","19","100.0%","100.0%","6.18","A- (3.79)","B+ (3.61)"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (D)","FA22","19","10","100.0%","100.0%","5.70","A- (3.70)","N/A"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (E)","FA22","20","12","100.0%","100.0%","6.68","A- (3.82)","B+ (3.56)"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (F)","FA22","20","8","100.0%","100.0%","7.25","B+ (3.63)","B+ (3.48)"
"Young, Mark T","WCWP 100 - Academic Writing (G)","FA22","20","16","100.0%","100.0%","5.88","A- (3.81)","A- (3.77)"
"Young, Mark T","WCWP 100 - Academic Writing (H)","FA22","19","13","100.0%","100.0%","4.04","A- (3.77)","N/A"
"Boulter, Sherry Lee","WCWP 10A - The Writing Course A (0)","FA22","60","54","98.1%","100.0%","3.83","A- (3.78)","A- (3.77)"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (0)","FA22","137","53","96.2%","98.1%","4.50","A- (3.83)","B+ (3.68)"
"Johnson, Eric Lynn","WCWP 10A - The Writing Course A (0)","FA22","60","56","100.0%","100.0%","3.70","A- (3.95)","A- (3.89)"
"Lince, Anthony","WCWP 10A - The Writing Course A (0)","FA22","40","36","100.0%","97.2%","3.50","A- (3.89)","B+ (3.64)"
"Moon, He Jin","WCWP 10A - The Writing Course A (0)","FA22","39","35","91.4%","91.4%","3.93","B+ (3.51)","B+ (3.41)"
"Ornelas, Tricia","WCWP 10A - The Writing Course A (0)","FA22","40","36","97.2%","97.2%","4.11","A- (3.92)","B+ (3.65)"
"Savage, Sarah S","WCWP 10A - The Writing Course A (0)","FA22","60","45","95.5%","100.0%","3.70","A- (3.89)","A- (3.92)"
"Susi, Natalie","WCWP 10A - The Writing Course A (0)","FA22","40","36","97.1%","97.1%","3.53","B+ (3.69)","A- (3.78)"
"Tocki, Jasmine Rae","WCWP 10B - The Writing Course B (0)","FA22","38","22","95.5%","100.0%","4.32","A- (3.82)","A- (3.78)"
"Welji, Haleema Nazir","WCWP 10B - The Writing Course B (0)","FA22","20","16","80.0%","93.3%","4.90","B+ (3.67)","B+ (3.55)"
"Zimmerman-Liu, Teresa Jean","WCWP 10A - The Writing Course A (A)","S322","11","3","100.0%","100.0%","1.83","A (4.00)","N/A"
"Savage, Sarah S","WCWP 100 - Academic Writing (A)","S222","11","3","100.0%","100.0%","5.83","A (4.00)","N/A"
"Rosenberg, Ryan Glenn","WCWP 10B - The Writing Course B (A)","S222","11","8","100.0%","100.0%","6.50","A (4.00)","N/A"
"Iatarola, Briana Marie","WCWP 10B - The Writing Course B (B)","S222","14","9","100.0%","100.0%","5.17","A- (3.89)","N/A"
"Savage, Sarah S","WCWP 10B - The Writing Course B (C)","S222","13","4","100.0%","100.0%","5.50","A (4.00)","N/A"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (A)","S122","13","7","100.0%","100.0%","7.64","A- (3.71)","N/A"
"Gagnon, Jeffrey C","WCWP 10B - The Writing Course B (A)","S122","6","4","100.0%","100.0%","4.00","A (4.00)","N/A"
"Rosenberg, Ryan Glenn","WCWP 10B - The Writing Course B (B)","S122","15","7","100.0%","100.0%","4.21","B+ (3.57)","N/A"
"Garvin, Arianna Christina","WCWP 10B - The Writing Course B (C)","S122","12","9","100.0%","100.0%","5.61","A (4.00)","N/A"
"McCleary, Keith Long","WCWP 100 - Academic Writing (A)","SP22","15","13","92.3%","92.3%","4.96","B+ (3.31)","N/A"
"McCleary, Keith Long","WCWP 100 - Academic Writing (B)","SP22","19","16","93.8%","100.0%","6.50","B+ (3.44)","N/A"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (D)","SP22","19","4","100.0%","100.0%","8.50","B+ (3.50)","N/A"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (E)","SP22","12","8","100.0%","100.0%","4.50","A- (3.88)","N/A"
"Young, Mark T","WCWP 100 - Academic Writing (F)","SP22","18","5","80.0%","100.0%","6.90","B+ (3.60)","N/A"
"Young, Mark T","WCWP 100 - Academic Writing (G)","SP22","19","7","83.3%","83.3%","5.50","B (3.17)","N/A"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (A)","SP22","15","7","100.0%","100.0%","4.17","A- (3.83)","N/A"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (B)","SP22","15","7","100.0%","100.0%","5.64","A- (3.86)","N/A"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (C)","SP22","14","5","100.0%","100.0%","4.10","A (4.00)","N/A"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (D)","SP22","15","6","60.0%","80.0%","4.50","B+ (3.50)","N/A"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (E)","SP22","15","3","100.0%","100.0%","2.50","B+ (3.67)","N/A"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (F)","SP22","15","3","100.0%","100.0%","11.50","A (4.00)","N/A"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (G)","SP22","15","3","100.0%","100.0%","7.17","B+ (3.67)","N/A"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (H)","SP22","13","4","66.7%","66.7%","5.17","A (4.00)","N/A"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (I)","SP22","15","6","80.0%","100.0%","4.00","C+ (2.50)","N/A"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (J)","SP22","14","3","100.0%","100.0%","3.83","A (4.00)","N/A"
"Gagnon, Jeffrey C","WCWP 10B - The Writing Course B (0)","SP22","448","161","95.8%","93.5%","4.16","A- (3.92)","A- (3.80)"
"Welji, Haleema Nazir","WCWP 10B - The Writing Course B (0)","SP22","7","7","100.0%","100.0%","3.64","A- (3.86)","N/A"
"McCleary, Keith Long","WCWP 100 - Academic Writing (0)","WI22","59","55","98.2%","100.0%","6.72","B+ (3.42)","B+ (3.36)"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (0)","WI22","60","36","100.0%","100.0%","5.61","A- (3.77)","B+ (3.68)"
"Young, Mark T","WCWP 100 - Academic Writing (0)","WI22","55","20","84.2%","89.5%","5.66","B (3.26)","B (3.29)"
