,course,prereqs
0,AAS 10,[]
1,AIP 197T,[]
2,ANBI 118,[]
3,ANAR 121,[]
4,ANBI 136,[]
5,ANBI 121,[]
6,ANAR 120,[]
7,ANAR 146,[]
8,AAS 190,[]
9,ANBI 141,[]
10,ANSC 122,[]
11,ANBI 175,[]
12,ANSC 148,[]
13,ANSC 144,[]
14,ANSC 180,[]
15,ANSC 164,[]
16,ANSC 133,[]
17,ANTH 101,[]
18,ANSC 117,[]
19,ANSC 124,[]
20,ANSC 186,[]
21,ANSC 121,[]
22,ANTH 21,[]
23,ANTH 23,[]
24,ANTH 105,[]
25,ANTH 2,[]
26,AWP 3,[]
27,ANTH 87,[]
28,AWP 2B,[]
29,AWP 4A,[]
30,BENG 100,['BENG 1' 'MATH 18' 'MATH 31AH' 'MATH 20C' 'MATH 31BH']
31,BENG 119A,['BENG 187A']
32,BENG 122A,['BENG 134' 'MAE 140']
33,BENG 110,"['PHYS 2C' 'MATH 20D' 'MATH 20E' 'MATH 31CH' 'MATH 18' 'MATH 20F'
 'MATH 31AH']"
34,BENG 127A,['BENG 187A']
35,BENG 126A,['BENG 187A']
36,BENG 134,['MATH 20D' 'MATH 18' 'MATH 20F' 'MATH 31AH' 'BENG 100']
37,BENG 135,['ECE 45' 'BENG 133']
38,BENG 141,['BENG 100']
39,BENG 147A,['BENG 187A']
40,BENG 149A,['BENG 187A']
41,BENG 161A,['BENG 123' 'BENG 160']
42,BENG 162,['MAE 170' 'BENG 160']
43,BENG 168,['BILD 1' 'BENG 100']
44,BENG 166A,['BENG 103B' 'BENG 112B']
45,BENG 169A,['BENG 187A']
46,BENG 179A,['BENG 187A']
47,BENG 183,['BIMM 100' 'CHEM 114C']
48,BENG 187B,['BENG 187A']
49,BENG 2,[]
50,BIBC 100,['BENG 120' 'CHEM 40A' 'CHEM 140A' 'BENG 120' 'CHEM 40B' 'CHEM 140B']
51,BIBC 102,['BENG 120' 'CHEM 40A' 'CHEM 140A' 'BENG 120' 'CHEM 40B' 'CHEM 140B']
52,BIBC 103,['BILD 1']
53,BICD 100,['BILD 1' 'BILD 3']
54,BENG 193,['BENG 140A' 'BIPN 100' 'BENG 140B' 'BIPN 102']
55,BIEB 150,['BILD 3' 'BIEB 143' 'BILD 1']
56,BICD 102,['BICD 100' 'MATH 11']
57,BICD 110,['BIBC 100' 'BIBC 102' 'CHEM 114A' 'CHEM 114B']
58,BICD 140,['BICD 100' 'BIMM 100']
59,BIEB 121,['BIEB 100' 'MATH 11' 'SIO 187' 'BILD 3']
60,BIEB 126,['BILD 3']
61,BIEB 174,['BILD 3']
62,BILD 1,[]
63,BILD 2,['BILD 1']
64,BILD 20,[]
65,BILD 10,[]
66,BILD 3,[]
67,BILD 30,[]
68,BILD 32,[]
69,BILD 4,[]
70,BILD 60,['BILD 1' 'BILD 2' 'BILD 3']
71,BILD 70,[]
72,BILD 92,[]
73,BIMM 100,"['BILD 1' 'BIBC 103' 'BILD 4' 'BILD 70' 'BIMM 101' 'BENG 120' 'CHEM 40A'
 'CHEM 40AH' 'BENG 120' 'CHEM 40B' 'CHEM 40BH']"
74,BIMM 101,['BILD 1']
75,BIMM 110,['BIMM 100' 'BICD 100' 'BIBC 100' 'BIBC 102' 'CHEM 114A' 'CHEM 114B']
76,BILD 96,[]
77,BIMM 116,['BILD 1' 'PSYC 2' 'PSYC 106']
